region,species,variable,units,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hordaland,Salmon,tonnes_fish,tonnes,136972,156419,203525,160524,172004,164058,173790,160061,172670
Hordaland,Rainbow trout,tonnes_fish,tonnes,26407,32004,37586,36905,36867,35628,50698,39580,34867
Hordaland,Char,tonnes_fish,tonnes,0,NA,0,0,0,0,0,0,0
Hordaland,Cod,tonnes_fish,tonnes,888,38,0,NA,0,0,0,0,0
Hordaland,Halibut,tonnes_fish,tonnes,0,0,0,0,NA,0,0,0,NA
Hordaland,Shellfish,tonnes_fish,tonnes,31,13,15,NA,NA,29,19,45,NA
Hordaland,Other fish species,tonnes_fish,tonnes,0,NA,0,0,0,0,0,0,0
Sogn og Fjordane,Total,tonnes_fish,tonnes,88636,107381,114886,116126,112873,120202,120775,107982,96304
Sogn og Fjordane,Salmon,tonnes_fish,tonnes,78220,94063,NA,102132,97071,100484,104647,93529,81408
Sogn og Fjordane,Rainbow trout,tonnes_fish,tonnes,8856,11592,16358,12875,14643,19562,16084,14394,14668
Sogn og Fjordane,Char,tonnes_fish,tonnes,0,NA,0,0,0,0,0,0,0
Sogn og Fjordane,Cod,tonnes_fish,tonnes,1435,1725,0,NA,1098,0,0,0,NA
Sogn og Fjordane,Halibut,tonnes_fish,tonnes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sogn og Fjordane,Shellfish,tonnes_fish,tonnes,66,1,25,307,NA,120,NA,NA,NA
Sogn og Fjordane,Other fish species,tonnes_fish,tonnes,NA,NA,0,0,0,NA,0,0,0
Møre og Romsdal,Total,tonnes_fish,tonnes,124011,141336,131738,142608,133631,179692,105264,171880,90370
Møre og Romsdal,Salmon,tonnes_fish,tonnes,111683,127120,118000,128337,123476,171091,89363,162953,78306
Møre og Romsdal,Rainbow trout,tonnes_fish,tonnes,8719,10215,NA,NA,NA,NA,NA,8319,NA
Møre og Romsdal,Char,tonnes_fish,tonnes,0,NA,0,0,0,0,0,0,0
Møre og Romsdal,Cod,tonnes_fish,tonnes,3249,2591,NA,NA,0,0,0,0,0
Møre og Romsdal,Halibut,tonnes_fish,tonnes,351,1401,NA,474,NA,NA,NA,NA,NA
Møre og Romsdal,Shellfish,tonnes_fish,tonnes,9,9,9,NA,NA,NA,NA,NA,NA
Møre og Romsdal,Other fish species,tonnes_fish,tonnes,0,NA,0,0,0,0,0,0,0
Trøndelag,Total,tonnes_fish,tonnes,0,0,0,0,0,0,0,0,324080
Trøndelag,Salmon,tonnes_fish,tonnes,0,0,0,0,0,0,0,0,319783
Trøndelag,Rainbow trout,tonnes_fish,tonnes,0,0,0,0,0,0,0,0,NA
Trøndelag,Char,tonnes_fish,tonnes,0,0,0,0,0,0,0,0,NA
Trøndelag,Cod,tonnes_fish,tonnes,0,0,0,0,0,0,0,0,NA
Trøndelag,Halibut,tonnes_fish,tonnes,0,0,0,0,0,0,0,0,0
Trøndelag,Shellfish,tonnes_fish,tonnes,0,0,0,0,0,0,0,0,1083
Trøndelag,Other fish species,tonnes_fish,tonnes,0,0,0,0,0,0,0,0,0
Sør-Trøndelag,Total,tonnes_fish,tonnes,108541,147031,142142,134613,206476,144231,167925,99694,0
Sør-Trøndelag,Salmon,tonnes_fish,tonnes,107325,146085,141316,133716,205471,142527,167256,98825,0
Sør-Trøndelag,Rainbow trout,tonnes_fish,tonnes,175,56,0,0,NA,NA,NA,0,0
Sør-Trøndelag,Char,tonnes_fish,tonnes,NA,NA,NA,NA,NA,NA,NA,0,0
Sør-Trøndelag,Cod,tonnes_fish,tonnes,NA,NA,0,0,0,0,0,0,0
Sør-Trøndelag,Halibut,tonnes_fish,tonnes,0,NA,0,0,0,0,0,0,0
Sør-Trøndelag,Shellfish,tonnes_fish,tonnes,522,702,NA,NA,970,1137,650,869,0
Sør-Trøndelag,Other fish species,tonnes_fish,tonnes,0,0,0,0,0,0,0,0,0
Nord-Trøndelag,Total,tonnes_fish,tonnes,82373,83416,121978,93147,104089,110584,94695,90521,0
Nord-Trøndelag,Salmon,tonnes_fish,tonnes,80162,80803,121526,92651,103572,109298,93968,89800,0
Nord-Trøndelag,Rainbow trout,tonnes_fish,tonnes,0,0,0,0,0,0,NA,0,0
Nord-Trøndelag,Char,tonnes_fish,tonnes,0,NA,0,0,0,0,0,NA,0
Nord-Trøndelag,Cod,tonnes_fish,tonnes,NA,NA,0,0,0,0,0,NA,0
Nord-Trøndelag,Halibut,tonnes_fish,tonnes,NA,NA,0,0,0,0,NA,0,0
Nord-Trøndelag,Shellfish,tonnes_fish,tonnes,608,378,452,496,517,1286,487,611,0
Nord-Trøndelag,Other fish species,tonnes_fish,tonnes,0,0,0,0,0,0,0,0,0
Nordland,Total,tonnes_fish,tonnes,205687,227943,239861,240795,240255,267660,256625,261241,255609
Nordland,Salmon,tonnes_fish,tonnes,191316,217345,230144,234503,233568,262252,249831,255601,250532
Nordland,Rainbow trout,tonnes_fish,tonnes,1622,1915,2955,3447,NA,NA,NA,NA,NA
Nordland,Char,tonnes_fish,tonnes,373,178,NA,234,219,238,245,289,240
Nordland,Cod,tonnes_fish,tonnes,11789,7624,5634,NA,253,NA,0,NA,NA
Nordland,Halibut,tonnes_fish,tonnes,NA,NA,NA,NA,NA,NA,NA,0,0
Nordland,Shellfish,tonnes_fish,tonnes,587,658,601,620,384,180,912,791,555
Nordland,Other fish species,tonnes_fish,tonnes,NA,NA,0,0,0,0,0,0,NA
Troms,Total,tonnes_fish,tonnes,110547,107430,144060,137217,149642,168046,169265,187227,188419
Troms,Salmon,tonnes_fish,tonnes,106679,104770,138674,134483,149638,163767,168813,186851,188398
Troms,Rainbow trout,tonnes_fish,tonnes,2884,1887,5125,NA,0,NA,0,0,0
Troms,Char,tonnes_fish,tonnes,NA,NA,0,0,0,0,0,0,0
Troms,Cod,tonnes_fish,tonnes,971,759,NA,NA,NA,0,NA,NA,NA
Troms,Halibut,tonnes_fish,tonnes,0,NA,0,0,0,0,0,0,0
Troms,Shellfish,tonnes_fish,tonnes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Troms,Other fish species,tonnes_fish,tonnes,0,NA,0,0,0,0,0,0,0
Finnmark,Total,tonnes_fish,tonnes,58037,57064,86850,92459,97688,90482,92745,95614,113506
Finnmark,Salmon,tonnes_fish,tonnes,51249,56178,86168,89734,95676,90482,92702,95585,113476
Finnmark,Rainbow trout,tonnes_fish,tonnes,5900,665,NA,NA,NA,0,NA,NA,NA
Finnmark,Char,tonnes_fish,tonnes,NA,NA,NA,NA,NA,0,NA,NA,NA
Finnmark,Cod,tonnes_fish,tonnes,766,NA,0,0,0,0,0,0,0
Finnmark,Halibut,tonnes_fish,tonnes,0,NA,0,0,0,0,0,0,0
Finnmark,Shellfish,tonnes_fish,tonnes,NA,NA,0,0,0,0,0,0,0
Finnmark,Other fish species,tonnes_fish,tonnes,0,NA,0,0,0,0,0,0,0
Other Counties,Total,tonnes_fish,tonnes,12010,13589,14457,15603,16791,16649,18030,14894,13824
Other Counties,Salmon,tonnes_fish,tonnes,11596,13032,NA,15372,16443,16332,17588,14426,13411
Other Counties,Rainbow trout,tonnes_fish,tonnes,80,111,118,40,96,101,100,137,145
Other Counties,Char,tonnes_fish,tonnes,0,NA,NA,0,NA,NA,NA,NA,NA
Other Counties,Cod,tonnes_fish,tonnes,0,NA,0,0,0,0,0,0,0
Other Counties,Halibut,tonnes_fish,tonnes,0,NA,0,0,0,0,0,0,0
Other Counties,Shellfish,tonnes_fish,tonnes,78,0,NA,NA,41,2,NA,NA,4
Other Counties,Other fish species,tonnes_fish,tonnes,256,NA,NA,NA,NA,NA,NA,NA,NA
