iso3c,animal,system,product,animals,kg_n_yr,managed_em,managed_spread_em,spread_em,leftonfield_em,total_manure_CO2_em
BGD,cows,mixed,meat,19235057.889547348,31.97,5769060.723408883,5754101.7518848665,0,4638440.782640308,4816157.770864349
BGR,cows,mixed,meat,242833.8074433594,48.46,111858.96297927645,130419.04814724717,0,97638.5062870854,101295.12218925547
BHR,cows,mixed,meat,3529.917022705078,34.29,1419.4201658412403,1259.681901449207,0,1141.2423443949672,1138.4626346822536
BHS,cows,mixed,meat,68.77672576904298,38.64,27.840122570843814,26.339525974263992,0,33.07489248647462,26.00185322741156
BIH,cows,mixed,meat,172366.1399989128,42.55,68019.64061773954,87522.71333460628,0,32362.5898412553,55995.67325049313
BLM,cows,mixed,meat,0,34.01416666666667,0,0,0,0,0
BLR,cows,mixed,meat,2410224.7499370575,47.05,1458402.618485157,1284498.2993673827,0,513220.86281002586,970324.2906374445
BLZ,cows,mixed,meat,102961.58119049668,34.95,37697.70504684689,35665.77980125147,0,44785.993245485246,35208.54447188791
BMU,cows,mixed,meat,0,56.834999999999994,0,0,0,0,0
BOL,cows,mixed,meat,6570666.914627553,46.4,3193890.049062926,3021737.7704485604,0,3794436.239192736,2982999.089493858
BRA,cows,mixed,meat,110432250.67978378,43.5,50324296.099502645,47611791.25114845,0,59786758.435170025,47001408.044174686
BRB,cows,mixed,meat,7616.7677001953125,34.01416666666667,2714.0826854488946,2567.7922648425533,0,3224.410840584302,2534.8731656809737
BRN,cows,mixed,meat,633.4672776022302,27.56,204.7304251912528,181.6905363864382,0,164.60737703819322,164.20644490753347
BTN,cows,mixed,meat,151470.24877107143,33.54,47660.585497449516,47537.00327575763,0,38320.06874166795,39788.26193943278
BWA,cows,mixed,meat,511956.0805582553,26.66,160055.95605384788,142043.62873813973,0,128688.20587244054,128374.76161799958
CAF,cows,mixed,meat,4031563.555126982,34.8,1645249.4102765305,1460096.8447330988,0,1322813.596202236,1319591.635661136
CAN,cows,mixed,meat,8572766.033563675,52.3,3391394.2645374355,3922514.1546169827,0,8116518.526533968,4598267.2298151385
CCK,cows,mixed,meat,0,51.625,0,0,0,0,0
CHE,cows,mixed,meat,716110.1864128113,63.4,355647.8642624297,526881.1272138504,0,333894.7631342998,362494.2788739528
CHL,cows,mixed,meat,1804492.797524791,45.96,868815.7826020623,821986.1753289656,0,1032178.9542051052,811448.3118165677
CHN,cows,mixed,meat,33245567.468729742,39.95,15575052.64394209,13822272.222027099,0,12522655.392114244,12492154.116908863
CIV,cows,mixed,meat,690396.7089340687,33.55,271625.3045410258,241057.2206455671,0,218392.20465610115,217860.26949312282
CMR,cows,mixed,meat,5096959.446212053,30.59,1828393.3978238723,1622630.2312697736,0,1470065.0434764805,1466484.4244258977
COD,cows,mixed,meat,836392.1232507117,26.26,257563.10097706027,228577.5449650941,0,207085.9103333148,206581.5137700898
COG,cows,mixed,meat,147221.2207989909,29.01,50083.78387534302,44447.47060957263,0,40268.36894499941,40170.28778211468
COK,cows,mixed,meat,0,46.58625,0,0,0,0,0
COL,cows,mixed,meat,6466973.275085048,44.26,2998506.567564465,2836885.5567855206,0,3562314.8601380885,2800516.6813774463
COM,cows,mixed,meat,40175.1940612793,25.95,12225.7168918588,10849.862973300116,0,9829.722124107579,9805.779992801416
CPV,cows,mixed,meat,20127.144568278338,30.708125,7247.937756784411,6432.271595662868,0,5827.487643645758,5813.293704835724
CRI,cows,mixed,meat,393089.32108306885,44.57,183538.17471415235,173645.374866821,0,218048.80278048254,171419.24100371383
CUB,cows,mixed,meat,2467084.55798018,27.63,714097.3944587365,675607.1860544988,0,848368.9138398251,666945.9013172119
CUW,cows,mixed,meat,27.306993487665004,34.01416666666667,0,0,20.872016275733493,0,6.219860850168581
CXR,cows,mixed,meat,144.67430114746094,51.625,0,0,167.83484833240507,0,50.014784803056706
CYM,cows,mixed,meat,0,34.01416666666667,0,0,0,0,0
CYP,cows,mixed,meat,36676.27867370844,37.69,16210.27530370298,14386.008392012385,0,13033.387178856668,13001.641920622465
CZE,cows,mixed,meat,908991.5084686279,55.56,237373.9853848884,535455.7286618241,0,628552.980357177,417612.04293235904
DEU,cows,mixed,meat,6763911.455604553,66.81,3803351.729760769,5382319.965009682,0,2403058.730280707,3453441.666665245
DJI,cows,mixed,meat,64289.461585998535,27.92,21049.132012586153,18680.31135217476,0,16923.925236250176,16882.703843101302
DMA,cows,mixed,meat,6429.526916503906,39.94,2690.16927313137,2545.167797465733,0,3196.000996504981,2512.538743996421
DNK,cows,mixed,meat,939693.7503125668,60.13,458690.2620979808,605129.3222589234,0,629147.4272893688,504504.1694705893
DOM,cows,mixed,meat,1727991.667602539,32.83,594299.0763624113,562266.0575037254,0,706044.9538423908,555057.8061371412
DZA,cows,mixed,meat,676568.8523723335,23,182481.4929128029,161945.44751691233,0,146718.78827160032,146361.42715299202
ECU,cows,mixed,meat,2171051.0690586716,43.14,981166.4933778517,928281.1263362963,0,1165654.9355062754,916380.5614556861
EGY,cows,mixed,meat,2803840.8749675844,24.45,803917.0053277705,713446.0438487984,0,646365.431419313,644791.0872175727
ERI,cows,mixed,meat,482888.20222091704,28.23,159858.7682876604,141868.63202734807,0,128529.66294485261,128216.60485143859
ESH,cows,mixed,meat,458.47952120233384,17.04,91.6154083359585,81.30522205614047,0,73.6606298178561,73.4812155425666
ESP,cows,mixed,meat,4660408.725637688,47.61,1264283.9746185238,1510356.2089070051,0,5271917.732000022,2397874.258826614
EST,cows,mixed,meat,148451.19615507126,64.12,93315.1244396234,99524.86940487727,2138.985781015654,104107.27997111146,89127.70535979507
ETH,cows,mixed,meat,38398776.840131305,31.15,14026665.192696039,12448136.715357203,0,11277720.757946564,11250251.754467942
FIN,cows,mixed,meat,617814.7804231548,67.33,855692.6244681514,539446.8549102136,0,0,415751.5648547528
FJI,cows,mixed,meat,39802.94603538513,41.5475,0,0,0,62368.600815280464,18585.843042953577
FLK,cows,mixed,meat,2666.296416282654,43.09076923076923,1203.6083845842936,1138.7332878268662,0,1429.9225089488646,1124.1347260452872
FRA,cows,mixed,meat,11901684.83587629,59.01,4203887.445794032,6944341.657795337,0,10542000.17910388,6463688.3262425875
