iso3c,animal,product,fao_product_tonnes
GUY,pigs,meat,470
GUY,sheep,meat,557
GUY,cows,milk,55400
HTI,chickens,eggs,4500
HTI,cows,meat,47992
HTI,chickens,meat,8349
HTI,goats,meat,5818
HTI,pigs,meat,34259
HTI,sheep,meat,902
HTI,cows,milk,49270
HTI,goats,milk,57259
HND,chickens,eggs,51600
HND,cows,meat,65342
HND,chickens,meat,192593
HND,goats,meat,161
HND,pigs,meat,10824
HND,sheep,meat,99
HND,cows,milk,686540
HUN,chickens,eggs,135598
HUN,cows,meat,28162
HUN,chickens,meat,341107
HUN,goats,meat,231
HUN,pigs,meat,469829
HUN,sheep,meat,1564
HUN,cows,milk,1967496
HUN,goats,milk,3683
HUN,sheep,milk,1810
ISL,chickens,eggs,4200
ISL,cows,meat,4614
ISL,chickens,meat,9697
ISL,pigs,meat,6265
ISL,sheep,meat,10619
ISL,cows,milk,155649
IND,chickens,eggs,4847500
IND,buffaloes,meat,1650476
IND,cows,meat,951164
IND,chickens,meat,3499485
IND,goats,meat,505213
IND,pigs,meat,306478
IND,sheep,meat,232485
IND,buffaloes,milk,86261680
IND,cows,milk,83633570
IND,goats,milk,6165500
IND,sheep,milk,202122
IDN,chickens,eggs,1527135
IDN,buffaloes,meat,32260
IDN,cows,meat,531757
IDN,chickens,meat,2258239
IDN,goats,meat,70024
IDN,pigs,meat,344247
IDN,sheep,meat,54818
IDN,buffaloes,milk,99173
IDN,cows,milk,920093
IDN,goats,milk,361415
IDN,sheep,milk,159338
IRN,chickens,eggs,673689
IRN,buffaloes,meat,6800
IRN,cows,meat,435831
IRN,chickens,meat,2139619
IRN,goats,meat,92252
IRN,pigs,meat,NA
IRN,sheep,meat,291200
IRN,buffaloes,milk,145765
IRN,cows,milk,6811482
IRN,goats,milk,311625
IRN,sheep,milk,449718
IRQ,chickens,eggs,36500
IRQ,buffaloes,meat,5751
IRQ,cows,meat,52512
IRQ,chickens,meat,96000
IRQ,goats,meat,10680
IRQ,sheep,meat,46058
IRQ,buffaloes,milk,33348
IRQ,cows,milk,272491
IRQ,goats,milk,15921
IRQ,sheep,milk,57297
IRL,chickens,eggs,54050
IRL,cows,meat,617000
IRL,chickens,meat,91053
IRL,pigs,meat,294200
IRL,sheep,meat,67100
IRL,cows,milk,7478160
ISR,chickens,eggs,149459
ISR,cows,meat,140655
ISR,chickens,meat,538066
ISR,goats,meat,4118
ISR,pigs,meat,14797
ISR,sheep,meat,9855
ISR,cows,milk,1513467
ISR,goats,milk,23179
ISR,sheep,milk,19745
ITA,chickens,eggs,727700
ITA,buffaloes,meat,16591
ITA,cows,meat,739830
ITA,chickens,meat,1006677
ITA,goats,meat,1774
ITA,pigs,meat,1466949
ITA,sheep,meat,33251
ITA,buffaloes,milk,208960
ITA,cows,milk,11380094
ITA,goats,milk,29194
ITA,sheep,milk,410380
JAM,chickens,eggs,10128
JAM,cows,meat,6695
JAM,chickens,meat,128290
JAM,goats,meat,925
JAM,pigs,meat,8965
JAM,sheep,meat,10
JAM,cows,milk,13200
JAM,goats,milk,189132
JPN,chickens,eggs,2601173
JPN,cows,meat,469096
JPN,chickens,meat,2214899
JPN,goats,meat,42
JPN,pigs,meat,1272301
JPN,sheep,meat,184
JPN,cows,milk,7276523
JPN,goats,milk,1643
JPN,sheep,milk,940
JOR,chickens,eggs,49600
JOR,cows,meat,28420
JOR,chickens,meat,192484
JOR,goats,meat,5797
JOR,sheep,meat,16707
JOR,cows,milk,291954
JOR,goats,milk,14554
JOR,sheep,milk,94712
KAZ,chickens,eggs,284843
KAZ,cows,meat,450432
KAZ,chickens,meat,170729
KAZ,goats,meat,20040
KAZ,pigs,meat,91912
KAZ,sheep,meat,151364
KAZ,cows,milk,5460451
KAZ,goats,milk,1414
KAZ,sheep,milk,34201
KEN,chickens,eggs,79389
KEN,cows,meat,588963
KEN,chickens,meat,30378
KEN,goats,meat,33677
KEN,pigs,meat,12988
KEN,sheep,meat,17766
KEN,cows,milk,3560000
KEN,goats,milk,256000
KEN,sheep,milk,66600
KIR,chickens,eggs,250
KIR,chickens,meat,857
KIR,pigs,meat,974
KWT,chickens,eggs,88000
KWT,cows,meat,2151
KWT,chickens,meat,55755
KWT,goats,meat,1322
KWT,sheep,meat,40553
KWT,cows,milk,65557
KWT,goats,milk,5869
KWT,sheep,milk,307
KGZ,chickens,eggs,28598
KGZ,cows,meat,103626
KGZ,chickens,meat,7639
KGZ,goats,meat,8653
KGZ,pigs,meat,16375
KGZ,sheep,meat,63924
KGZ,cows,milk,1527043
KGZ,goats,milk,900
KGZ,sheep,milk,37687
LAO,chickens,eggs,15000
LAO,buffaloes,meat,19541
LAO,cows,meat,34872
LAO,chickens,meat,25903
LAO,goats,meat,1936
LAO,pigs,meat,69904
LAO,cows,milk,60260
LVA,chickens,eggs,48100
LVA,cows,meat,18450
LVA,chickens,meat,33393
LVA,pigs,meat,38073
LVA,sheep,meat,870
LVA,cows,milk,997992
LVA,goats,milk,2100
LBN,chickens,eggs,19298
LBN,cows,meat,42141
LBN,chickens,meat,125263
LBN,goats,meat,3034
LBN,pigs,meat,611
LBN,sheep,meat,6909
LBN,cows,milk,195329
LBN,goats,milk,18500
LBN,sheep,milk,13500
LSO,chickens,eggs,1400
LSO,cows,meat,10384
LSO,chickens,meat,1920
LSO,goats,meat,2601
LSO,pigs,meat,3957
LSO,sheep,meat,4670
LSO,cows,milk,170000
LBR,chickens,eggs,6200
LBR,cows,meat,1251
LBR,chickens,meat,13853
LBR,goats,meat,1235
