iso3c,organism,tonnes_product,million_kcals,tonnes_protein
MAC,marine-fish-general,0,0,0
MKD,marine-fish-general,0,0,0
MDG,marine-fish-general,0,0,0
MWI,marine-fish-general,0,0,0
MYS,marine-fish-general,58487.8511926605,59186.637133664066,10234.817529108754
MDV,marine-fish-general,0,0,0
MLI,marine-fish-general,0,0,0
MLT,marine-fish-general,2458.2,2487.56944280132,430.1616136858915
MHL,marine-fish-general,0,0,0
MTQ,marine-fish-general,0,0,0
MRT,marine-fish-general,0,0,0
MUS,marine-fish-general,1200,1214.337047986976,209.98858368849966
MYT,marine-fish-general,0,0,0
MEX,marine-fish-general,655.98,663.8173472820804,114.79025927331833
FSM,marine-fish-general,0,0,0
MDA,marine-fish-general,0,0,0
MCO,marine-fish-general,0,0,0
MNG,marine-fish-general,0,0,0
MNE,marine-fish-general,0,0,0
MSR,marine-fish-general,0,0,0
MAR,marine-fish-general,0,0,0
MOZ,marine-fish-general,0,0,0
MMR,marine-fish-general,0,0,0
"NAM",marine-fish-general,0,0,0
NRU,marine-fish-general,0,0,0
NPL,marine-fish-general,0,0,0
NLD,marine-fish-general,0,0,0
NCL,marine-fish-general,0,0,0
NZL,marine-fish-general,0,0,0
NIC,marine-fish-general,0,0,0
NER,marine-fish-general,0,0,0
NGA,marine-fish-general,0,0,0
NIU,marine-fish-general,0,0,0
NFK,marine-fish-general,0,0,0
PRK,marine-fish-general,0,0,0
MNP,marine-fish-general,0,0,0
NOR,marine-fish-general,1623.07,1642.4616937301842,284.0218087727443
OMN,marine-fish-general,0,0,0
PAK,marine-fish-general,0,0,0
PLW,marine-fish-general,0,0,0
PSE,marine-fish-general,0,0,0
PAN,marine-fish-general,1800,1821.5055719804636,314.98287553274946
PNG,marine-fish-general,0,0,0
PRY,marine-fish-general,0,0,0
PER,marine-fish-general,0,0,0
PHL,marine-fish-general,365198.3,369561.5212932183,63906.228152039825
PCN,marine-fish-general,0,0,0
POL,marine-fish-general,0,0,0
PRT,marine-fish-general,4043.45383928571,4091.763165724844,707.5659541011937
PRI,marine-fish-general,0,0,0
QAT,marine-fish-general,0,0,0
COG,marine-fish-general,0,0,0
REU,marine-fish-general,0,0,0
ROU,marine-fish-general,0,0,0
RUS,marine-fish-general,0,0,0
RWA,marine-fish-general,0,0,0
BLM,marine-fish-general,0,0,0
MAF,marine-fish-general,0,0,0
SHN,marine-fish-general,0,0,0
KNA,marine-fish-general,0,0,0
LCA,marine-fish-general,0,0,0
SPM,marine-fish-general,0,0,0
VCT,marine-fish-general,0,0,0
WSM,marine-fish-general,0,0,0
SMR,marine-fish-general,0,0,0
STP,marine-fish-general,0,0,0
SAU,marine-fish-general,7730,7822.354484116103,1352.676459926752
SEN,marine-fish-general,0,0,0
SRB,marine-fish-general,0,0,0
SYC,marine-fish-general,0,0,0
SLE,marine-fish-general,0,0,0
SGP,marine-fish-general,2373.76880733945,2402.1295050901267,415.3869582142918
SXM,marine-fish-general,0,0,0
SVK,marine-fish-general,0,0,0
SVN,marine-fish-general,0,0,0
SLB,marine-fish-general,0,0,0
SOM,marine-fish-general,0,0,0
ZAF,marine-fish-general,0,0,0
KOR,marine-fish-general,84234,85240.38908344577,14740.148632014234
SSD,marine-fish-general,0,0,0
ESP,marine-fish-general,47652.42,48221.749193529606,8338.720154274612
LKA,marine-fish-general,0,0,0
SDN,marine-fish-general,0,0,0
SUR,marine-fish-general,0,0,0
SJM,marine-fish-general,0,0,0
SWZ,marine-fish-general,0,0,0
