TaxonName,calories_mean,protein_mean,Species,Genus,Family,Order
Lethrinus atlanticus,103.44613636363636,18.36987012987013,Lethrinus atlanticus,Lethrinus,Lethrinidae,Eupercaria/misc
Lethrinus borbonicus,103.44613636363636,18.36987012987013,Lethrinus borbonicus,Lethrinus,Lethrinidae,Eupercaria/misc
Lethrinus harak,110.21,19.58,Lethrinus harak,Lethrinus,Lethrinidae,Eupercaria/misc
Lethrinus lentjan,103.29499999999999,18.09,Lethrinus lentjan,Lethrinus,Lethrinidae,Eupercaria/misc
Lethrinus mahsena,103.29499999999999,18.09,Lethrinus mahsena,Lethrinus,Lethrinidae,Eupercaria/misc
Lethrinus microdon,110.21,19.58,Lethrinus microdon,Lethrinus,Lethrinidae,Eupercaria/misc
Lethrinus nebulosus,97.43795454545455,18.55909090909091,Lethrinus nebulosus,Lethrinus,Lethrinidae,Eupercaria/misc
Lethrinus obsoletus,103.29499999999999,18.09,Lethrinus obsoletus,Lethrinus,Lethrinidae,Eupercaria/misc
Lethrinus xanthochilus,96.38,16.6,Lethrinus xanthochilus,Lethrinus,Lethrinidae,Eupercaria/misc
Leucoraja circularis,97.625,18.8375,Leucoraja circularis,Leucoraja,Rajidae,Rajiformes
Leucoraja erinacea,106,17.9,Leucoraja erinacea,Leucoraja,Rajidae,Rajiformes
Leucoraja fullonica,97.625,18.8375,Leucoraja fullonica,Leucoraja,Rajidae,Rajiformes
Leucoraja naevus,97.625,18.8375,Leucoraja naevus,Leucoraja,Rajidae,Rajiformes
Lichia amia,106,19.9,Lichia amia,Lichia,Carangidae,Carangiformes
Limanda aspera,96.67125,17.375,Limanda aspera,Limanda,Pleuronectidae,Pleuronectiformes
Limanda ferruginea,96.38,16.6,Limanda ferruginea,Limanda,Pleuronectidae,Pleuronectiformes
Limanda limanda,105,18.6,Limanda limanda,Limanda,Pleuronectidae,Pleuronectiformes
Limulus polyphemus,107.25982321161798,18.85700945291929,Limulus polyphemus,Limulus,Limulidae,Xiphosurida
Liocarcinus depurator,108.66916225749559,18.760118911952244,Liocarcinus depurator,Liocarcinus,Polybiidae,Decapoda
Lithodes,108.66916225749559,18.760118911952244,NA,Lithodes,Lithodidae,Decapoda
Lithodes aequispinus,108.66916225749559,18.760118911952244,Lithodes aequispinus,Lithodes,Lithodidae,Decapoda
Lithodes antarcticus,108.66916225749559,18.760118911952244,NA,NA,NA,Decapoda
Lithodes maia,108.66916225749559,18.760118911952244,Lithodes maia,Lithodes,Lithodidae,Decapoda
Lithodidae,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Lithognathus mormyrus,104.62,20.0275,Lithognathus mormyrus,Lithognathus,Sparidae,Eupercaria/misc
Litopenaeus occidentalis,108.66916225749559,18.760118911952244,Litopenaeus occidentalis,Litopenaeus,Penaeidae,Decapoda
Litopenaeus setiferus,108.66916225749559,18.760118911952244,Litopenaeus setiferus,Litopenaeus,Penaeidae,Decapoda
Litopenaeus stylirostris,108.66916225749559,18.760118911952244,Litopenaeus stylirostris,Litopenaeus,Penaeidae,Decapoda
Litopenaeus vannamei,108.66916225749559,18.760118911952244,Litopenaeus vannamei,Litopenaeus,Penaeidae,Decapoda
Littorina,107.25982321161798,18.85700945291929,NA,Littorina,Littorinidae,Littorinimorpha
Littorina littorea,107.25982321161798,18.85700945291929,Littorina littorea,Littorina,Littorinidae,Littorinimorpha
Liza aurata,114.5680787037037,19.658258877696376,Liza aurata,Liza,Mugilidae,Mugiliformes
Liza klunzingeri,114.5680787037037,19.658258877696376,Liza klunzingeri,Liza,Mugilidae,Mugiliformes
Liza saliens,114.5680787037037,19.658258877696376,Liza saliens,Liza,Mugilidae,Mugiliformes
Lobotes surinamensis,90.27142857142857,17.512452380952382,Lobotes surinamensis,Lobotes,Lobotidae,Acanthuriformes
Loligo,107.25982321161798,18.85700945291929,NA,Loligo,Loliginidae,Myopsida
Loligo forbesii,107.25982321161798,18.85700945291929,Loligo forbesii,Loligo,Loliginidae,Myopsida
Loligo gahi,107.25982321161798,18.85700945291929,Loligo gahi,Loligo,Loliginidae,Myopsida
Loligo opalescens,107.25982321161798,18.85700945291929,Loligo opalescens,Loligo,Loliginidae,Myopsida
Loligo pealeii,107.25982321161798,18.85700945291929,Loligo pealeii,Loligo,Loliginidae,Myopsida
Loligo vulgaris,107.25982321161798,18.85700945291929,Loligo vulgaris,Loligo,Loliginidae,Myopsida
Lophiidae,108.66916225749559,18.760118911952244,NA,NA,Lophiidae,Lophiiformes
Lophius,104.845,16.115000000000002,NA,Lophius,Lophiidae,Lophiiformes
Lophius americanus,76,14.48,Lophius americanus,Lophius,Lophiidae,Lophiiformes
Lophius budegassa,96.38,16.6,Lophius budegassa,Lophius,Lophiidae,Lophiiformes
Lophius gastrophysus,104.845,16.115000000000002,Lophius gastrophysus,Lophius,Lophiidae,Lophiiformes
Lophius piscatorius,76,14.48,Lophius piscatorius,Lophius,Lophiidae,Lophiiformes
Lophius vomerinus,171,18.9,Lophius vomerinus,Lophius,Lophiidae,Lophiiformes
Lopholatilus chamaeleonticeps,96,17.5,Lopholatilus chamaeleonticeps,Lopholatilus,Latilidae,Eupercaria/misc
Loxechinus albus,107.25982321161798,18.85700945291929,Loxechinus albus,Loxechinus,Parechinidae,Camarodonta
Lutjanidae,108.66916225749559,18.760118911952244,NA,NA,Lutjanidae,Eupercaria/misc
Lutjanus,98.46845685425686,18.948266185666185,NA,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus analis,95.46181818181819,19.256363636363638,Lutjanus analis,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus argentimaculatus,97.1187554112554,18.573084415584415,Lutjanus argentimaculatus,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus argentiventris,95.92090909090909,17.92818181818182,Lutjanus argentiventris,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus bohar,95.19560606060607,17.465454545454545,Lutjanus bohar,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus campechanus,102.8359090909091,19.418181818181818,Lutjanus campechanus,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus gibbus,102.58251082251083,19.514502164502165,Lutjanus gibbus,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus griseus,92.3559090909091,19.515681818181818,Lutjanus griseus,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus guttatus,95.46181818181819,19.256363636363638,Lutjanus guttatus,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus johnii,104.48938311688312,19.530876623376624,Lutjanus johnii,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus kasmira,101.03188311688312,18.785876623376623,Lutjanus kasmira,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus malabaricus,101.61650649350649,19.1127012987013,Lutjanus malabaricus,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus purpureus,95.46181818181819,19.256363636363638,Lutjanus purpureus,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus quinquelineatus,102.58251082251083,19.514502164502165,Lutjanus quinquelineatus,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus synagris,98.99060606060605,19.167676767676767,Lutjanus synagris,Lutjanus,Lutjanidae,Eupercaria/misc
Lutjanus vivanus,95.92090909090909,17.92818181818182,Lutjanus vivanus,Lutjanus,Lutjanidae,Eupercaria/misc
Lycodes,102.435,17.227307692307694,NA,Lycodes,Zoarcidae,Perciformes/Zoarcoidei
Macrodon ancylodon,108.37388888888889,18.348055555555554,Macrodon ancylodon,Macrodon,Sciaenidae,Eupercaria/misc
Macroramphosus scolopax,96.38,16.6,Macroramphosus scolopax,Macroramphosus,Centriscidae,Syngnathiformes
Macrouridae,108.66916225749559,18.760118911952244,NA,NA,Macrouridae,Gadiformes
Macrourus,76,16.41,NA,Macrourus,Macrouridae,Gadiformes
Macrourus berglax,76,16.41,Macrourus berglax,Macrourus,Macrouridae,Gadiformes
Macrourus whitsoni,76,16.41,Macrourus whitsoni,Macrourus,Macrouridae,Gadiformes
Macruronus magellanicus,91.13571428571429,17.55125,Macruronus magellanicus,Macruronus,Macruronidae,Gadiformes
Macruronus novaezelandiae,90.23452380952381,18.49395833333333,Macruronus novaezelandiae,Macruronus,Macruronidae,Gadiformes
Mactra sachalinensis,108.66916225749559,18.760118911952244,Mactra sachalinensis,Mactra,Mactridae,Venerida
Mactridae,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Maja squinado,108.66916225749559,18.760118911952244,Maja squinado,Maja,Majidae,Decapoda
Makaira indica,96.55638741916519,19.05337297065075,Makaira indica,Makaira,Istiophoridae,Carangiformes
Makaira mazara,96.55638741916519,19.05337297065075,Makaira mazara,Makaira,Istiophoridae,Carangiformes
Makaira nigricans,96.55638741916519,19.05337297065075,Makaira nigricans,Makaira,Istiophoridae,Carangiformes
Malacanthidae,108.66916225749559,18.760118911952244,NA,NA,Malacanthidae,Eupercaria/misc
Mallotus villosus,129,18.945,Mallotus villosus,Mallotus,Osmeridae,Osmeriformes
Mancopsetta maculata antarctica,99.77334588144599,18.29656793280483,Mancopsetta maculata antarctica,Mancopsetta,Achiropsettidae,Pleuronectiformes
Marine animals,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Marine fishes not identified,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Marsupenaeus japonicus,108.66916225749559,18.760118911952244,Marsupenaeus japonicus,Marsupenaeus,Penaeidae,Decapoda
Megabalanus psittacus,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Megalaspis cordyla,114.7291129032258,19.147045454545456,Megalaspis cordyla,Megalaspis,Carangidae,Carangiformes
Megalops atlanticus,90.125,17.439999999999998,Megalops atlanticus,Megalops,Megalopidae,Elopiformes
Megalops cyprinoides,120.96619047619048,19.325595238095236,Megalops cyprinoides,Megalops,Megalopidae,Elopiformes
Melanogrammus aeglefinus,74,16.32,Melanogrammus aeglefinus,Melanogrammus,Gadidae,Gadiformes
Melicertus kerathurus,108.66916225749559,18.760118911952244,Melicertus kerathurus,Melicertus,Penaeidae,Decapoda
Melicertus latisulcatus,108.66916225749559,18.760118911952244,Melicertus latisulcatus,Melicertus,Penaeidae,Decapoda
Mene maculata,134,18.6,Mene maculata,Mene,Menidae,Carangaria/misc
Menidia menidia,91.715,18.14,Menidia menidia,Menidia,Atherinopsidae,Atheriniformes
Menippe mercenaria,108.66916225749559,18.760118911952244,Menippe mercenaria,Menippe,Menippidae,Decapoda
Menticirrhus,96.56527777777778,18.430515873015874,NA,Menticirrhus,Sciaenidae,Eupercaria/misc
Menticirrhus littoralis,98.01166666666667,18.229285714285716,Menticirrhus littoralis,Menticirrhus,Sciaenidae,Eupercaria/misc
Menticirrhus saxatilis,95.11888888888889,18.631746031746033,Menticirrhus saxatilis,Menticirrhus,Sciaenidae,Eupercaria/misc
Mercenaria mercenaria,108.66916225749559,18.760118911952244,Mercenaria mercenaria,Mercenaria,Veneridae,Venerida
Meretrix,108.66916225749559,18.760118911952244,NA,Meretrix,Veneridae,Venerida
Meretrix lusoria,108.66916225749559,18.760118911952244,Meretrix lusoria,Meretrix,Veneridae,Venerida
Merlangius merlangus,89.33333333333333,19.436666666666667,Merlangius merlangus,Merlangius,Gadidae,Gadiformes
Merluccius,101.44713403880071,18.13863425925926,NA,Merluccius,Merlucciidae,Gadiformes
Merluccius australis,84.82301587301588,17.769305555555555,Merluccius australis,Merluccius,Merlucciidae,Gadiformes
Merluccius bilinearis,90.23452380952381,18.49395833333333,Merluccius bilinearis,Merluccius,Merlucciidae,Gadiformes
Merluccius capensis,117.1563492063492,18.629305555555554,Merluccius capensis,Merluccius,Merlucciidae,Gadiformes
Merluccius gayi gayi,101.44713403880071,18.13863425925926,Merluccius gayi gayi,Merluccius,Merlucciidae,Gadiformes
Merluccius gayi peruanus,101.44713403880071,18.13863425925926,Merluccius gayi peruanus,Merluccius,Merlucciidae,Gadiformes
Merluccius hubbsi,91.13571428571429,17.55125,Merluccius hubbsi,Merluccius,Merlucciidae,Gadiformes
Merluccius merluccius,126.10079365079365,18.981805555555553,Merluccius merluccius,Merluccius,Merlucciidae,Gadiformes
Merluccius paradoxus,131.06785714285715,18.225625,Merluccius paradoxus,Merluccius,Merlucciidae,Gadiformes
Merluccius polli,91.13571428571429,17.55125,Merluccius polli,Merluccius,Merlucciidae,Gadiformes
Merluccius productus,90.23452380952381,18.49395833333333,Merluccius productus,Merluccius,Merlucciidae,Gadiformes
Merluccius senegalensis,91.13571428571429,17.55125,Merluccius senegalensis,Merluccius,Merlucciidae,Gadiformes
Mesodesma donacium,108.66916225749559,18.760118911952244,Mesodesma donacium,NA,Mesodesmatidae,Venerida
Metanephrops,108.66916225749559,18.760118911952244,NA,Metanephrops,Nephropidae,Decapoda
Metanephrops challengeri,108.66916225749559,18.760118911952244,Metanephrops challengeri,Metanephrops,Nephropidae,Decapoda
Metanephrops mozambicus,108.66916225749559,18.760118911952244,Metanephrops mozambicus,Metanephrops,Nephropidae,Decapoda
Metapenaeus,108.66916225749559,18.760118911952244,NA,Metapenaeus,Penaeidae,Decapoda
Metapenaeus endeavouri,108.66916225749559,18.760118911952244,Metapenaeus endeavouri,Metapenaeus,Penaeidae,Decapoda
Metapenaeus joyneri,108.66916225749559,18.760118911952244,Metapenaeus joyneri,Metapenaeus,Penaeidae,Decapoda
Metapenaeus monoceros,108.66916225749559,18.760118911952244,Metapenaeus monoceros,Metapenaeus,Penaeidae,Decapoda
Microchirus,96.9625,18.15,NA,Microchirus,Soleidae,Pleuronectiformes
Microchirus variegatus,96.9625,18.15,Microchirus variegatus,Microchirus,Soleidae,Pleuronectiformes
Microcosmus sulcatus,107.25982321161798,18.85700945291929,Microcosmus sulcatus,Microcosmus,Pyuridae,Stolidobranchia
Microgadus tomcod,88.3,18.696,Microgadus tomcod,Microgadus,Gadidae,Gadiformes
Micromesistius australis,84.16666666666666,18.038333333333334,Micromesistius australis,Micromesistius,Gadidae,Gadiformes
Micromesistius poutassou,84.16666666666666,18.038333333333334,Micromesistius poutassou,Micromesistius,Gadidae,Gadiformes
Micropogonias,102.36981060606061,17.8792775974026,NA,Micropogonias,Sciaenidae,Eupercaria/misc
Micropogonias furnieri,100.71628787878788,17.99998376623377,Micropogonias furnieri,Micropogonias,Sciaenidae,Eupercaria/misc
Micropogonias undulatus,104.02333333333334,17.75857142857143,Micropogonias undulatus,Micropogonias,Sciaenidae,Eupercaria/misc
Microstomus kitt,96.9625,18.15,Microstomus kitt,Microstomus,Pleuronectidae,Pleuronectiformes
Microstomus pacificus,96.9625,18.15,Microstomus pacificus,Microstomus,Pleuronectidae,Pleuronectiformes
Miichthys miiuy,104.02333333333334,17.75857142857143,Miichthys miiuy,Miichthys,Sciaenidae,Eupercaria/misc
Miscellaneous marine crustaceans,108.66916225749559,18.760118911952244,NA,NA,NA,Decapoda
Miscellaneous marine molluscs,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Mobula mobular,89.25,19.775,Mobula mobular,Mobula,Mobulidae,Myliobatiformes
Modiolus,107.25982321161798,18.85700945291929,NA,Modiolus,Mytilidae,Mytilida
Mola mola,89,19.4,Mola mola,Mola,Molidae,Tetraodontiformes
Molva,87,18.99,NA,Molva,Lotidae,Gadiformes
Molva dypterygia,87,18.99,Molva dypterygia,Molva,Lotidae,Gadiformes
Molva molva,87,18.99,Molva molva,Molva,Lotidae,Gadiformes
Monacanthidae,108.66916225749559,18.760118911952244,NA,NA,Monacanthidae,Tetraodontiformes
Monotaxis grandoculis,104.62,20.0275,Monotaxis grandoculis,Monotaxis,Lethrinidae,Eupercaria/misc
Mora moro,88.3,18.696,Mora moro,Mora,Moridae,Gadiformes
Moridae,108.66916225749559,18.760118911952244,NA,NA,Moridae,Gadiformes
Morone americana,101.28571428571429,18.787142857142857,Morone americana,Morone,Moronidae,Eupercaria/misc
Morone saxatilis,90.0625,17.9,Morone saxatilis,Morone,Moronidae,Eupercaria/misc
Mugil,108.66916225749559,18.760118911952244,NA,NA,Mugilidae,Mugiliformes
Mugil cephalus,102.54285714285714,19.228571428571428,Mugil cephalus,NA,Mugilidae,Mugiliformes
Mugil liza,121.99857142857142,20.439285714285713,Mugil liza,NA,Mugilidae,Mugiliformes
Mugil soiuy,108.66916225749559,18.760118911952244,Mugil soiuy,NA,Mugilidae,Mugiliformes
Mugilidae,108.66916225749559,18.760118911952244,NA,NA,Mugilidae,Mugiliformes
Mulinia,108.66916225749559,18.760118911952244,NA,Mulinia,Mactridae,Venerida
Mullidae,108.66916225749559,18.760118911952244,NA,NA,Mullidae,Mulliformes
Mulloidichthys flavolineatus,96.38,16.6,Mulloidichthys flavolineatus,Mulloidichthys,Mullidae,Mulliformes
Mullus,121.99857142857142,20.439285714285713,NA,Mullus,Mullidae,Mulliformes
Mullus argentinae,121.99857142857142,20.439285714285713,Mullus argentinae,Mullus,Mullidae,Mulliformes
Mullus barbatus barbatus,121.99857142857142,20.439285714285713,Mullus barbatus barbatus,Mullus,Mullidae,Mulliformes
Mullus surmuletus,121.99857142857142,20.439285714285713,Mullus surmuletus,Mullus,Mullidae,Mulliformes
Muraena helena,89.25,19.775,Muraena helena,Muraena,Muraenidae,Anguilliformes
Muraenesox,108.185,18.507307692307695,NA,Muraenesox,Muraenesocidae,Anguilliformes
Muraenesox cinereus,108.185,18.507307692307695,Muraenesox cinereus,Muraenesox,Muraenesocidae,Anguilliformes
Muraenidae,108.66916225749559,18.760118911952244,NA,NA,Muraenidae,Anguilliformes
Muraenolepis,89.25,19.775,NA,Muraenolepis,Muraenolepididae,Gadiformes
Muraenolepis microps,89.25,19.775,Muraenolepis microps,Muraenolepis,Muraenolepididae,Gadiformes
Murex,108.66916225749559,18.760118911952244,NA,Murex,Muricidae,Neogastropoda
Mustelus,100.2511111111111,18.97041666666667,NA,Mustelus,Triakidae,Carcharhiniformes
Mustelus asterias,96.38,16.6,Mustelus asterias,Mustelus,Triakidae,Carcharhiniformes
Mustelus henlei,100.2511111111111,18.97041666666667,Mustelus henlei,Mustelus,Triakidae,Carcharhiniformes
Mustelus lenticulatus,105.31055555555555,20.811666666666667,Mustelus lenticulatus,Mustelus,Triakidae,Carcharhiniformes
Mustelus mustelus,99.06277777777777,19.499583333333334,Mustelus mustelus,Mustelus,Triakidae,Carcharhiniformes
Mustelus schmitti,100.2511111111111,18.97041666666667,Mustelus schmitti,Mustelus,Triakidae,Carcharhiniformes
Mya arenaria,107.25982321161798,18.85700945291929,Mya arenaria,Mya,Myidae,Myida
Mycteroperca,101.9888888888889,18.143777777777778,NA,Mycteroperca,Serranidae,Perciformes/Serranoidei
Mycteroperca interstitialis,109.68222222222222,18.505555555555556,Mycteroperca interstitialis,Mycteroperca,Serranidae,Perciformes/Serranoidei
Mycteroperca microlepis,96.62777777777778,17.766666666666666,Mycteroperca microlepis,Mycteroperca,Serranidae,Perciformes/Serranoidei
Mycteroperca phenax,103.50333333333333,18.34,Mycteroperca phenax,Mycteroperca,Serranidae,Perciformes/Serranoidei
Mycteroperca venenosa,96.62777777777778,17.766666666666666,Mycteroperca venenosa,Mycteroperca,Serranidae,Perciformes/Serranoidei
Mycteroperca xenarcha,103.50333333333333,18.34,Mycteroperca xenarcha,Mycteroperca,Serranidae,Perciformes/Serranoidei
Myctophidae,108.66916225749559,18.760118911952244,NA,NA,Myctophidae,Myctophiformes
Myliobatidae,108.66916225749559,18.760118911952244,NA,NA,Myliobatidae,Myliobatiformes
Myliobatis aquila,97.625,18.8375,Myliobatis aquila,Myliobatis,Myliobatidae,Myliobatiformes
Myoxocephalus,108.66916225749559,18.760118911952244,NA,Myoxocephalus,Cottidae,Perciformes/Cottoidei
Mytilidae,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Mytilus,107.25982321161798,18.85700945291929,NA,Mytilus,Mytilidae,Mytilida
Mytilus chilensis,107.25982321161798,18.85700945291929,Mytilus chilensis,Mytilus,Mytilidae,Mytilida
Mytilus coruscus,107.25982321161798,18.85700945291929,Mytilus coruscus,Mytilus,Mytilidae,Mytilida
Mytilus edulis,107.25982321161798,18.85700945291929,Mytilus edulis,Mytilus,Mytilidae,Mytilida
Mytilus galloprovincialis,107.25982321161798,18.85700945291929,Mytilus galloprovincialis,Mytilus,Mytilidae,Mytilida
Myxine glutinosa,125.87,17.814615384615387,Myxine glutinosa,Myxine,Myxinidae,Myxiniformes
Myxinidae,108.66916225749559,18.760118911952244,NA,NA,Myxinidae,Myxiniformes
Naso unicornis,108.66916225749559,18.760118911952244,Naso unicornis,Naso,Acanthuridae,Acanthuriformes
Necora puber,108.66916225749559,18.760118911952244,Necora puber,Necora,Polybiidae,Decapoda
Nemadactylus,108.66916225749559,18.760118911952244,NA,Nemadactylus,Latridae,Centrarchiformes
Nemadactylus bergi,108.66916225749559,18.760118911952244,Nemadactylus bergi,Nemadactylus,Latridae,Centrarchiformes
Nematalosa nasus,119.625,18.2835,Nematalosa nasus,Nematalosa,Clupeidae,Clupeiformes
Nematopalaemon schmitti,108.66916225749559,18.760118911952244,Nematopalaemon schmitti,Nematopalaemon,Palaemonidae,Decapoda
Nemipteridae,108.66916225749559,18.760118911952244,NA,NA,Nemipteridae,Eupercaria/misc
Nemipterus,99.17761904761905,18.961190476190474,NA,Nemipterus,Nemipteridae,Eupercaria/misc
Nemipterus japonicus,102.3652380952381,19.522380952380953,Nemipterus japonicus,Nemipterus,Nemipteridae,Eupercaria/misc
Nemipterus virgatus,95.99,18.4,Nemipterus virgatus,Nemipterus,Nemipteridae,Eupercaria/misc
Neopagetopsis ionah,105.76912277407976,17.739660146026814,Neopagetopsis ionah,Neopagetopsis,Channichthyidae,Perciformes/Notothenioidei
Nephrops norvegicus,108.66916225749559,18.760118911952244,Nephrops norvegicus,Nephrops,Nephropidae,Decapoda
Normanichthys crockeri,104.68851047285634,19.68856675897656,Normanichthys crockeri,Normanichthys,Normanichthyidae,Perciformes/Scorpaenoidei
Notorynchus cepedianus,97.10111111111111,20.506666666666668,Notorynchus cepedianus,Notorynchus,Hexanchidae,Hexanchiformes
Notothenia coriiceps,92.34,17.648000000000003,Notothenia coriiceps,Notothenia,Nototheniidae,Perciformes/Notothenioidei
Notothenia rossii,88.3,18.696,Notothenia rossii,Notothenia,Nototheniidae,Perciformes/Notothenioidei
Nototheniidae,108.66916225749559,18.760118911952244,NA,NA,Nototheniidae,Perciformes/Notothenioidei
Nototodarus sloanii,107.25982321161798,18.85700945291929,Nototodarus sloanii,Nototodarus,Ommastrephidae,Oegopsida
Oblada melanura,104.62,20.0275,Oblada melanura,Oblada,Sparidae,Eupercaria/misc
Octopoda,108.66916225749559,18.760118911952244,NA,NA,NA,Octopoda
Octopodidae,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Octopus,108.66916225749559,18.760118911952244,NA,Octopus,Octopodidae,Octopoda
Octopus vulgaris,108.66916225749559,18.760118911952244,Octopus vulgaris,Octopus,Octopodidae,Octopoda
Ocyurus chrysurus,96.38,16.6,Ocyurus chrysurus,Ocyurus,Lutjanidae,Eupercaria/misc
Odontesthes regia,86.43,18.65,Odontesthes regia,Odontesthes,Atherinopsidae,Atheriniformes
Ommastrephes bartramii,107.25982321161798,18.85700945291929,Ommastrephes bartramii,Ommastrephes,Ommastrephidae,Oegopsida
Ommastrephidae,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Oncorhynchus,141.47233333333332,20.625833333333333,NA,Oncorhynchus,Salmonidae,Salmoniformes
Oncorhynchus gorbuscha,142.66666666666666,20.556666666666665,Oncorhynchus gorbuscha,Oncorhynchus,Salmonidae,Salmoniformes
Oncorhynchus keta,142.66666666666666,20.556666666666665,Oncorhynchus keta,Oncorhynchus,Salmonidae,Salmoniformes
Oncorhynchus kisutch,139.68083333333334,20.72958333333333,Oncorhynchus kisutch,Oncorhynchus,Salmonidae,Salmoniformes
Oncorhynchus masou masou,141.47233333333332,20.625833333333333,Oncorhynchus masou masou,Oncorhynchus,Salmonidae,Salmoniformes
Oncorhynchus nerka,139.68083333333334,20.72958333333333,Oncorhynchus nerka,Oncorhynchus,Salmonidae,Salmoniformes
Oncorhynchus tshawytscha,142.66666666666666,20.556666666666665,Oncorhynchus tshawytscha,Oncorhynchus,Salmonidae,Salmoniformes
Ophichthidae,108.66916225749559,18.760118911952244,NA,NA,Ophichthidae,Anguilliformes
Ophidiidae,108.66916225749559,18.760118911952244,NA,NA,Ophidiidae,Ophidiiformes
Ophiodon elongatus,87.65,18.843,Ophiodon elongatus,Ophiodon,Hexagrammidae,Perciformes/Cottoidei
Opisthonema libertate,144.5,18.8375,Opisthonema libertate,Opisthonema,Clupeidae,Clupeiformes
Opisthonema oglinum,144.5,18.8375,Opisthonema oglinum,Opisthonema,Clupeidae,Clupeiformes
Orcynopsis unicolor,161.93333333333334,23,Orcynopsis unicolor,Orcynopsis,Scombridae,Scombriformes
Oreosomatidae,108.66916225749559,18.760118911952244,NA,NA,Oreosomatidae,Zeiformes
Orthopristis chrysoptera,91.3,18.666666666666668,Orthopristis chrysoptera,Orthopristis,Haemulidae,Eupercaria/misc
Osmeridae,108.66916225749559,18.760118911952244,NA,NA,Osmeridae,Osmeriformes
Osmerus eperlanus,92,18.31,Osmerus eperlanus,Osmerus,Osmeridae,Osmeriformes
Osmerus mordax mordax,92,18.31,Osmerus mordax mordax,Osmerus,Osmeridae,Osmeriformes
Ostraciidae,108.66916225749559,18.760118911952244,NA,NA,Ostraciidae,Tetraodontiformes
Ostrea,107.25982321161798,18.85700945291929,NA,Ostrea,Ostreidae,Ostreida
Ostrea chilensis,107.25982321161798,18.85700945291929,Ostrea chilensis,Ostrea,Ostreidae,Ostreida
Ostrea edulis,107.25982321161798,18.85700945291929,Ostrea edulis,Ostrea,Ostreidae,Ostreida
Ostrea lutaria,107.25982321161798,18.85700945291929,Ostrea lutaria,Ostrea,Ostreidae,Ostreida
Otolithes ruber,104.69196969696969,18.909989177489177,Otolithes ruber,Otolithes,Sciaenidae,Eupercaria/misc
Oxynotus centrina,97.10111111111111,20.506666666666668,Oxynotus centrina,Oxynotus,Oxynotidae,Squaliformes
Pagellus,106.48333333333333,19.878333333333334,NA,Pagellus,Sparidae,Eupercaria/misc
Pagellus acarne,104.62,20.0275,Pagellus acarne,Pagellus,Sparidae,Eupercaria/misc
Pagellus bellottii,106.48333333333333,19.878333333333334,Pagellus bellottii,Pagellus,Sparidae,Eupercaria/misc
Pagellus bogaraveo,104.62,20.0275,Pagellus bogaraveo,Pagellus,Sparidae,Eupercaria/misc
Pagellus erythrinus,110.21,19.58,Pagellus erythrinus,Pagellus,Sparidae,Eupercaria/misc
Pagrus,102.45931818181819,20.075113636363636,NA,Pagrus,Sparidae,Eupercaria/misc
Pagrus auratus,101.56727272727272,19.770454545454545,Pagrus auratus,Pagrus,Sparidae,Eupercaria/misc
Pagrus auriga,104.62,20.0275,Pagrus auriga,Pagrus,Sparidae,Eupercaria/misc
Pagrus caeruleostictus,99.03,20.475,Pagrus caeruleostictus,Pagrus,Sparidae,Eupercaria/misc
Pagrus pagrus,104.62,20.0275,Pagrus pagrus,Pagrus,Sparidae,Eupercaria/misc
Palaemon longirostris,108.66916225749559,18.760118911952244,Palaemon longirostris,NA,Palaemonidae,Decapoda
Palaemon serratus,108.66916225749559,18.760118911952244,Palaemon serratus,NA,Palaemonidae,Decapoda
Palaemonidae,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Palinuridae,108.66916225749559,18.760118911952244,NA,NA,NA,NA
Palinurus,108.66916225749559,18.760118911952244,NA,Palinurus,Palinuridae,Decapoda
Palinurus delagoae,108.66916225749559,18.760118911952244,Palinurus delagoae,Palinurus,Palinuridae,Decapoda
Palinurus elephas,108.66916225749559,18.760118911952244,Palinurus elephas,Palinurus,Palinuridae,Decapoda
