scientificname,kingdom,phylum,class,order,family,genus
Scomberesox saurus saurus,Animalia,Chordata,Actinopteri,Beloniformes,Scomberesocidae,Scomberesox
Scomberesox saurus saurus,Animalia,Chordata,Actinopteri,Beloniformes,Scomberesocidae,Scomberesox
Scorpaeniformes,Animalia,Chordata,NA,Scorpaeniformes,NA,NA
Scylla serrata,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Scylla
Scyllarides,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Scyllarides
Scyllarides latus,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Scyllarides
Scyllarides latus,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Scyllarides
Sebastes marinus,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes
Semele solida,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Semele
Sepia officinalis,Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia
Sepiida,Animalia,Mollusca,Cephalopoda,Sepiida,NA,NA
Sepiida,Animalia,Mollusca,Cephalopoda,Sepiida,NA,NA
Sepiida,Animalia,Mollusca,Cephalopoda,Sepiida,NA,NA
Sicyonia brevirostris,Animalia,Arthropoda,Malacostraca,Decapoda,Sicyoniidae,Sicyonia
Sicyonia ingentis,Animalia,Arthropoda,Malacostraca,Decapoda,Sicyoniidae,Sicyonia
Siliqua patula,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Siliqua
Solen,Animalia,Annelida,Polychaeta,NA,NA,Solen
Solen,Animalia,Mollusca,Bivalvia,Adapedonta,Solenidae,Solen
Solen vagina,Animalia,Mollusca,Bivalvia,Adapedonta,Solenidae,Solen
Solen vagina,Animalia,Mollusca,Bivalvia,Adapedonta,Solenidae,Solen
Solenocera agassizii,Animalia,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Solenocera
Spisula,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Spisula
Spisula solida,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Spisula
Spisula solidissima,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Spisula
Squaliformes,Animalia,Chordata,Elasmobranchii,Squaliformes,NA,NA
Squilla mantis,Animalia,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Squilla
Squilla mantis,Animalia,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Squilla
Stomatopoda,Animalia,Arthropoda,Malacostraca,Stomatopoda,NA,NA
Strombus,Animalia,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Strombus
Strombus,Chromista,Ochrophyta,Bacillariophyceae,NA,NA,Strombus
Tapes,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Tapes
Tapes pullastra,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Tapes
Tapes rhomboides,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Tapes
Tawera gayi,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Tawera
Tellina,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Tellina
Tetrapturus albidus,Animalia,Chordata,Actinopteri,Carangiformes,Istiophoridae,Tetrapturus
Tetrapturus audax,Animalia,Chordata,Actinopteri,Carangiformes,Istiophoridae,Tetrapturus
Teuthida,Animalia,Mollusca,Cephalopoda,Teuthida,NA,NA
Thenus orientalis,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Thenus
Theragra chalcogramma,Animalia,Chordata,Actinopteri,Gadiformes,Gadidae,Theragra
Tivela mactroides,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Tivela
Todarodes pacificus,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes
Todarodes sagittatus,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes
Trachysalambria curvirostris,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Trachysalambria
Tresus,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Tresus
Trigloporus lastoviza,Animalia,Chordata,Actinopteri,Perciformes,Triglidae,Trigloporus
Turbo,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Turbo
Turbo cornutus,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Turbo
Tylosurus crocodilus crocodilus,Animalia,Chordata,Actinopteri,Beloniformes,Belonidae,Tylosurus
Upogebia pugettensis,Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia
Valamugil seheli,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Valamugil
Venus verrucosa,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Venus
Xiphopenaeus kroyeri,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Xiphopenaeus
Xiphopenaeus kroyeri,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Xiphopenaeus
Zygochlamys patagonica,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Zygochlamys
