iso3c,animal,lsu_value
ALA,buffaloes,0.3228787878787879
ALA,goats,0.3228787878787879
ALA,sheep,0.3228787878787879
ALA,pigs,0.3228787878787879
ASM,cows,0.2683333333333333
ASM,chickens,0.2683333333333333
ASM,buffaloes,0.2683333333333333
ASM,goats,0.2683333333333333
ASM,sheep,0.2683333333333333
ASM,pigs,0.2683333333333333
AIA,cows,0.2683333333333333
AIA,chickens,0.2683333333333333
AIA,buffaloes,0.2683333333333333
AIA,goats,0.2683333333333333
AIA,sheep,0.2683333333333333
AIA,pigs,0.2683333333333333
ABW,cows,0.2683333333333333
ABW,chickens,0.2683333333333333
ABW,buffaloes,0.2683333333333333
ABW,goats,0.2683333333333333
ABW,sheep,0.2683333333333333
ABW,pigs,0.2683333333333333
BMU,cows,0.25166666666666665
BMU,chickens,0.25166666666666665
BMU,buffaloes,0.25166666666666665
BMU,goats,0.25166666666666665
BMU,sheep,0.25166666666666665
BMU,pigs,0.25166666666666665
BES,cows,0.2683333333333333
BES,chickens,0.2683333333333333
BES,buffaloes,0.2683333333333333
BES,goats,0.2683333333333333
BES,sheep,0.2683333333333333
BES,pigs,0.2683333333333333
IOT,cows,0.15166666666666667
IOT,chickens,0.15166666666666667
IOT,buffaloes,0.15166666666666667
IOT,goats,0.15166666666666667
IOT,sheep,0.15166666666666667
IOT,pigs,0.15166666666666667
VGB,cows,0.2683333333333333
VGB,chickens,0.2683333333333333
VGB,buffaloes,0.2683333333333333
VGB,goats,0.2683333333333333
VGB,sheep,0.2683333333333333
VGB,pigs,0.2683333333333333
CYM,cows,0.2683333333333333
CYM,chickens,0.2683333333333333
CYM,buffaloes,0.2683333333333333
CYM,goats,0.2683333333333333
CYM,sheep,0.2683333333333333
CYM,pigs,0.2683333333333333
CXR,cows,0.3433333333333333
CXR,chickens,0.3433333333333333
CXR,buffaloes,0.3433333333333333
CXR,goats,0.3433333333333333
CXR,sheep,0.3433333333333333
CXR,pigs,0.3433333333333333
CCK,cows,0.3433333333333333
CCK,chickens,0.3433333333333333
CCK,buffaloes,0.3433333333333333
CCK,goats,0.3433333333333333
CCK,sheep,0.3433333333333333
CCK,pigs,0.3433333333333333
CUW,cows,0.2683333333333333
CUW,chickens,0.2683333333333333
CUW,buffaloes,0.2683333333333333
CUW,goats,0.2683333333333333
CUW,sheep,0.2683333333333333
CUW,pigs,0.2683333333333333
FLK,cows,0.19333333333333333
FLK,chickens,0.19333333333333333
FLK,buffaloes,0.19333333333333333
FLK,goats,0.19333333333333333
FLK,sheep,0.19333333333333333
FLK,pigs,0.19333333333333333
GUF,cows,0.19333333333333333
GUF,chickens,0.19333333333333333
GUF,buffaloes,0.19333333333333333
GUF,goats,0.19333333333333333
GUF,sheep,0.19333333333333333
GUF,pigs,0.19333333333333333
PYF,cows,0.2683333333333333
PYF,chickens,0.2683333333333333
PYF,buffaloes,0.2683333333333333
PYF,goats,0.2683333333333333
PYF,sheep,0.2683333333333333
PYF,pigs,0.2683333333333333
GIB,cows,0.30226190476190473
GIB,chickens,0.30226190476190473
GIB,buffaloes,0.30226190476190473
GIB,goats,0.30226190476190473
GIB,sheep,0.30226190476190473
GIB,pigs,0.30226190476190473
GRL,cows,0.25166666666666665
GRL,chickens,0.25166666666666665
GRL,buffaloes,0.25166666666666665
GRL,goats,0.25166666666666665
GRL,sheep,0.25166666666666665
GRL,pigs,0.25166666666666665
GLP,cows,0.2683333333333333
GLP,chickens,0.2683333333333333
GLP,buffaloes,0.2683333333333333
GLP,goats,0.2683333333333333
GLP,sheep,0.2683333333333333
GLP,pigs,0.2683333333333333
GUM,cows,0.2683333333333333
GUM,chickens,0.2683333333333333
GUM,buffaloes,0.2683333333333333
GUM,goats,0.2683333333333333
GUM,sheep,0.2683333333333333
GUM,pigs,0.2683333333333333
GGY,cows,0.3228787878787879
GGY,chickens,0.3228787878787879
GGY,buffaloes,0.3228787878787879
GGY,goats,0.3228787878787879
GGY,sheep,0.3228787878787879
GGY,pigs,0.3228787878787879
HKG,cows,0.31
HKG,chickens,0.31
HKG,buffaloes,0.31
HKG,goats,0.31
HKG,sheep,0.31
HKG,pigs,0.31
IMN,cows,0.3228787878787879
IMN,chickens,0.3228787878787879
IMN,buffaloes,0.3228787878787879
IMN,goats,0.3228787878787879
IMN,sheep,0.3228787878787879
IMN,pigs,0.3228787878787879
JEY,cows,0.3228787878787879
JEY,chickens,0.3228787878787879
JEY,buffaloes,0.3228787878787879
JEY,goats,0.3228787878787879
JEY,sheep,0.3228787878787879
JEY,pigs,0.3228787878787879
XKO,cows,0.30226190476190473
XKO,chickens,0.30226190476190473
XKO,buffaloes,0.30226190476190473
XKO,goats,0.30226190476190473
XKO,sheep,0.30226190476190473
XKO,pigs,0.30226190476190473
LIE,cows,0.33395833333333336
LIE,chickens,0.33395833333333336
LIE,buffaloes,0.33395833333333336
LIE,goats,0.33395833333333336
LIE,sheep,0.33395833333333336
LIE,pigs,0.33395833333333336
MAC,cows,0.31
MAC,chickens,0.31
MAC,buffaloes,0.31
MAC,goats,0.31
MAC,sheep,0.31
MAC,pigs,0.31
MTQ,cows,0.2683333333333333
MTQ,chickens,0.2683333333333333
MTQ,buffaloes,0.2683333333333333
MTQ,goats,0.2683333333333333
MTQ,sheep,0.2683333333333333
MTQ,pigs,0.2683333333333333
MYT,cows,0.15166666666666667
MYT,chickens,0.15166666666666667
MYT,buffaloes,0.15166666666666667
MYT,goats,0.15166666666666667
MYT,sheep,0.15166666666666667
MYT,pigs,0.15166666666666667
MSR,cows,0.2683333333333333
MSR,chickens,0.2683333333333333
MSR,buffaloes,0.2683333333333333
MSR,goats,0.2683333333333333
MSR,sheep,0.2683333333333333
MSR,pigs,0.2683333333333333
NCL,cows,0.2683333333333333
NCL,chickens,0.2683333333333333
NCL,buffaloes,0.2683333333333333
NCL,goats,0.2683333333333333
NCL,sheep,0.2683333333333333
NCL,pigs,0.2683333333333333
NFK,cows,0.3433333333333333
NFK,chickens,0.3433333333333333
NFK,buffaloes,0.3433333333333333
NFK,goats,0.3433333333333333
NFK,sheep,0.3433333333333333
NFK,pigs,0.3433333333333333
MNP,cows,0.2683333333333333
MNP,chickens,0.2683333333333333
MNP,buffaloes,0.2683333333333333
MNP,goats,0.2683333333333333
MNP,sheep,0.2683333333333333
MNP,pigs,0.2683333333333333
PSE,cows,0.29823529411764704
PSE,chickens,0.29823529411764704
PSE,buffaloes,0.29823529411764704
PSE,goats,0.29823529411764704
PSE,sheep,0.29823529411764704
PSE,pigs,0.29823529411764704
PCN,cows,0.2683333333333333
PCN,chickens,0.2683333333333333
PCN,buffaloes,0.2683333333333333
PCN,goats,0.2683333333333333
PCN,sheep,0.2683333333333333
PCN,pigs,0.2683333333333333
XMI,cows,0.27666666666666667
XMI,chickens,0.27666666666666667
XMI,buffaloes,0.27666666666666667
XMI,goats,0.27666666666666667
XMI,sheep,0.27666666666666667
XMI,pigs,0.27666666666666667
PRI,cows,0.2683333333333333
PRI,chickens,0.2683333333333333
PRI,buffaloes,0.2683333333333333
PRI,goats,0.2683333333333333
PRI,sheep,0.2683333333333333
PRI,pigs,0.2683333333333333
REU,cows,0.15166666666666667
REU,chickens,0.15166666666666667
REU,buffaloes,0.15166666666666667
REU,goats,0.15166666666666667
REU,sheep,0.15166666666666667
REU,pigs,0.15166666666666667
BLM,cows,0.2683333333333333
BLM,chickens,0.2683333333333333
BLM,buffaloes,0.2683333333333333
BLM,goats,0.2683333333333333
BLM,sheep,0.2683333333333333
BLM,pigs,0.2683333333333333
MAF,cows,0.2683333333333333
MAF,chickens,0.2683333333333333
MAF,buffaloes,0.2683333333333333
MAF,goats,0.2683333333333333
MAF,sheep,0.2683333333333333
MAF,pigs,0.2683333333333333
SHN,cows,0.15166666666666667
SHN,chickens,0.15166666666666667
SHN,buffaloes,0.15166666666666667
SHN,goats,0.15166666666666667
SHN,sheep,0.15166666666666667
SHN,pigs,0.15166666666666667
SPM,cows,0.25166666666666665
SPM,chickens,0.25166666666666665
SPM,buffaloes,0.25166666666666665
SPM,goats,0.25166666666666665
SPM,sheep,0.25166666666666665
SPM,pigs,0.25166666666666665
SXM,cows,0.2683333333333333
SXM,chickens,0.2683333333333333
SXM,buffaloes,0.2683333333333333
SXM,goats,0.2683333333333333
SXM,sheep,0.2683333333333333
SXM,pigs,0.2683333333333333
SJM,cows,0.3228787878787879
SJM,chickens,0.3228787878787879
SJM,buffaloes,0.3228787878787879
SJM,goats,0.3228787878787879
SJM,sheep,0.3228787878787879
SJM,pigs,0.3228787878787879
TWN,cows,0.31
TWN,chickens,0.31
TWN,buffaloes,0.31
TWN,goats,0.31
TWN,sheep,0.31
TWN,pigs,0.31
TCA,cows,0.2683333333333333
TCA,chickens,0.2683333333333333
TCA,buffaloes,0.2683333333333333
TCA,goats,0.2683333333333333
TCA,sheep,0.2683333333333333
TCA,pigs,0.2683333333333333
VIR,cows,0.2683333333333333
VIR,chickens,0.2683333333333333
VIR,buffaloes,0.2683333333333333
VIR,goats,0.2683333333333333
VIR,sheep,0.2683333333333333
VIR,pigs,0.2683333333333333
WLF,cows,0.2683333333333333
WLF,chickens,0.2683333333333333
WLF,buffaloes,0.2683333333333333
WLF,goats,0.2683333333333333
WLF,sheep,0.2683333333333333
WLF,pigs,0.2683333333333333
ESH,cows,0.27666666666666667
ESH,chickens,0.27666666666666667
ESH,buffaloes,0.27666666666666667
ESH,goats,0.27666666666666667
ESH,sheep,0.27666666666666667
ESH,pigs,0.27666666666666667
