site_no_,comp_name,cert_name,farm_name,species__c,type_of_certification__c,cert_country,farm_species,geom,,,,,
S0001512,Azienda Agricola Salvador,Azienda Agricola Salvador Farm,Azienda Agricola Salvador Farm,Freshwater Trout,Single Site,Italy,Oncorhynchus mykiss (Rainbow trout),POINT (12.694718 45.973251),,,,,
S0001601,Grupo Tres Mares SA,Grupo Tres Mares Farm,Grupo Tres Mares Farm,Freshwater Trout,Single Site,Spain,Oncorhynchus mykiss (Rainbow trout),POINT (-9.250607 43.002018),,,,,
S0001613,Piscifactoria del Alba SA,Piscifactoria del Alba III,Alba III,Freshwater Trout,Single Site,Spain,Oncorhynchus mykiss (Rainbow trout),POINT (-6.081335 43.348323),,,,,
S0001614,Løvlund Dambrug Aps.,ASC-DNV-214596,Løvlund Farm,Freshwater Trout,Multi Site,Denmark,Oncorhynchus mykiss (Rainbow trout),POINT (9.036028 55.734583),,,,,
S0001624,Løvlund Dambrug Aps.,ASC-DNV-214596,Nørå Dambrug,Freshwater Trout,Multi Site,Denmark,Oncorhynchus mykiss (Rainbow trout),POINT (9.025028 55.741083),,,,,
S0001645,Azienda Agricola Ittica Rio Selva,Rio Selva Murlis Farm,Rio Selva Murlis Farm,Freshwater Trout,Single Site,Italy,Oncorhynchus mykiss (Rainbow trout),POINT (12.782969 45.977344),,,,,
S0001648,Azienda Agricola Ittica Rio Selva,Rio Selva Zoppola Farm,Rio Selva Zoppola Farm,Freshwater Trout,Multi Site,Italy,"Salvelinus fontinalis (Brook trout), Salvelinus alpinus (Arctic char), Oncorhynchus mykiss (Rainbow trout), Salmo trutta (Sea trout)",POINT (12.7361 45.9637),,,,,
S0001664,Binderup Mølle Dambrug A/S,Binderup Mølle Damburg Farm,Binderup Mølle Damburg Farm,Freshwater Trout,Single Site,Denmark,Oncorhynchus mykiss (Rainbow trout),POINT (9.674452 56.996818),,,,,
S0001683,SAE DOMAINE DU MONT SAINT VAAST,ASC-DNV-214847,Louez,Freshwater Trout,Multi Site,France,"Salvelinus fontinalis (Brook trout), Oncorhynchus mykiss (Rainbow trout)",POINT (2.723019 50.310752),,,,,
S0001684,SAE DOMAINE DU MONT SAINT VAAST,ASC-DNV-214847,Anzin St Aubin,Freshwater Trout,Multi Site,France,"Salvelinus fontinalis (Brook trout), Oncorhynchus mykiss (Rainbow trout)",POINT (2.742871 50.313232),,,,,
S0001702,Snaptun Frysehus A/S,Vester Hvoldal,Vester Hvoldal,Freshwater Trout,Single Site,Denmark,Oncorhynchus mykiss (Rainbow trout),POINT (8.396969 56.32631),,,,,
S0001703,Snaptun Frysehus A/S,Jedsted Mølle,Jedsted Mølle Dambrug,Freshwater Trout,Single Site,Denmark,Oncorhynchus mykiss (Rainbow trout),POINT (8.730761 55.392958),,,,,
S0001707,Hannerup Fiskeri,Hannerup Fiskeri Farm,Hannerup Fiskeri Farm,Freshwater Trout,Single Site,Denmark,Oncorhynchus mykiss (Rainbow trout),POINT (9.680424 56.6569),,,,,
S0001724,Kemer Su Ürünleri Üretim Ve Ticaret A.S.,Kemer baraji - Bagci Amasya Koyu,Kemer Baraji and Bağci Amasya Köyü,Freshwater Trout,Single Site,Turkey,Oncorhynchus mykiss (Rainbow trout),POINT (28.53453 37.561233),,,,,
S0001834,Stakroge ApS,Stakroge ApS,Stakroge,Freshwater Trout,Single Site,Denmark,Oncorhynchus mykiss (Rainbow trout),POINT (8.846472 55.915489),,,,,
S0001852,St. Restrup Dambrug,St. Restrup Dambrug Farm,St. Restrup Dambrug Farm,Freshwater Trout,Single Site,Denmark,Oncorhynchus mykiss (Rainbow trout),POINT (9.775133 57.002003),,,,,
S0001922,SCEA PISCICULTURE D'ETRUN,ETRUN,rue du parvis 62161 ETRUN,Freshwater Trout,Single Site,France,Oncorhynchus mykiss (Rainbow trout),POINT (2.699583 50.312028),,,,,
S0001934,PERUVIAN ANDEAN TROUT,PERUVIAN ANDEAN TROUT,CENTRO CHOCLOC OCHA I,Freshwater Trout,Multi Site with IMS,Peru,Oncorhynchus mykiss (Rainbow trout),POINT (-75.066692 -13.166833),,,,,
S0002013,Mowi Scotland,Glenfinnan,Glenfinnan,Freshwater Trout,Single Site,United Kingdom of Great Britain and Northern Ireland,Salmo salar (Atlantic salmon),POINT (-5.467939 56.853764),,,,,
S0002014,Mowi Scotland,Lochy,Lochy,Freshwater Trout,Single Site,United Kingdom of Great Britain and Northern Ireland,Salmo salar (Atlantic salmon),POINT (-4.970922 56.924683),,,,,
S0002015,Mowi Scotland,Arkaig,Arkaig,Freshwater Trout,Single Site,United Kingdom of Great Britain and Northern Ireland,Salmo salar (Atlantic salmon),POINT (-4.982819 56.945514),,,,,
S0002016,SARL BRADAN,SARL BRADAN,(SARL) LAX 1,Freshwater Trout,Multi Site without IMS,France,Oncorhynchus mykiss (Rainbow trout),POINT (-1.339167 49.636611),,,,,
S0002017,SARL BRADAN,SARL BRADAN,(SARL) LAX,Freshwater Trout,Multi Site without IMS,France,"Salmo salar (Atlantic salmon), Oncorhynchus mykiss (Rainbow trout)",POINT (-1.454417 49.619111),,,,,
S0002049,Samherji fiskeldi ehf.,Stadur,Stadur,Freshwater Trout,Single Site,Iceland,Salvelinus alpinus (Arctic char),POINT (-22.530852 63.816368),,,,,
S0002051,Samherji fiskeldi ehf.,Vatnsleysa,Vatnsleysa,Freshwater Trout,Single Site,Iceland,Salvelinus alpinus (Arctic char),POINT (-22.209735 64.016231),,,,,
S0002064,Azienda Agricola Ittica Rio Selva,Rio Selva Zoppola Farm,Rio Selva Varmo Farm,Freshwater Trout,Multi Site,Italy,"Salvelinus fontinalis (Brook trout), Salvelinus alpinus (Arctic char), Oncorhynchus mykiss (Rainbow trout), Salmo trutta (Sea trout)",POINT (13.022724 45.911569),,,,,
S0002094,Vingsted Kobberbæk AS,Kobberbæk Fiskeri,Kobberbæk Fiskeri,Freshwater Trout,Single Site,Denmark,Oncorhynchus mykiss (Rainbow trout),POINT (9.284464 55.684358),,,,,
S0002095,Vingsted Kobberbæk AS,Vingsted Dambrug,Vingsted Dambrug,Freshwater Trout,Single Site,Denmark,Oncorhynchus mykiss (Rainbow trout),POINT (9.388674 55.677072),,,,,
S0002096,Vingsted Kobberbæk AS,Refsgård Fiskeri II,Refsgård Fiskeri II,Freshwater Trout,Single Site,Denmark,Oncorhynchus mykiss (Rainbow trout),POINT (9.282575 55.641097),,,,,
S0002125,Danaqua ApS,Danaqua Multisite,Sig Fiskeri Farm,Freshwater Trout,Multi Site without IMS,Denmark,Oncorhynchus mykiss (Rainbow trout),POINT (8.584094 55.664948),,,,,
S0002142,Selina Fish Su Ürünleri Ltd.Sti.,Selina Fish Alabalik Üretim Tesisi Revize Projesi,Selina Fish Alabalık Üretim Tesisi Revize Projesi,Freshwater Trout,Single Site,Turkey,Oncorhynchus mykiss (Rainbow trout),POINT (29.401389 36.766111),,,,,
S0002148,Lundby Fisk,Dydvadbro Dambrug,Dydvadbro Dambrug,Freshwater Trout,Single Site,Denmark,Oncorhynchus mykiss (Rainbow trout),POINT (9.409825 56.94062),,,,,
S0002167,FISK Seafood ltd.,Hólar & Þorlákshöfn Sites,Þorlákshöfn,Freshwater Trout,Multi Site without IMS,Iceland,Salvelinus alpinus (Arctic char),POINT (-21.39983 63.84508),,,,,
S0002168,FISK Seafood ltd.,Hólar & Þorlákshöfn Sites,Hólar,Freshwater Trout,Multi Site without IMS,Iceland,Salvelinus alpinus (Arctic char),POINT (-19.11145 65.71206),,,,,
S0002180,SALMONES AUSTRAL SPA,RUPANCO 1,RUPANCO 1,Freshwater Trout,Single Site,Chile,Oncorhynchus mykiss (Rainbow trout),POINT (-72.454 -40.879),,,,,
S0002661,PERUVIAN ANDEAN TROUT,PERUVIAN ANDEAN TROUT,CENTRO CHOCLOC OCHA II,Freshwater Trout,Multi Site with IMS,Peru,Oncorhynchus mykiss (Rainbow trout),POINT (-75.073378 -13.183261),,,,,
S0002662,PERUVIAN ANDEAN TROUT,PERUVIAN ANDEAN TROUT,CENTRO CHOCLOC OCHA III,Freshwater Trout,Multi Site with IMS,Peru,Oncorhynchus mykiss (Rainbow trout),POINT (-75.069256 -13.186853),,,,,
S0003156,Danaqua ApS,Danaqua Multisite,Grindsted Sættefisk,Freshwater Trout,Multi Site without IMS,Denmark,Oncorhynchus mykiss (Rainbow trout),POINT (8.938648 55.75717),,,,,
S0003234,MAR ANDINO PERU S.A.C,MAR ANDINO PERU S.A.C - UoC,Centro de Cultivo Lancari II,Freshwater Trout,,Peru,Oncorhynchus mykiss (Rainbow trout),POINT (-76.505514 -10.836981),,,,,
S0003235,MAR ANDINO PERU S.A.C,MAR ANDINO PERU S.A.C - UoC,Centro de Cultivo Don Droso I,Freshwater Trout,,Peru,Oncorhynchus mykiss (Rainbow trout),POINT (-76.460753 -10.832278),,,,,
S0003236,MAR ANDINO PERU S.A.C,MAR ANDINO PERU S.A.C - UoC,Centro de Cultivo Don Droso II,Freshwater Trout,,Peru,Oncorhynchus mykiss (Rainbow trout),POINT (-76.486564 -10.843764),,,,,
S0003237,MAR ANDINO PERU S.A.C,MAR ANDINO PERU S.A.C - UoC,Centro de Cultivo Don Droso III,Freshwater Trout,,Peru,Oncorhynchus mykiss (Rainbow trout),POINT (-76.484756 -10.840428),,,,,
S0003281,SOCIETA AGRICOLA AGRIFISH S.r.l. Company,SOCIETA AGRICOLA AGRIFISH S.r.l.,Via tarvisio Bagnaria Arsa,Freshwater Trout,,Italy,Oncorhynchus mykiss (Rainbow trout),POINT (13.312108 45.841458),,,,,
S0003307,SOCIETA AGRICOLA AGRIFISH S.r.l. Company,SOCIETA AGRICOLA AGRIFISH S.r.l.,Loc. muscoli Cervignano Site,Freshwater Trout,,Italy,Oncorhynchus mykiss (Rainbow trout),POINT (13.330494 45.844217),,,,,
S0000229,NTSF Seafoods,Tan Loc Farm Zone,Chau Thanh Farm,Pangasius,Multi Site without IMS,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.375333 10.451111),,,,,
S0000683,Van Duc Tien Giang Food Export Company,Tan Phong Farming Area,Con Bun Farming Area,Pangasius,Multi Site without IMS,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.166547 10.190294),,,,,
S0000684,Van Duc Tien Giang Food Export Company,Tan Phong Farming Area,Hoa Nghia Farming Area,Pangasius,Multi Site without IMS,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.134967 10.232322),,,,,
S0000785,Van Duc Tien Giang Food Export Company,Tan Phong Farming Area,Con Kieng Farming Area,Pangasius,Multi Site without IMS,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.09146 10.12072),,,,,
S0000898,CO MAY IMPORT EXPORT COMPANY LIMITED (CO MAY IMEXCO),CO MAY IMPORT EXPORT COMPANY LIMITED (CO MAY IMEXCO) - CO MAY FARM,Co May Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.444361 10.283278),,,,,
S0000919,TG Fishery Holdings Corporation,Cuu Long Farm,Cuu Long Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.806053 10.302106),,,,,
S0000963,NGUYEN VAN BE,Nguyen Van Be Farm,Nguyen Van Be Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.432806 10.816778),,,,,
S0001055,Nguyen Van Nhan,Vam Nao 2 Farm,Vam Nao 2 Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.35962 10.568912),,,,,
S0001182,Van Duc Tien Giang Food Export Company,Phu Binh Farming Area,Phu Binh Farming Area,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.050459 10.252254),,,,,
S0001289,TG Fishery Holdings Corporation,Phu Tan Farm,Phu Tan farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.227131 10.598958),,,,,
S0001296,Hung Ca Company,Tan Binh Farm,Tan Binh Farm,Pangasius,Multi Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.435333 10.557861),,,,,
S0001297,CP Vietnam Corporation Ben Tre Branch,Tan Hoa Farm,Tan Hoa Farm S0001297,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.347517 10.662719),,,,,
S0001306,Vinh Hoan Corporation,ASC-F-BVVN-058-VN,Tan Thuan Dong Farm,Pangasius,Multi Site without IMS,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.576328 10.432482),,,,,
S0001307,Vinh Hoan Corporation,ASC-F-BVVN-058-VN,Tan Thuan Tay Farm,Pangasius,Multi Site without IMS,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.595421 10.442551),,,,,
S0001339,Godaco Seafood,Con Linh A Farm,Con Linh A Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.419167 10.107778),,,,,
S0001340,Hung Vuong Corporation,Con Ban Farm,Con Ban Farm S0001340,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.34 10.02),,,,,
S0001380,Godaco Seafood,Thanh Long Pangasius Farm,Thanh Long Pangasius Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.305278 10.042222),,,,,
S0001382,To Chau Joint Stock Company,Thanh Binh Farm,Thanh Binh Aquacuture Enterprise,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.468358 10.545989),,,,,
S0001383,Hung Ca Company,Tan Binh Farm,Van Y Aquaculture Farm,Pangasius,Multi Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.495358 10.547208),,,,,
S0001384,NTSF Seafoods,Tan Loc Farm Zone,Tan Loc Farm Zone,Pangasius,Multi Site without IMS,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.534556 10.29125),,,,,
S0001385,Cuu Long Pangafish Corporation,Thanh Bin Sector 11,Thanh Bin Sector 11,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.379444 10.559722),,,,,
S0001386,CAFATEX,Ban Chat Farm,Ban Chat Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.019611 9.841417),,,,,
S0001387,Bentre Aquaproduct Import and Export,Con Ban Farm,Con Ban Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.364306 10.182861),,,,,
S0001389,An Giang Fisheries Import & Export,ASC-F-BV-010-VN,Chau Phu Pure Pangasius Farm,Pangasius,Multi Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),,,,,,
S0001390,An Giang Fisheries Import & Export,ASC-F-BV-010-VN,Vinh Trinh Pure Pangasius Farm,Pangasius,Multi Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.471639 10.307236),,,,,
S0001390,CAT TUONG SEAFOOD PROCESSING COMPANY LIMITED,Vinh Trinh Farm,Vinh Trinh Pure Pangasius Farm,Pangasius,,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.471639 10.307236),,,,,
S0001391,An My Fish,Binh Thuy Farm 1,Binh Thuy Farm 1,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.339017 10.486869),,,,,
S0001393,Cuu Long Fish JSC,Thanh Binh Farm - Sector 1,Thanh Binh Farm - Sector 1,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.459931 10.549983),,,,,
S0001394,Southern Fishery Industries Company,Con Tom Farm,Con Tom Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),,,,,,
S0001397,CASEAMEX,Mai Dam Brood Stock and Fingerlings Production,Mai Dam Brood Stock and Fingerlings Production,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.869364 9.967326),,,,,
S0001399,Fatifish Company,Xeo Quyt Farm,Xeo Quyt Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.813367 10.401944),,,,,
S0001401,Golden Quality Seafood Corporation,Nam Song Hau - Section A Farm,Nam Song Hau - Section A Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),,,,,,
S0001407,Bien Dong Seafood Company,Tan Loc 2 Farm,Tan Loc 2 Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.564683 10.242656),,,,,
S0001415,CP Vietnam Corporation Ben Tre Branch,SA Dec 1 Farm,SA Dec 1 Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.801858 10.302508),,,,,
S0001444,Hung Vuong Corporation,Phu Tuc Farm,Phu Tuc Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.284917 10.326806),,,,,
S0001445,NGOC Ha Company Limited Food Processing and Trading,Ba Lai - Ben Tre Fish Farm,Ba Lai - Ben Tre Fish Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.6275 10.141111),,,,,
S0001446,Hoang Long Seafood,Pangasius 48ha Farm Site,Pangasius 48ha Farm Site,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.581761 10.672381),,,,,
S0001459,Ha Noi - Can Tho Area Two Aquacultural One Member Liability Limited,Ha Noi – Can Tho Area Two Aquacultural One Member Liability Limited Farm,Ha Noi – Can Tho Area Two Aquacultural One Member Liability Limited Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.530772 10.537558),,,,,
S0001460,Dai Thanh Seafoods Company,Con Tron Farm,Con Tron Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.064111 10.317472),,,,,
S0001462,Vinh Hoan Corporation,ASC-F-BVVN-058-VN,Tan Hoa Farm,Pangasius,Multi Site without IMS,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.344437 10.653115),,,,,
S0001465,An Giang Fisheries Import & Export,An Thanh Trung Farm,An Thanh Trung Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.447597 10.439511),,,,,
S0001466,Anvifish,Anvifishco Pangasius Farm 04,Anvifishco Pangasius Farm 04,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),,,,,,
S0001467,Nam Viet Corporation,Thoai Son Farm,Thoai Son Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.212433 10.359922),,,,,
S0001475,Hiep Thanh Seafood,Hiep Thanh Seafood JSC Farm,Hiep Thanh Seafood JSC Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.516725 10.316889),,,,,
S0001493,An Giang Fisheries Import & Export,Muong Dieu Farm,Muong Dieu Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.708306 10.391278),,,,,
S0001519,Vinh Quang Fisheries Corporation,Con Lat Farm,Con Lat Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.169808 10.241094),,,,,
S0001583,Vinh Hoan Corporation,Tan Khanh Trung Farm,Tan Khanh Trung Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.718844 10.3813),,,,,
S0001660,Van Duc Tien Giang Food Export Company,Tan Phong Farming Area,Tan Phong Farming Area,Pangasius,Multi Site without IMS,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.096028 10.28175),,,,,
S0001751,Van Duc Tien Giang Food Export Company,Tan Phong Farming Area,Cai Ga Farming Area,Pangasius,Multi Site without IMS,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.183139 10.2505),,,,,
S0001752,Van Duc Tien Giang Food Export Company,Tan Phong Farming Area,Con Son Farming Area,Pangasius,Multi Site without IMS,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (106.198917 10.174417),,,,,
S0001829,Hasa Seafood Corporation,Vinh Thanh,Vinh Thanh farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.454462 10.288296),,,,,
S0001845,Vinh Hoan Corporation,Tan Hong Farm,Tan Hong Farm,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.490611 10.82025),,,,,
S0001968,Can Tho Import - Export Seafood Joint Stock Company (CASEAMEX),THOI AN FARM,THOI AN FARM,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.637083 10.168583),,,,,
S0002147,I.D.I INTERNATIONAL DEVELOPMENT AND INVESTMENT CORPORATION,Vinh Chanh FARM,Vinh Chanh FARM,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.393611 10.295833),,,,,
S0002660,HUNG PHUC THINH FOODS JOINT STOCK COMPANY,HUNG PHUC THINH,HUNG PHUC THINH - FARM 1,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.196278 10.607),,,,,
S0002678,NTSF Seafoods,Tan Loc Farm Zone,Cho Moi Farm,Pangasius,Multi Site without IMS,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.74125 10.741778),,,,,
S0003191,Bien Dong Seafood Company,An Lac Thon Farm,An Lac Thon Site,Pangasius,,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.932667 9.896417),,,,,
S0003314,HUNG PHUC THINH FOODS JOINT STOCK COMPANY,HUNG PHUC THINH,HUNG PHUC THINH - FARM 2,Pangasius,Single Site,Viet Nam,Pangasianodon hypophthalmus (Striped catfish),POINT (105.15975 10.627333),,,,,
S0000100,Nova Austral,Aracena 1,Aracena 1,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-71.21775 -54.145806),,,,,
S0000105,Tassal Operations,Southern Zone,MF 185 GTB 1,Salmon,Multi Site,Australia,Salmo salar (Atlantic salmon),POINT (147.332689 -42.883475),,,,,
S0000106,Tassal Operations,Southern Zone,MF 203 GTB 2,Salmon,Multi Site,Australia,Salmo salar (Atlantic salmon),POINT (147.332689 -42.883465),,,,,
S0000108,Nova Sea,Bukkoya Farm,Bukkoya Farm,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (13.002222 66.646111),,,,,
S0000109,Nova Sea,Kalvhylla Farm,Kalvhylla Farm,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (12.5405 65.748283),,,,,
S0000110,Nova Sea,Rensoya Farm,Rensoya Farm,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (12.071 66.502867),,,,,
S0000111,Nova Sea,Renga Farm,Renga Farm,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (13.096933 66.58755),,,,,
S0000112,Nova Sea,Stokkasjoen Farm,Stokkasjoen Farm,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (12.592283 65.782733),,,,,
S0000117,Grieg Seafood Finnmark AS,Vinnalandet Farm,10616 Vinnalandet Farm,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (23.4075 70.5775),,,,,
S0000118,Grieg Seafood Finnmark AS,Marsanjarga Farm,10814 Marsanjarga Farm,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (23.2845 70.240833),,,,,
S0000119,Invermar S.A.,Traiguen 1 Farm,Traiguen 1 Farm,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-73.392333 -42.573944),,,,,
S0000120,Invermar S.A.,Traiguen 2 Farm,Traiguen 2 Farm,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-73.418028 -42.526306),,,,,
S0000225,Mowi Canada,Okisollo Farm,Okisollo Farm,Salmon,Single Site,Canada,Salmo salar (Atlantic salmon),POINT (-125.31415 50.31005),,,,,
S0000205,Nova Austral,Aracena 5,Aracena 5 farm,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-71.135619 -54.151522),,,,,
S0000214,Hofseth Aqua AS,Skotungneset Farm,Skotungneset Farm,Salmon,Single Site,Norway,"Salmo salar (Atlantic salmon), Oncorhynchus mykiss (Rainbow trout)",POINT (6.909414 62.3503),,,,,
S0000215,Hofseth Aqua AS,Opshaugvik,Opshaugvik Farm,Salmon,Single Site,Norway,Oncorhynchus mykiss (Rainbow trout),POINT (6.995 62.290278),,,,,
S0000220,Salmones Camanchaca,Contao Farm,Contao Farm,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-72.445262 -41.482567),,,,,
S0000221,Salmones Camanchaca,Manihueico Farm,Mañihueico Farm,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-72.689775 -41.769453),,,,,
S0000223,Kvarøy Fiskeoppdrett,Selsøyvaer Farm,36517 Selsøyvaer Farm,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (12.849967 66.58735),,,,,
S0000226,SALMONES BLUMAR S.A.,Forsyth Farm,Forsyth Farm,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-74.18016 -44.18348),,,,,
S0000230,Salmones Camanchaca,Punta Islotes,Punta Islotes Farm,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-72.769278 -42.881225),,,,,
S0000231,Salmones Camanchaca,Bahia Edwards,Bahia Edwards,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-73.01085 -42.737103),,,,,
S0000233,Arnarlax,Laugardalur Farm,Laugardalur Farm,Salmon,Single Site,Iceland,Salmo salar (Atlantic salmon),POINT (-23.56974 65.39277),,,,,
S0000237,P/f Bakkafrost Farming,A-13 Borðoyvik,A-13 Borðoyvik,Salmon,Single Site,Faroe Islands,Salmo salar (Atlantic salmon),POINT (-6.542163 62.208537),,,,,
S0000238,P/f Bakkafrost Farming,A-04 Lambavík,A-04 Lambavík,Salmon,Single Site,Faroe Islands,Salmo salar (Atlantic salmon),POINT (-6.693633 62.135433),,,,,
S0000239,Cermaq Norway,24535 Storholmen,24535 Storholmen,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (23.395117 70.34305),,,,,
S0000240,Cermaq Norway,10790 Olderfjord,10790 Olderfjord,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (23.472269 70.385981),,,,,
S0000241,Cermaq Norway,33197 Jernelva,33197 Jernelva,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (23.63365 70.451278),,,,,
S0000242,Cermaq Norway,29557 Komagnes,29557 Komagnes,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (23.632278 70.4747),,,,,
S0000244,SALMONES BLUMAR S.A.,Tangbac Farm,Tangbac Farm,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-73.431855 -45.11622),,,,,
S0001345,Mowi Norway,Sandvika Farm,13243 Sandvika Farm,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (5.904833 62.195667),,,,,
S0000254,Australis Mar SA,Centro Goddard Farm,Centro Goddard Farm,Salmon,Single Site,Chile,Oncorhynchus mykiss (Rainbow trout),POINT (-73.01177 -52.10551),,,,,
S0000255,Cermaq Canada,Bawden Point Farm,Bawden Point Farm,Salmon,Single Site,Canada,Salmo salar (Atlantic salmon),POINT (-126.006912 49.307305),,,,,
