"zone","food_group","n_cells_dom_80%","proportion_dominated","iso3c","Country"
33,"benthic_fisheries",0,0,"BRA","Brazil"
33,"reef_fisheries",0,0,"BRA","Brazil"
33,"aquaculture_marine",137,1.36603719220265e-05,"BRA","Brazil"
34,"demersal_fisheries",340,3.39016529451752e-05,"IOT","British Indian Ocean Territory"
34,"fofm_fisheries",0,0,"IOT","British Indian Ocean Territory"
34,"large.pelagic_fisheries",16089,0.00160424615951448,"IOT","British Indian Ocean Territory"
34,"medium.pelagic_fisheries",0,0,"IOT","British Indian Ocean Territory"
34,"small.pelagic_fisheries",0,0,"IOT","British Indian Ocean Territory"
34,"benthic_fisheries",0,0,"IOT","British Indian Ocean Territory"
34,"reef_fisheries",0,0,"IOT","British Indian Ocean Territory"
34,"aquaculture_marine",0,0,"IOT","British Indian Ocean Territory"
35,"demersal_fisheries",0,0,"VGB","British Virgin Islands"
35,"fofm_fisheries",0,0,"VGB","British Virgin Islands"
35,"large.pelagic_fisheries",1832,0.00018267008292812,"VGB","British Virgin Islands"
35,"medium.pelagic_fisheries",0,0,"VGB","British Virgin Islands"
35,"small.pelagic_fisheries",0,0,"VGB","British Virgin Islands"
35,"benthic_fisheries",0,0,"VGB","British Virgin Islands"
35,"reef_fisheries",0,0,"VGB","British Virgin Islands"
35,"aquaculture_marine",0,0,"VGB","British Virgin Islands"
36,"demersal_fisheries",102,1.01704958835526e-05,"BRN","Brunei"
36,"fofm_fisheries",0,0,"BRN","Brunei"
36,"large.pelagic_fisheries",206,2.05404132550179e-05,"BRN","Brunei"
36,"medium.pelagic_fisheries",37,3.68929752638671e-06,"BRN","Brunei"
36,"small.pelagic_fisheries",0,0,"BRN","Brunei"
36,"benthic_fisheries",2,1.99421487912795e-07,"BRN","Brunei"
36,"reef_fisheries",0,0,"BRN","Brunei"
36,"aquaculture_marine",0,0,"BRN","Brunei"
37,"demersal_fisheries",132,1.31618182022445e-05,"BGR","Bulgaria"
37,"fofm_fisheries",0,0,"BGR","Bulgaria"
37,"large.pelagic_fisheries",210,2.09392562308435e-05,"BGR","Bulgaria"
37,"medium.pelagic_fisheries",0,0,"BGR","Bulgaria"
37,"small.pelagic_fisheries",0,0,"BGR","Bulgaria"
37,"benthic_fisheries",0,0,"BGR","Bulgaria"
37,"reef_fisheries",0,0,"BGR","Bulgaria"
37,"aquaculture_marine",4,3.98842975825591e-07,"BGR","Bulgaria"
38,"demersal_fisheries",0,0,"BFA","Burkina Faso"
38,"fofm_fisheries",0,0,"BFA","Burkina Faso"
38,"large.pelagic_fisheries",0,0,"BFA","Burkina Faso"
38,"medium.pelagic_fisheries",0,0,"BFA","Burkina Faso"
38,"small.pelagic_fisheries",0,0,"BFA","Burkina Faso"
38,"benthic_fisheries",0,0,"BFA","Burkina Faso"
38,"reef_fisheries",0,0,"BFA","Burkina Faso"
38,"aquaculture_marine",0,0,"BFA","Burkina Faso"
39,"demersal_fisheries",0,0,"BDI","Burundi"
39,"fofm_fisheries",0,0,"BDI","Burundi"
39,"large.pelagic_fisheries",0,0,"BDI","Burundi"
39,"medium.pelagic_fisheries",0,0,"BDI","Burundi"
39,"small.pelagic_fisheries",0,0,"BDI","Burundi"
39,"benthic_fisheries",0,0,"BDI","Burundi"
39,"reef_fisheries",0,0,"BDI","Burundi"
39,"aquaculture_marine",0,0,"BDI","Burundi"
40,"demersal_fisheries",599,5.97267356298822e-05,"KHM","Cambodia"
40,"fofm_fisheries",0,0,"KHM","Cambodia"
40,"large.pelagic_fisheries",0,0,"KHM","Cambodia"
40,"medium.pelagic_fisheries",0,0,"KHM","Cambodia"
40,"small.pelagic_fisheries",0,0,"KHM","Cambodia"
40,"benthic_fisheries",0,0,"KHM","Cambodia"
40,"reef_fisheries",0,0,"KHM","Cambodia"
40,"aquaculture_marine",3,2.99132231869193e-07,"KHM","Cambodia"
41,"demersal_fisheries",0,0,"CMR","Cameroon"
41,"fofm_fisheries",6,5.98264463738386e-07,"CMR","Cameroon"
41,"large.pelagic_fisheries",0,0,"CMR","Cameroon"
41,"medium.pelagic_fisheries",0,0,"CMR","Cameroon"
41,"small.pelagic_fisheries",0,0,"CMR","Cameroon"
41,"benthic_fisheries",0,0,"CMR","Cameroon"
41,"reef_fisheries",0,0,"CMR","Cameroon"
41,"aquaculture_marine",0,0,"CMR","Cameroon"
42,"demersal_fisheries",27050,0.00269717562402056,"CAN","Canada"
42,"fofm_fisheries",212,2.11386777187563e-05,"CAN","Canada"
42,"large.pelagic_fisheries",8672,0.00086469157158988,"CAN","Canada"
42,"medium.pelagic_fisheries",0,0,"CAN","Canada"
42,"small.pelagic_fisheries",0,0,"CAN","Canada"
42,"benthic_fisheries",27,2.69219008682274e-06,"CAN","Canada"
42,"reef_fisheries",83,8.275991748381e-06,"CAN","Canada"
42,"aquaculture_marine",304,3.03120661627449e-05,"CAN","Canada"
43,"demersal_fisheries",1314,0.000131019917558706,"CPV","Cape Verde"
43,"fofm_fisheries",101,1.00707851395962e-05,"CPV","Cape Verde"
43,"large.pelagic_fisheries",14915,0.00148718574610967,"CPV","Cape Verde"
43,"medium.pelagic_fisheries",89,8.87425621211939e-06,"CPV","Cape Verde"
43,"small.pelagic_fisheries",0,0,"CPV","Cape Verde"
43,"benthic_fisheries",0,0,"CPV","Cape Verde"
43,"reef_fisheries",0,0,"CPV","Cape Verde"
43,"aquaculture_marine",0,0,"CPV","Cape Verde"
45,"demersal_fisheries",796,7.93697521892925e-05,"CYM","Cayman Islands"
45,"fofm_fisheries",21,2.09392562308435e-06,"CYM","Cayman Islands"
45,"large.pelagic_fisheries",54,5.38438017364547e-06,"CYM","Cayman Islands"
45,"medium.pelagic_fisheries",0,0,"CYM","Cayman Islands"
45,"small.pelagic_fisheries",0,0,"CYM","Cayman Islands"
45,"benthic_fisheries",0,0,"CYM","Cayman Islands"
45,"reef_fisheries",0,0,"CYM","Cayman Islands"
45,"aquaculture_marine",0,0,"CYM","Cayman Islands"
46,"demersal_fisheries",0,0,"CAF","Central African Republic"
46,"fofm_fisheries",0,0,"CAF","Central African Republic"
46,"large.pelagic_fisheries",0,0,"CAF","Central African Republic"
46,"medium.pelagic_fisheries",0,0,"CAF","Central African Republic"
46,"small.pelagic_fisheries",0,0,"CAF","Central African Republic"
46,"benthic_fisheries",0,0,"CAF","Central African Republic"
46,"reef_fisheries",0,0,"CAF","Central African Republic"
46,"aquaculture_marine",0,0,"CAF","Central African Republic"
47,"demersal_fisheries",0,0,"TCD","Chad"
47,"fofm_fisheries",0,0,"TCD","Chad"
47,"large.pelagic_fisheries",0,0,"TCD","Chad"
47,"medium.pelagic_fisheries",0,0,"TCD","Chad"
47,"small.pelagic_fisheries",0,0,"TCD","Chad"
47,"benthic_fisheries",0,0,"TCD","Chad"
47,"reef_fisheries",0,0,"TCD","Chad"
47,"aquaculture_marine",0,0,"TCD","Chad"
48,"demersal_fisheries",569,5.67354133111903e-05,"CHL","Chile"
48,"fofm_fisheries",617,6.15215290210973e-05,"CHL","Chile"
48,"large.pelagic_fisheries",20554,0.0020494546312798,"CHL","Chile"
48,"medium.pelagic_fisheries",280,2.79190083077913e-05,"CHL","Chile"
48,"small.pelagic_fisheries",0,0,"CHL","Chile"
