Country,Species,Production_system,Herd_type,Variable,Unit,Value
Belgium,Cattle,Grassland systems,Whole herd,HERD: total number of animals,heads/year,351973.53669218125
Belgium,Cattle,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,1027369642.382426
Belgium,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,856315380.1138914
Belgium,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,78058027.0003825
Belgium,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,92996235.26815224
Belgium,Cattle,Grassland systems,Dairy,HERD: total number of animals,heads/year,185432.92457640453
Belgium,Cattle,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,608501714.3476253
Belgium,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,454470729.1175311
Belgium,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,78058027.0003825
Belgium,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,75972958.22971167
Belgium,Cattle,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,166540.61211577675
Belgium,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,418867928.03480077
Belgium,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,401844650.9963602
Belgium,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Belgium,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,17023277.038440574
Belgium,Buffalo,Grassland systems,Whole herd,HERD: total number of animals,heads/year,0
Belgium,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,0
Belgium,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,0
Belgium,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Belgium,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belgium,Buffalo,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Belgium,Buffalo,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Belgium,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Belgium,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Belgium,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belgium,Buffalo,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Belgium,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Belgium,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Belgium,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Belgium,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belgium,Sheep,Grassland systems,Whole herd,HERD: total number of animals,heads/year,12802.942425854275
Belgium,Sheep,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,3239529.315750234
Belgium,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,2991522.754215711
Belgium,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,18090.44069446498
Belgium,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,229916.12084005796
Belgium,Sheep,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Belgium,Sheep,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Belgium,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Belgium,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Belgium,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belgium,Sheep,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,12802.942425854275
Belgium,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,3239529.315750234
Belgium,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,2991522.754215711
Belgium,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,18090.44069446498
Belgium,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,229916.12084005796
Belgium,Goats,Grassland systems,Whole herd,HERD: total number of animals,heads/year,0
Belgium,Goats,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,0
Belgium,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,0
Belgium,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Belgium,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belgium,Goats,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Belgium,Goats,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Belgium,Goats,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Belgium,Goats,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Belgium,Goats,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belgium,Goats,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Belgium,Goats,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Belgium,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Belgium,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Belgium,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belize,Cattle,Grassland systems,Whole herd,HERD: total number of animals,heads/year,66914.1211806335
Belize,Cattle,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,182129533.900047
Belize,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,176768344.61044067
Belize,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Belize,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,5361189.289606322
Belize,Cattle,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Belize,Cattle,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Belize,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Belize,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Belize,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belize,Cattle,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,66914.1211806335
Belize,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,182129533.900047
Belize,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,176768344.61044067
Belize,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Belize,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,5361189.289606322
Belize,Buffalo,Grassland systems,Whole herd,HERD: total number of animals,heads/year,0
Belize,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,0
Belize,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,0
Belize,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Belize,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belize,Buffalo,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Belize,Buffalo,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Belize,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Belize,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Belize,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belize,Buffalo,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Belize,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Belize,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Belize,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Belize,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belize,Sheep,Grassland systems,Whole herd,HERD: total number of animals,heads/year,0
Belize,Sheep,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,0
Belize,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,0
Belize,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Belize,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belize,Sheep,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Belize,Sheep,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Belize,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Belize,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Belize,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belize,Sheep,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Belize,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Belize,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Belize,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Belize,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belize,Goats,Grassland systems,Whole herd,HERD: total number of animals,heads/year,0
Belize,Goats,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,0
Belize,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,0
Belize,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Belize,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belize,Goats,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Belize,Goats,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Belize,Goats,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Belize,Goats,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Belize,Goats,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Belize,Goats,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Belize,Goats,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Belize,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Belize,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Belize,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Benin,Cattle,Grassland systems,Whole herd,HERD: total number of animals,heads/year,623356.6032897348
Benin,Cattle,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,915103461.6453364
Benin,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,892594098.8384817
Benin,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Benin,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,22509362.806854755
Benin,Cattle,Grassland systems,Dairy,HERD: total number of animals,heads/year,189127.77540417045
Benin,Cattle,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,280388441.4796894
Benin,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,270573379.0761476
Benin,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Benin,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,9815062.403541822
Benin,Cattle,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,434228.8278855643
Benin,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,634715020.1656469
Benin,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,622020719.762334
Benin,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Benin,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,12694300.403312933
Benin,Buffalo,Grassland systems,Whole herd,HERD: total number of animals,heads/year,0
Benin,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,0
Benin,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,0
Benin,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Benin,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Benin,Buffalo,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Benin,Buffalo,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Benin,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Benin,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Benin,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Benin,Buffalo,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Benin,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Benin,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Benin,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Benin,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Benin,Sheep,Grassland systems,Whole herd,HERD: total number of animals,heads/year,199903.016564595
Benin,Sheep,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,41703815.53382124
Benin,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,41703815.53382124
Benin,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Benin,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Benin,Sheep,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Benin,Sheep,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Benin,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Benin,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Benin,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Benin,Sheep,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,199903.016564595
Benin,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,41703815.53382124
Benin,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,41703815.53382124
Benin,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Benin,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Benin,Goats,Grassland systems,Whole herd,HERD: total number of animals,heads/year,291696.8896219755
Benin,Goats,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,84860870.51451719
Benin,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,84860870.51451719
Benin,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Benin,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Benin,Goats,Grassland systems,Dairy,HERD: total number of animals,heads/year,92385.29334015118
Benin,Goats,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,27804146.4050041
Benin,Goats,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,27804146.4050041
Benin,Goats,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Benin,Goats,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Benin,Goats,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,199311.59628182428
Benin,Goats,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,57056724.1095131
Benin,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,57056724.1095131
Benin,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Benin,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bermuda,Cattle,Grassland systems,Whole herd,HERD: total number of animals,heads/year,0
Bermuda,Cattle,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,0
Bermuda,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,0
Bermuda,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Bermuda,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bermuda,Cattle,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Bermuda,Cattle,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Bermuda,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Bermuda,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Bermuda,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bermuda,Cattle,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Bermuda,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Bermuda,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Bermuda,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Bermuda,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bermuda,Buffalo,Grassland systems,Whole herd,HERD: total number of animals,heads/year,0
Bermuda,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,0
Bermuda,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,0
Bermuda,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Bermuda,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bermuda,Buffalo,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Bermuda,Buffalo,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Bermuda,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Bermuda,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Bermuda,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bermuda,Buffalo,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Bermuda,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Bermuda,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Bermuda,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Bermuda,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bermuda,Sheep,Grassland systems,Whole herd,HERD: total number of animals,heads/year,0
Bermuda,Sheep,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,0
Bermuda,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,0
Bermuda,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Bermuda,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bermuda,Sheep,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Bermuda,Sheep,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Bermuda,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Bermuda,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Bermuda,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bermuda,Sheep,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Bermuda,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Bermuda,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Bermuda,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Bermuda,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bermuda,Goats,Grassland systems,Whole herd,HERD: total number of animals,heads/year,0
Bermuda,Goats,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,0
Bermuda,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,0
Bermuda,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Bermuda,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bermuda,Goats,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Bermuda,Goats,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Bermuda,Goats,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Bermuda,Goats,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Bermuda,Goats,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bermuda,Goats,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Bermuda,Goats,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Bermuda,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Bermuda,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Bermuda,Goats,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bhutan,Cattle,Grassland systems,Whole herd,HERD: total number of animals,heads/year,208581.81402916327
Bhutan,Cattle,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,387625183.34879
Bhutan,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,374027430.9573499
Bhutan,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Bhutan,Cattle,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,13597752.391440118
Bhutan,Cattle,Grassland systems,Dairy,HERD: total number of animals,heads/year,208581.81402916327
Bhutan,Cattle,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,387625183.34879
Bhutan,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,374027430.9573499
Bhutan,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Bhutan,Cattle,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,13597752.391440118
Bhutan,Cattle,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Bhutan,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Bhutan,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Bhutan,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Bhutan,Cattle,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bhutan,Buffalo,Grassland systems,Whole herd,HERD: total number of animals,heads/year,0
Bhutan,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,0
Bhutan,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,0
Bhutan,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Bhutan,Buffalo,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bhutan,Buffalo,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Bhutan,Buffalo,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Bhutan,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Bhutan,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Bhutan,Buffalo,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bhutan,Buffalo,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,0
Bhutan,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,0
Bhutan,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Bhutan,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Bhutan,Buffalo,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bhutan,Sheep,Grassland systems,Whole herd,HERD: total number of animals,heads/year,13731.552431604272
Bhutan,Sheep,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,3091391.9938342646
Bhutan,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,2916332.0522348033
Bhutan,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Bhutan,Sheep,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,175059.94159946142
Bhutan,Sheep,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
Bhutan,Sheep,Grassland systems,Dairy,INTAKE: Total intake,kg DM/year,0
Bhutan,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Roughages,kg DM/year,0
Bhutan,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Grains,kg DM/year,0
Bhutan,Sheep,Grassland systems,Dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,0
Bhutan,Sheep,Grassland systems,Non-dairy,HERD: total number of animals,heads/year,13731.552431604272
Bhutan,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake,kg DM/year,3091391.9938342646
Bhutan,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Roughages,kg DM/year,2916332.0522348033
Bhutan,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Grains,kg DM/year,0
Bhutan,Sheep,Grassland systems,Non-dairy,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,175059.94159946142
Bhutan,Goats,Grassland systems,Whole herd,HERD: total number of animals,heads/year,37973.34557085119
Bhutan,Goats,Grassland systems,Whole herd,INTAKE: Total intake,kg DM/year,9144227.861361792
Bhutan,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Roughages,kg DM/year,8669256.880513405
Bhutan,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Grains,kg DM/year,0
Bhutan,Goats,Grassland systems,Whole herd,INTAKE: Total intake - Agro-industrial by-products,kg DM/year,474970.98084838636
Bhutan,Goats,Grassland systems,Dairy,HERD: total number of animals,heads/year,0
