iso3c,country,production_system,species,kg_live_wt
PYF,French Polynesia,intermediate,pigs,100
QAT,Qatar,intermediate,pigs,100
REU,Reunion,intermediate,pigs,90
ROU,Romania,intermediate,pigs,100
RUS,Russia,intermediate,pigs,100
RWA,Rwanda,intermediate,pigs,90
SAU,Saudi Arabia,intermediate,pigs,100
SDN,Sudan,intermediate,pigs,90
SEN,Senegal,intermediate,pigs,90
SGP,Singapore,intermediate,pigs,95
SHN,Saint Helena,intermediate,pigs,90
SJM,Svalbard and Jan Mayen,intermediate,pigs,100
SLB,Solomon Islands,intermediate,pigs,100
SLE,Sierra Leone,intermediate,pigs,90
SLV,El Salvador,intermediate,pigs,100
SMR,San Marino,intermediate,pigs,100
SOM,Somalia,intermediate,pigs,90
SPM,Saint Pierre and Miquelon,intermediate,pigs,100
SRB,Serbia,intermediate,pigs,100
STP,São Tomé and Príncipe,intermediate,pigs,90
SUR,Suriname,intermediate,pigs,100
SVK,Slovakia,intermediate,pigs,100
SVN,Slovenia,intermediate,pigs,100
SWE,Sweden,intermediate,pigs,100
SWZ,Swaziland,intermediate,pigs,90
SYC,Seychelles,intermediate,pigs,90
SYR,Syria,intermediate,pigs,100
TCA,Turks and Caicos Islands,intermediate,pigs,100
TCD,Chad,intermediate,pigs,90
TGO,Togo,intermediate,pigs,90
THA,Thailand,intermediate,pigs,95
TJK,Tajikistan,intermediate,pigs,100
TKL,Tokelau,intermediate,pigs,100
TKM,Turkmenistan,intermediate,pigs,100
TLS,Timor-Leste,intermediate,pigs,95
TON,Tonga,intermediate,pigs,100
TTO,Trinidad and Tobago,intermediate,pigs,100
TUN,Tunisia,intermediate,pigs,90
TUR,Turkey,intermediate,pigs,100
TUV,Tuvalu,intermediate,pigs,100
TZA,Tanzania,intermediate,pigs,90
UGA,Uganda,intermediate,pigs,90
UKR,Ukraine,intermediate,pigs,100
URY,Uruguay,intermediate,pigs,100
USA,United States,intermediate,pigs,100
UZB,Uzbekistan,intermediate,pigs,100
VCT,Saint Vincent and the Grenadines,intermediate,pigs,100
VEN,Venezuela,intermediate,pigs,100
VGB,British Virgin Islands,intermediate,pigs,100
VIR,"Virgin Islands, U.S.",intermediate,pigs,100
VNM,Vietnam,intermediate,pigs,85
VUT,Vanuatu,intermediate,pigs,100
WLF,Wallis and Futuna,intermediate,pigs,100
WSM,Samoa,intermediate,pigs,100
YEM,Yemen,intermediate,pigs,100
ZAF,South Africa,intermediate,pigs,90
ZMB,Zambia,intermediate,pigs,90
ZWE,Zimbabwe,intermediate,pigs,90
AFG,Afghanistan,intermediate,pigs,100
ALA,Åland,intermediate,pigs,100
BES,"Bonaire, Sint Eustatius and Saba",intermediate,pigs,100
IOT,British Indian Ocean Territory,intermediate,pigs,90
CXR,Christmas Island,intermediate,pigs,100
CCK,Cocos Islands,intermediate,pigs,100
CUW,Curaçao,intermediate,pigs,100
GIB,Gibraltar,intermediate,pigs,100
XKO,Kosovo,intermediate,pigs,100
XMI,Madeira Island,intermediate,pigs,90
BLM,Saint-Barthélemy,intermediate,pigs,100
MAF,Saint-Martin,intermediate,pigs,100
SXM,Sint Maarten,intermediate,pigs,100
SSD,South Sudan,intermediate,pigs,90
TWN,Taiwan,intermediate,pigs,99.38655462184875
