iso3c,IMAGE_region,region,NUE,system_n_recovery
CPV,subsaharan_africa,Cabo Verde,123.01388888888889,55.56944444444444
CYM,latin_america,Cayman Islands,60.09722222222223,46.916666666666664
CAF,subsaharan_africa,Central African Republic,123.01388888888889,55.56944444444444
TCD,subsaharan_africa,Chad,123.01388888888889,55.56944444444444
CHL,latin_america,Chile,60.09722222222223,46.916666666666664
CHN,east_asia,China,44.08333333333333,40.388888888888886
CXR,industrialized,Christmas Island,57.486111111111114,49.56944444444444
CCK,industrialized,Cocos (Keeling) Islands,57.486111111111114,49.56944444444444
COL,latin_america,Colombia,60.09722222222223,46.916666666666664
COM,subsaharan_africa,Comoros,123.01388888888889,55.56944444444444
COK,developing,Cook Islands,55.56944444444444,43.95833333333333
CRI,latin_america,Costa Rica,60.09722222222223,46.916666666666664
CIV,subsaharan_africa,Côte d’Ivoire,123.01388888888889,55.56944444444444
HRV,industrialized,Croatia,57.486111111111114,49.56944444444444
CUB,latin_america,Cuba,60.09722222222223,46.916666666666664
CUW,latin_america,Curaçao,60.09722222222223,46.916666666666664
CZE,industrialized,Czechia,57.486111111111114,49.56944444444444
COD,subsaharan_africa,Democratic Republic of the Congo,123.01388888888889,55.56944444444444
DNK,industrialized,Denmark,57.486111111111114,49.56944444444444
DJI,subsaharan_africa,Djibouti,123.01388888888889,55.56944444444444
DOM,latin_america,Dominican Republic,60.09722222222223,46.916666666666664
DMA,latin_america,Dominica,60.09722222222223,46.916666666666664
ECU,latin_america,Ecuador,60.09722222222223,46.916666666666664
EGY,north_africa,Egypt,61.263888888888886,48.958333333333336
SLV,latin_america,El Salvador,60.09722222222223,46.916666666666664
GNQ,subsaharan_africa,Equatorial Guinea,123.01388888888889,55.56944444444444
ERI,subsaharan_africa,Eritrea,123.01388888888889,55.56944444444444
EST,industrialized,Estonia,57.486111111111114,49.56944444444444
ETH,subsaharan_africa,Ethiopia,123.01388888888889,55.56944444444444
FLK,latin_america,Falkland Islands (Malvinas),60.09722222222223,46.916666666666664
FRO,industrialized,Faroe Islands,57.486111111111114,49.56944444444444
FJI,developing,Fiji,55.56944444444444,43.95833333333333
FIN,industrialized,Finland,57.486111111111114,49.56944444444444
