"Taxonkey","TaxonName","CommonName","Gear","GearName","Descript","bycatch","destruction","type"
601616,"Nematalosa nasus","Blochs gizzard shad",1410,"set gillnets","pelagic <30 cm","high","non-destructive","pelagic"
601616,"Nematalosa nasus","Blochs gizzard shad",850,"mid-water trawls","pelagic <30 cm","high","non-destructive","pelagic"
601845,"Lethrinus microdon","Smalltooth emperor",421,"handlines","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
601846,"Lethrinus nebulosus","Spangled emperor",421,"handlines","demersal 30 - 90 cm","low","non-destructive","demersal"
601863,"Lethrinus lentjan","Pink ear emperor",421,"handlines","demersal 30 - 90 cm","low","non-destructive","demersal"
601889,"Alepes djedaba","Shrimp scad",420,"with gorges or hooks","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
601950,"Scomberoides commersonnianus","Talang queenfish",422,"set lines","reef-associated >=90 cm","high","non-destructive","pelagic"
601963,"Trachinotus blochii","Snubnose pompano",500,"traps","reef-associated >=90 cm","high","non-destructive","pelagic"
604464,"Gnathanodon speciosus","Golden trevally",840,"bottom trawls","reef-associated >=90 cm","high","destructive","pelagic"
604464,"Gnathanodon speciosus","Golden trevally",1410,"set gillnets","reef-associated >=90 cm","high","non-destructive","pelagic"
604464,"Gnathanodon speciosus","Golden trevally",921,"beach seines","reef-associated >=90 cm","high","non-destructive","pelagic"
604465,"Diagramma pictum","Painted sweetlips",421,"handlines","reef-associated >=90 cm","low","non-destructive","pelagic"
604493,"Sphyraena obtusata","Obtuse barracuda",420,"with gorges or hooks","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
604543,"Acanthopagrus bifasciatus","Twobar seabream",840,"bottom trawls","reef-associated 30 - 90 cm","high","destructive","pelagic"
604827,"Sphyraena jello","Pickhandle barracuda",420,"with gorges or hooks","reef-associated >=90 cm","low","non-destructive","pelagic"
604827,"Sphyraena jello","Pickhandle barracuda",840,"bottom trawls","reef-associated >=90 cm","high","destructive","pelagic"
604827,"Sphyraena jello","Pickhandle barracuda",1410,"set gillnets","reef-associated >=90 cm","high","non-destructive","pelagic"
604827,"Sphyraena jello","Pickhandle barracuda",921,"beach seines","reef-associated >=90 cm","high","non-destructive","pelagic"
604827,"Sphyraena jello","Pickhandle barracuda",1400,"gillnets","reef-associated >=90 cm","high","non-destructive","pelagic"
605526,"Acanthopagrus berda","Picnic seabream",850,"mid-water trawls","demersal >=90 cm","high","non-destructive","demersal"
605526,"Acanthopagrus berda","Picnic seabream",421,"handlines","demersal >=90 cm","low","non-destructive","demersal"
605526,"Acanthopagrus berda","Picnic seabream",420,"with gorges or hooks","demersal >=90 cm","low","non-destructive","demersal"
605526,"Acanthopagrus berda","Picnic seabream",422,"set lines","demersal >=90 cm","high","non-destructive","demersal"
607708,"Pomadasys stridens","Striped piggy",420,"with gorges or hooks","reef-associated <30 cm","low","non-destructive","pelagic"
607903,"Pomacanthus maculosus","Yellowbar angelfish",1400,"gillnets","reef-associated 30 - 90 cm","high","non-destructive","pelagic"
607945,"Pelates quadrilineatus","Fourlined terapon",1400,"gillnets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
608166,"Rhabdosargus haffara","Haffara seabream",420,"with gorges or hooks","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
606426,"Pagrus auratus","Squirefish",840,"bottom trawls","demersal >=90 cm","high","destructive","demersal"
606426,"Pagrus auratus","Squirefish",850,"mid-water trawls","demersal >=90 cm","high","non-destructive","demersal"
606426,"Pagrus auratus","Squirefish",420,"with gorges or hooks","demersal >=90 cm","low","non-destructive","demersal"
400206,"Exocoetidae","Flyingfishes",500,"traps","pelagic <30 cm","high","non-destructive","pelagic"
400206,"Exocoetidae","Flyingfishes",1210,"hand liftnets","pelagic <30 cm","low","non-destructive","pelagic"
610220,"Arius thalassinus","Giant seacatfish",850,"mid-water trawls","demersal >=90 cm","high","non-destructive","demersal"
610220,"Arius thalassinus","Giant seacatfish",421,"handlines","demersal >=90 cm","low","non-destructive","demersal"
610220,"Arius thalassinus","Giant seacatfish",422,"set lines","demersal >=90 cm","high","non-destructive","demersal"
610220,"Arius thalassinus","Giant seacatfish",840,"bottom trawls","demersal >=90 cm","high","destructive","demersal"
610220,"Arius thalassinus","Giant seacatfish",420,"with gorges or hooks","demersal >=90 cm","low","non-destructive","demersal"
690163,"Penaeus semisulcatus","Green tiger prawn",840,"bottom trawls","shrimp","high","destructive","demersal"
690681,"Thenus orientalis","Flathead lobster",840,"bottom trawls","lobsters crab","high","destructive","demersal"
690681,"Thenus orientalis","Flathead lobster",1400,"gillnets","lobsters crab","high","non-destructive","demersal"
690681,"Thenus orientalis","Flathead lobster",500,"traps","lobsters crab","high","non-destructive","demersal"
690681,"Thenus orientalis","Flathead lobster",551,"pots","lobsters crab","high","non-destructive","demersal"
690681,"Thenus orientalis","Flathead lobster",830,"dredges","lobsters crab","high","destructive","demersal"
100058,"Miscellaneous marine molluscs","Marine molluscs",214,"tongs","demersal mollusc","low","non-destructive","demersal"
400207,"Belonidae","Needlefishes",424,"troll lines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
500467,"Caranx","Jacks",1540,"trammel nets","reef-associated 30 - 90 cm","high","non-destructive","pelagic"
500467,"Caranx","Jacks",1400,"gillnets","reef-associated 30 - 90 cm","high","non-destructive","pelagic"
500467,"Caranx","Jacks",420,"with gorges or hooks","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
500928,"Seriola","Amberjacks",420,"with gorges or hooks","benthopelagic 30 - 90 cm","low","non-destructive","demersal"
600015,"Epinephelus guttatus","Red hind",420,"with gorges or hooks","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
100047,"Miscellaneous marine crustaceans","Marine crustaceans",551,"pots","lobsters crab","high","non-destructive","demersal"
100047,"Miscellaneous marine crustaceans","Marine crustaceans",830,"dredges","lobsters crab","high","destructive","demersal"
100047,"Miscellaneous marine crustaceans","Marine crustaceans",1400,"gillnets","lobsters crab","high","non-destructive","demersal"
600033,"Molva molva","Ling",420,"with gorges or hooks","demersal >=90 cm","low","non-destructive","demersal"
600034,"Pollachius pollachius","Pollack",421,"handlines","benthopelagic >=90 cm","low","non-destructive","demersal"
600034,"Pollachius pollachius","Pollack",840,"bottom trawls","benthopelagic >=90 cm","high","destructive","demersal"
600260,"Harpadon nehereus","Bombay duck",922,"boat seines","benthopelagic 30 - 90 cm","high","non-destructive","demersal"
600260,"Harpadon nehereus","Bombay duck",700,"bagnets","benthopelagic 30 - 90 cm","low","non-destructive","demersal"
600260,"Harpadon nehereus","Bombay duck",1400,"gillnets","benthopelagic 30 - 90 cm","high","non-destructive","demersal"
601596,"Tenualosa ilisha","Hilsa shad",1400,"gillnets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
600044,"Aspitrigla cuculus","East Atlantic red gurnard",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
600078,"Istiophorus albicans","Atlantic sailfish",400,"Lines","pelagic >=90 cm","low","non-destructive","pelagic"
600078,"Istiophorus albicans","Atlantic sailfish",1050,"purse seine tuna","pelagic >=90 cm","low","non-destructive","pelagic"
600078,"Istiophorus albicans","Atlantic sailfish",450,"longline tuna","pelagic >=90 cm","high","non-destructive","pelagic"
600078,"Istiophorus albicans","Atlantic sailfish",1400,"gillnets","pelagic >=90 cm","high","non-destructive","pelagic"
600068,"Eutrigla gurnardus","Grey gurnard",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
600069,"Gadus morhua","Atlantic cod",1400,"gillnets","benthopelagic >=90 cm","high","non-destructive","demersal"
400218,"Atherinidae","Silversides",1320,"cast nets, with or without pockets","pelagic <30 cm","low","non-destructive","pelagic"
400454,"Engraulidae","Anchovies",1020,"purse seines","pelagic <30 cm","low","non-destructive","pelagic"
400454,"Engraulidae","Anchovies",1010,"lampara-like nets","pelagic <30 cm","low","non-destructive","pelagic"
400454,"Engraulidae","Anchovies",850,"mid-water trawls","pelagic <30 cm","high","non-destructive","pelagic"
490043,"Penaeidae","Penaeid shrimps",840,"bottom trawls","shrimp","high","destructive","demersal"
600529,"Scophthalmus rhombus","Brill",900,"seine nets","flatfish <90 cm","high","non-destructive","demersal"
490054,"Mytilidae","Sea mussels",213,"raking devices","demersal mollusc","high","destructive","demersal"
490054,"Mytilidae","Sea mussels",830,"dredges","demersal mollusc","high","destructive","demersal"
490054,"Mytilidae","Sea mussels",110,"grasping with hand","demersal mollusc","low","non-destructive","demersal"
490054,"Mytilidae","Sea mussels",120,"by diving","demersal mollusc","low","non-destructive","demersal"
501941,"Harengula","Herring",1020,"purse seines","pelagic <30 cm","low","non-destructive","pelagic"
400340,"Ephippidae","Spadefishes batfishes and scats",420,"with gorges or hooks","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
600695,"Limanda limanda","Dab",840,"bottom trawls","flatfish <90 cm","high","destructive","demersal"
601327,"Mullus surmuletus","Striped red mullet",1400,"gillnets","demersal 30 - 90 cm","high","non-destructive","demersal"
501941,"Harengula","Herring",1320,"cast nets, with or without pockets","pelagic <30 cm","low","non-destructive","pelagic"
501941,"Harengula","Herring",900,"seine nets","pelagic <30 cm","high","non-destructive","pelagic"
500477,"Kyphosus","Sea chubs",500,"traps","reef-associated 30 - 90 cm","high","non-destructive","pelagic"
500477,"Kyphosus","Sea chubs",421,"handlines","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
500477,"Kyphosus","Sea chubs",1400,"gillnets","reef-associated 30 - 90 cm","high","non-destructive","pelagic"
500477,"Kyphosus","Sea chubs",420,"with gorges or hooks","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
600119,"Scomberomorus brasiliensis","Serra Spanish mackerel",1400,"gillnets","pelagic >=90 cm","high","non-destructive","pelagic"
501941,"Harengula","Herring",1400,"gillnets","pelagic <30 cm","high","non-destructive","pelagic"
501941,"Harengula","Herring",850,"mid-water trawls","pelagic <30 cm","high","non-destructive","pelagic"
400308,"Malacanthidae","Tilefishes",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
400308,"Malacanthidae","Tilefishes",850,"mid-water trawls","demersal 30 - 90 cm","high","non-destructive","demersal"
600120,"Scomberomorus cavalla","King mackerel",420,"with gorges or hooks","reef-associated >=90 cm","low","non-destructive","pelagic"
606948,"Bathyraja eatonii","Eatons skate",840,"bottom trawls","rays >=90 cm","high","destructive","demersal"
606952,"Bathyraja murrayi","Murrays skate",840,"bottom trawls","rays <90 cm","high","destructive","demersal"
607039,"Dissostichus mawsoni","Antarctic toothfish",420,"with gorges or hooks","benthopelagic >=90 cm","low","non-destructive","demersal"
590014,"Crassostrea","Cupped oysters",830,"dredges","demersal mollusc","high","destructive","demersal"
607040,"Gobionotothen acuta","Triangular notothen",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
607040,"Gobionotothen acuta","Triangular notothen",420,"with gorges or hooks","demersal 30 - 90 cm","low","non-destructive","demersal"
607045,"Lepidonotothen squamifrons","Grey rockcod",840,"bottom trawls","benthopelagic 30 - 90 cm","high","destructive","demersal"
607046,"Lepidonotothen mizops","Toad notothen",420,"with gorges or hooks","benthopelagic <30 cm","low","non-destructive","demersal"
607046,"Lepidonotothen mizops","Toad notothen",850,"mid-water trawls","benthopelagic <30 cm","high","non-destructive","demersal"
607046,"Lepidonotothen mizops","Toad notothen",840,"bottom trawls","benthopelagic <30 cm","high","destructive","demersal"
607139,"Macrourus whitsoni","Whitsons Grenadier",420,"with gorges or hooks","benthopelagic >=90 cm","low","non-destructive","demersal"
607139,"Macrourus whitsoni","Whitsons Grenadier",850,"mid-water trawls","benthopelagic >=90 cm","high","non-destructive","demersal"
607151,"Pseudocyttus maculatus","Smooth oreo",850,"mid-water trawls","benthopelagic 30 - 90 cm","high","non-destructive","demersal"
607151,"Pseudocyttus maculatus","Smooth oreo",1020,"purse seines","benthopelagic 30 - 90 cm","low","non-destructive","demersal"
607151,"Pseudocyttus maculatus","Smooth oreo",840,"bottom trawls","benthopelagic 30 - 90 cm","high","destructive","demersal"
608173,"Girella tricuspidata","Luderick",840,"bottom trawls","benthopelagic 30 - 90 cm","high","destructive","demersal"
608173,"Girella tricuspidata","Luderick",850,"mid-water trawls","benthopelagic 30 - 90 cm","high","non-destructive","demersal"
608173,"Girella tricuspidata","Luderick",1020,"purse seines","benthopelagic 30 - 90 cm","low","non-destructive","demersal"
600076,"Helicolenus dactylopterus dactylopterus","Blackbelly rosefish",840,"bottom trawls","bathydemersal 30 - 90 cm","high","destructive","demersal"
657505,"Bathyraja irrasa","Kerguelen sandpaper skate",840,"bottom trawls","rays <90 cm","high","destructive","demersal"
500495,"Prionotus","Sea robins",840,"bottom trawls","demersal <30 cm","high","destructive","demersal"
502790,"Menticirrhus","Kingcroakers",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
502790,"Menticirrhus","Kingcroakers",850,"mid-water trawls","demersal 30 - 90 cm","high","non-destructive","demersal"
290022,"Crustacea","Crustaceans",551,"pots","lobsters crab","high","non-destructive","demersal"
503028,"Mycteroperca","Cat groupers",420,"with gorges or hooks","reef-associated >=90 cm","low","non-destructive","pelagic"
600387,"Selar crumenophthalmus","Bigeye scad",921,"beach seines","pelagic 30 - 90 cm","high","non-destructive","pelagic"
600387,"Selar crumenophthalmus","Bigeye scad",1020,"purse seines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
600387,"Selar crumenophthalmus","Bigeye scad",420,"with gorges or hooks","pelagic 30 - 90 cm","low","non-destructive","pelagic"
600387,"Selar crumenophthalmus","Bigeye scad",840,"bottom trawls","pelagic 30 - 90 cm","high","destructive","pelagic"
600387,"Selar crumenophthalmus","Bigeye scad",1420,"driftnets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
500504,"Centropomus","Snooks",850,"mid-water trawls","demersal 30 - 90 cm","high","non-destructive","demersal"
500504,"Centropomus","Snooks",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
600898,"Prionace glauca","Blue shark",420,"with gorges or hooks","shark >=90 cm","low","non-destructive","demersal"
600898,"Prionace glauca","Blue shark",1420,"driftnets","shark >=90 cm","high","non-destructive","demersal"
600898,"Prionace glauca","Blue shark",1400,"gillnets","shark >=90 cm","high","non-destructive","demersal"
601077,"Lobotes surinamensis","Atlantic tripletail",420,"with gorges or hooks","benthopelagic >=90 cm","low","non-destructive","demersal"
601078,"Lophius gastrophysus","Blackfin goosefish",840,"bottom trawls","bathydemersal 30 - 90 cm","high","destructive","demersal"
500598,"Trachinotus","Pompanos",420,"with gorges or hooks","pelagic 30 - 90 cm","low","non-destructive","pelagic"
500598,"Trachinotus","Pompanos",1400,"gillnets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
500598,"Trachinotus","Pompanos",1540,"trammel nets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
500928,"Seriola","Amberjacks",1400,"gillnets","benthopelagic 30 - 90 cm","high","non-destructive","demersal"
500928,"Seriola","Amberjacks",1540,"trammel nets","benthopelagic 30 - 90 cm","high","non-destructive","demersal"
603542,"Rachycentron canadum","Cobia",421,"handlines","pelagic >=90 cm","low","non-destructive","pelagic"
501055,"Gerres","Silver biddies",840,"bottom trawls","demersal <30 cm","high","destructive","demersal"
600386,"Parona signata","Parona leatherjacket",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
600972,"Ablennes hians","Flat needlefish",424,"troll lines","pelagic >=90 cm","low","non-destructive","pelagic"
601962,"Seriolina nigrofasciata","Blackbanded trevally",1420,"driftnets","reef-associated 30 - 90 cm","high","non-destructive","pelagic"
605526,"Acanthopagrus berda","Picnic seabream",840,"bottom trawls","demersal >=90 cm","high","destructive","demersal"
601933,"Caranx crysos","Blue runner",1400,"gillnets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
601933,"Caranx crysos","Blue runner",922,"boat seines","pelagic 30 - 90 cm","high","non-destructive","pelagic"
601933,"Caranx crysos","Blue runner",1020,"purse seines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
601933,"Caranx crysos","Blue runner",850,"mid-water trawls","pelagic 30 - 90 cm","high","non-destructive","pelagic"
600266,"Lutjanus griseus","Grey snapper",1400,"gillnets","reef-associated 30 - 90 cm","high","non-destructive","pelagic"
600266,"Lutjanus griseus","Grey snapper",100,"without gear","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
600266,"Lutjanus griseus","Grey snapper",420,"with gorges or hooks","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
600266,"Lutjanus griseus","Grey snapper",1420,"driftnets","reef-associated 30 - 90 cm","high","non-destructive","pelagic"
600752,"Isurus oxyrinchus","Shortfin mako",420,"with gorges or hooks","shark >=90 cm","low","non-destructive","demersal"
608816,"Cephalopholis fulva","Coney",420,"with gorges or hooks","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
600144,"Thunnus atlanticus","Blackfin tuna",424,"troll lines","pelagic >=90 cm","low","non-destructive","pelagic"
690032,"Xiphopenaeus kroyeri","Atlantic seabob",840,"bottom trawls","shrimp","high","destructive","demersal"
500912,"Priacanthus","Bigeyes",850,"mid-water trawls","demersal 30 - 90 cm","high","non-destructive","demersal"
607620,"Micropogonias furnieri","Whitemouth croaker",850,"mid-water trawls","demersal 30 - 90 cm","high","non-destructive","demersal"
650136,"Pseudopercis semifasciata","Argentinian sandperch",420,"with gorges or hooks","demersal >=90 cm","low","non-destructive","demersal"
690105,"Callinectes danae","Dana's swimming crab",551,"pots","lobsters crab","high","non-destructive","demersal"
690105,"Callinectes danae","Dana's swimming crab",1030,"ring nets","lobsters crab","low","non-destructive","demersal"
690105,"Callinectes danae","Dana's swimming crab",500,"traps","lobsters crab","high","non-destructive","demersal"
690327,"Farfantepenaeus brasiliensis","Redspotted shrimp",840,"bottom trawls","shrimp","high","destructive","demersal"
690629,"Tivela mactroides","Trigonal tivela",830,"dredges","demersal mollusc","high","destructive","demersal"
290012,"Holothuroidea","Sea cucumbers",500,"traps","demersal mollusc","high","non-destructive","demersal"
290012,"Holothuroidea","Sea cucumbers",214,"tongs","demersal mollusc","low","non-destructive","demersal"
600171,"Lutjanus purpureus","Southern red snapper",420,"with gorges or hooks","demersal >=90 cm","low","non-destructive","demersal"
600094,"Auxis thazard thazard","Frigate tuna",900,"seine nets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
601079,"Megalops atlanticus","Tarpon",1420,"driftnets","pelagic >=90 cm","high","non-destructive","pelagic"
601079,"Megalops atlanticus","Tarpon",450,"longline tuna","pelagic >=90 cm","high","non-destructive","pelagic"
601079,"Megalops atlanticus","Tarpon",1050,"purse seine tuna","pelagic >=90 cm","low","non-destructive","pelagic"
601079,"Megalops atlanticus","Tarpon",440,"pole line tuna","pelagic >=90 cm","low","non-destructive","pelagic"
601079,"Megalops atlanticus","Tarpon",1020,"purse seines","pelagic >=90 cm","low","non-destructive","pelagic"
601079,"Megalops atlanticus","Tarpon",420,"with gorges or hooks","pelagic >=90 cm","low","non-destructive","pelagic"
600378,"Selene setapinnis","Atlantic moonfish",840,"bottom trawls","demersal 30 - 90 cm","high","destructive","demersal"
600378,"Selene setapinnis","Atlantic moonfish",850,"mid-water trawls","demersal 30 - 90 cm","high","non-destructive","demersal"
600220,"Tetrapturus pfluegeri","Longbill spearfish",420,"with gorges or hooks","pelagic >=90 cm","low","non-destructive","pelagic"
100056,"Clams cockles arkshells","Clams cockles arkshells",830,"dredges","demersal mollusc","high","destructive","demersal"
100056,"Clams cockles arkshells","Clams cockles arkshells",110,"grasping with hand","demersal mollusc","low","non-destructive","demersal"
100056,"Clams cockles arkshells","Clams cockles arkshells",120,"by diving","demersal mollusc","low","non-destructive","demersal"
100056,"Clams cockles arkshells","Clams cockles arkshells",213,"raking devices","demersal mollusc","high","destructive","demersal"
600336,"Zenopsis conchifer","Silvery John dory",840,"bottom trawls","benthopelagic 30 - 90 cm","high","destructive","demersal"
600385,"Chloroscombrus chrysurus","Atlantic bumper",1020,"purse seines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
600385,"Chloroscombrus chrysurus","Atlantic bumper",1010,"lampara-like nets","pelagic 30 - 90 cm","low","non-destructive","pelagic"
600385,"Chloroscombrus chrysurus","Atlantic bumper",421,"handlines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
600385,"Chloroscombrus chrysurus","Atlantic bumper",850,"mid-water trawls","pelagic 30 - 90 cm","high","non-destructive","pelagic"
600385,"Chloroscombrus chrysurus","Atlantic bumper",1400,"gillnets","pelagic 30 - 90 cm","high","non-destructive","pelagic"
600385,"Chloroscombrus chrysurus","Atlantic bumper",922,"boat seines","pelagic 30 - 90 cm","high","non-destructive","pelagic"
600216,"Makaira nigricans","Atlantic blue marlin",400,"Lines","pelagic >=90 cm","low","non-destructive","pelagic"
100058,"Miscellaneous marine molluscs","Marine molluscs",500,"traps","demersal mollusc","high","non-destructive","demersal"
600401,"Conodon nobilis","Barred grunt",900,"seine nets","demersal 30 - 90 cm","high","non-destructive","demersal"
600401,"Conodon nobilis","Barred grunt",420,"with gorges or hooks","demersal 30 - 90 cm","low","non-destructive","demersal"
608315,"Plectorhinchus pictus","Trout sweetlips",420,"with gorges or hooks","reef-associated 30 - 90 cm","low","non-destructive","pelagic"
100036,"Scombroids","Tunas bonitos billfishes",1050,"purse seine tuna","pelagic >=90 cm","low","non-destructive","pelagic"
100036,"Scombroids","Tunas bonitos billfishes",424,"troll lines","pelagic >=90 cm","low","non-destructive","pelagic"
600417,"Macrodon ancylodon","King weakfish",850,"mid-water trawls","demersal 30 - 90 cm","high","non-destructive","demersal"
600465,"Percophis brasiliensis","Brazilian flathead",850,"mid-water trawls","demersal 30 - 90 cm","high","non-destructive","demersal"
400189,"Batrachoididae","Toadfishes",421,"handlines","demersal <30 cm","low","non-destructive","demersal"
100345,"Shrimps prawns","Natantian decapods",840,"bottom trawls","shrimp","high","destructive","demersal"
601059,"Hemiramphus brasiliensis","Ballyhoo",1020,"purse seines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
600244,"Oncorhynchus tshawytscha","Chinook salmon",850,"mid-water trawls","benthopelagic >=90 cm","high","non-destructive","demersal"
600244,"Oncorhynchus tshawytscha","Chinook salmon",1400,"gillnets","benthopelagic >=90 cm","high","non-destructive","demersal"
600245,"Oncorhynchus kisutch","Coho salmon",850,"mid-water trawls","demersal >=90 cm","high","non-destructive","demersal"
600245,"Oncorhynchus kisutch","Coho salmon",1400,"gillnets","demersal >=90 cm","high","non-destructive","demersal"
600245,"Oncorhynchus kisutch","Coho salmon",1020,"purse seines","demersal >=90 cm","low","non-destructive","demersal"
600875,"Carcharhinus longimanus","Oceanic whitetip shark",423,"drift lines","shark >=90 cm","high","non-destructive","demersal"
300009,"Squaliformes","Bramble sleeper dogfish sharks",1400,"gillnets","shark <90 cm","high","non-destructive","demersal"
300009,"Squaliformes","Bramble sleeper dogfish sharks",420,"with gorges or hooks","shark <90 cm","low","non-destructive","demersal"
300009,"Squaliformes","Bramble sleeper dogfish sharks",840,"bottom trawls","shark <90 cm","high","destructive","demersal"
600069,"Gadus morhua","Atlantic cod",850,"mid-water trawls","benthopelagic >=90 cm","high","non-destructive","demersal"
600069,"Gadus morhua","Atlantic cod",422,"set lines","benthopelagic >=90 cm","high","non-destructive","demersal"
600516,"Reinhardtius hippoglossoides","Greenland halibut",420,"with gorges or hooks","flatfish <90 cm","low","non-destructive","demersal"
400189,"Batrachoididae","Toadfishes",420,"with gorges or hooks","demersal <30 cm","low","non-destructive","demersal"
400189,"Batrachoididae","Toadfishes",560,"trapping gear","demersal <30 cm","high","non-destructive","demersal"
600252,"Mallotus villosus","Capelin",1020,"purse seines","pelagic <30 cm","low","non-destructive","pelagic"
300026,"Anguilliformes","Eels and morays",1020,"purse seines","demersal 30 - 90 cm","low","non-destructive","demersal"
300026,"Anguilliformes","Eels and morays",1400,"gillnets","demersal 30 - 90 cm","high","non-destructive","demersal"
600517,"Atheresthes stomias","Arrowtooth flounder",840,"bottom trawls","flatfish <90 cm","high","destructive","demersal"
600517,"Atheresthes stomias","Arrowtooth flounder",1400,"gillnets","flatfish <90 cm","high","non-destructive","demersal"
600517,"Atheresthes stomias","Arrowtooth flounder",421,"handlines","flatfish <90 cm","low","non-destructive","demersal"
600517,"Atheresthes stomias","Arrowtooth flounder",422,"set lines","flatfish <90 cm","high","non-destructive","demersal"
600521,"Limanda ferruginea","Yellowtail flounder",840,"bottom trawls","flatfish <90 cm","high","destructive","demersal"
600524,"Pseudopleuronectes americanus","Winter flounder",422,"set lines","flatfish <90 cm","high","non-destructive","demersal"
600524,"Pseudopleuronectes americanus","Winter flounder",840,"bottom trawls","flatfish <90 cm","high","destructive","demersal"
600524,"Pseudopleuronectes americanus","Winter flounder",1400,"gillnets","flatfish <90 cm","high","non-destructive","demersal"
600524,"Pseudopleuronectes americanus","Winter flounder",421,"handlines","flatfish <90 cm","low","non-destructive","demersal"
600532,"Lophius americanus","American angler",840,"bottom trawls","demersal >=90 cm","high","destructive","demersal"
604239,"Hippoglossoides platessoides","American plaice",840,"bottom trawls","flatfish <90 cm","high","destructive","demersal"
690003,"Pandalus montagui","Aesop shrimp",840,"bottom trawls","shrimp","high","destructive","demersal"
501410,"Salvelinus","Char",850,"mid-water trawls","benthopelagic <30 cm","high","non-destructive","demersal"
501410,"Salvelinus","Char",420,"with gorges or hooks","benthopelagic <30 cm","low","non-destructive","demersal"
501410,"Salvelinus","Char",840,"bottom trawls","benthopelagic <30 cm","high","destructive","demersal"
690009,"Crassostrea virginica","American cupped oyster",830,"dredges","demersal mollusc","high","destructive","demersal"
690009,"Crassostrea virginica","American cupped oyster",100,"without gear","demersal mollusc","low","non-destructive","demersal"
690009,"Crassostrea virginica","American cupped oyster",110,"grasping with hand","demersal mollusc","low","non-destructive","demersal"
690009,"Crassostrea virginica","American cupped oyster",120,"by diving","demersal mollusc","low","non-destructive","demersal"
690009,"Crassostrea virginica","American cupped oyster",213,"raking devices","demersal mollusc","high","destructive","demersal"
690010,"Homarus americanus","American lobster",500,"traps","lobsters crab","high","non-destructive","demersal"
505897,"Anarhichas","Wolffish",840,"bottom trawls","demersal >=90 cm","high","destructive","demersal"
590093,"Pandalus","Pandalus shrimps",840,"bottom trawls","shrimp","high","destructive","demersal"
600253,"Osmerus mordax mordax","Atlantic rainbow smelt",1020,"purse seines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
690011,"Placopecten magellanicus","American sea scallop",120,"by diving","demersal mollusc","low","non-destructive","demersal"
690011,"Placopecten magellanicus","American sea scallop",100,"without gear","demersal mollusc","low","non-destructive","demersal"
690011,"Placopecten magellanicus","American sea scallop",110,"grasping with hand","demersal mollusc","low","non-destructive","demersal"
690011,"Placopecten magellanicus","American sea scallop",830,"dredges","demersal mollusc","high","destructive","demersal"
690011,"Placopecten magellanicus","American sea scallop",213,"raking devices","demersal mollusc","high","destructive","demersal"
690031,"Cancer irroratus","Atlantic rock crab",500,"traps","lobsters crab","high","non-destructive","demersal"
690033,"Spisula solidissima","Atlantic surf clam",830,"dredges","demersal mollusc","high","destructive","demersal"
690033,"Spisula solidissima","Atlantic surf clam",110,"grasping with hand","demersal mollusc","low","non-destructive","demersal"
690033,"Spisula solidissima","Atlantic surf clam",120,"by diving","demersal mollusc","low","non-destructive","demersal"
690033,"Spisula solidissima","Atlantic surf clam",213,"raking devices","demersal mollusc","high","destructive","demersal"
690033,"Spisula solidissima","Atlantic surf clam",100,"without gear","demersal mollusc","low","non-destructive","demersal"
601520,"Clupea pallasii pallasii","Pacific herring",1020,"purse seines","pelagic 30 - 90 cm","low","non-destructive","pelagic"
601520,"Clupea pallasii pallasii","Pacific herring",1010,"lampara-like nets","pelagic 30 - 90 cm","low","non-destructive","pelagic"
