crop_number,SPAM_short_name,SPAM_super,SPAM_full_name,FAONAMES,FAO_item_code_NFB,FAO_item_code,GROUP,product_description_FAOSTAT,non_food
27,ooil,xoil,other oil crops,olives ++,,316,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,317,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,318,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,319,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,320,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,321,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,322,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,323,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,324,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,325,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,326,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,,327,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,2559,329,oilcrops,Cottonseed,
27,ooil,xoil,other oil crops,olives ++,,330,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,2575,331,oilcrops,Oil of Cottonseed,
27,ooil,xoil,other oil crops,olives ++,2575,332,oilcrops,Cake of Cottonseed,
27,ooil,xoil,other oil crops,olives ++,2570,333,oilcrops,Linseed,
27,ooil,xoil,other oil crops,olives ++,2586,334,oilcrops,Oil of Linseed,
27,ooil,xoil,other oil crops,olives ++,2586,335,oilcrops,Cake of Linseed,
27,ooil,xoil,other oil crops,olives ++,2570,336,oilcrops,Hempseed,
27,ooil,xoil,other oil crops,olives ++,2586,337,oilcrops,Oil of Hempseed,
27,ooil,xoil,other oil crops,olives ++,2586,338,oilcrops,Cake of Hempseed,
27,ooil,xoil,other oil crops,olives ++,2570,339,oilcrops,Oilseeds nes,
27,ooil,xoil,other oil crops,olives ++,2586,340,oilcrops,"Oil, vegetable origin nes",
27,ooil,xoil,other oil crops,olives ++,2570,343,oilcrops,"Flour, oilseeds",
