iso3c,animal,product,system,feedstuff,feeditem_kg_per_head
ALA,pigs,meat,backyard,Crop residues from sugarcane,0
ALA,pigs,meat,backyard,Dry by-product from grain industries,94.7748
ALA,pigs,meat,backyard,FISHMEAL,0.1931
ALA,pigs,meat,backyard,Fruit from banana trees,0
ALA,pigs,meat,backyard,Grains from barley (Hordeum vulgare),86.6536
ALA,pigs,meat,backyard,Grains from maize (Zea mays),40.5462
ALA,pigs,meat,backyard,Grains from millet,0.1524
ALA,pigs,meat,backyard,Grains from rice,0.5589
ALA,pigs,meat,backyard,Grains from sorghum,0.1143
ALA,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,78.1825
ALA,pigs,meat,backyard,Household food waste and other organic material used as feed,101.6093
ALA,pigs,meat,backyard,Leguminous beans,57.6478
ALA,pigs,meat,backyard,Molasses,0.0381
ALA,pigs,meat,backyard,Oil palm kernel expeller,0
ALA,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.4953
ALA,pigs,meat,backyard,Residual plant material such as stems from banana,0
ALA,pigs,meat,backyard,SYNTHETIC,0.0864
ALA,pigs,meat,backyard,Wet by-product from grain industries,0
GGY,pigs,meat,backyard,Beans from soy,0
GGY,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",0
GGY,pigs,meat,backyard,By-products from cottonseed,0
GGY,pigs,meat,backyard,By-products from soy,0.1397
GGY,pigs,meat,backyard,Crop residue from leguminous plants cultivation,109.8573
GGY,pigs,meat,backyard,Crop residues from sugarcane,0
GGY,pigs,meat,backyard,Dry by-product from grain industries,127.4141
GGY,pigs,meat,backyard,FISHMEAL,0.1118
GGY,pigs,meat,backyard,Fruit from banana trees,0
GGY,pigs,meat,backyard,Grains from barley (Hordeum vulgare),127.4141
GGY,pigs,meat,backyard,Grains from maize (Zea mays),0.6706
GGY,pigs,meat,backyard,Grains from millet,0.5589
GGY,pigs,meat,backyard,Grains from rice,0.2794
GGY,pigs,meat,backyard,Grains from sorghum,0.4191
GGY,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,0
GGY,pigs,meat,backyard,Household food waste and other organic material used as feed,111.7702
GGY,pigs,meat,backyard,Leguminous beans,79.601
GGY,pigs,meat,backyard,Molasses,0.1397
GGY,pigs,meat,backyard,Oil palm kernel expeller,0
GGY,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.4191
GGY,pigs,meat,backyard,Residual plant material such as stems from banana,0
GGY,pigs,meat,backyard,SYNTHETIC,0.0559
GGY,pigs,meat,backyard,Wet by-product from grain industries,0
JEY,pigs,meat,backyard,Beans from soy,0.2235
JEY,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",0
JEY,pigs,meat,backyard,By-products from cottonseed,0
JEY,pigs,meat,backyard,By-products from soy,1.3971
JEY,pigs,meat,backyard,Crop residue from leguminous plants cultivation,109.2413
JEY,pigs,meat,backyard,Crop residues from sugarcane,0
JEY,pigs,meat,backyard,Dry by-product from grain industries,126.9295
JEY,pigs,meat,backyard,FISHMEAL,0.2794
JEY,pigs,meat,backyard,Fruit from banana trees,0
JEY,pigs,meat,backyard,Grains from barley (Hordeum vulgare),126.6501
JEY,pigs,meat,backyard,Grains from maize (Zea mays),1.3412
JEY,pigs,meat,backyard,Grains from millet,0
JEY,pigs,meat,backyard,Grains from rice,1.1177
JEY,pigs,meat,backyard,Grains from sorghum,0
JEY,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,0
JEY,pigs,meat,backyard,Household food waste and other organic material used as feed,111.7702
JEY,pigs,meat,backyard,Leguminous beans,78.9509
JEY,pigs,meat,backyard,Molasses,0
JEY,pigs,meat,backyard,Oil palm kernel expeller,0
JEY,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.8383
JEY,pigs,meat,backyard,Residual plant material such as stems from banana,0
JEY,pigs,meat,backyard,SYNTHETIC,0.1118
JEY,pigs,meat,backyard,Wet by-product from grain industries,0
DNK,pigs,meat,backyard,Beans from soy,0
DNK,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",0
DNK,pigs,meat,backyard,By-products from cottonseed,0
DNK,pigs,meat,backyard,By-products from soy,0.1397
DNK,pigs,meat,backyard,Crop residue from leguminous plants cultivation,66.2435
DNK,pigs,meat,backyard,Crop residues from sugarcane,0
DNK,pigs,meat,backyard,Dry by-product from grain industries,88.4442
DNK,pigs,meat,backyard,FISHMEAL,0.1118
DNK,pigs,meat,backyard,Fruit from banana trees,0
DNK,pigs,meat,backyard,Grains from barley (Hordeum vulgare),75.6133
DNK,pigs,meat,backyard,Grains from maize (Zea mays),69.5207
DNK,pigs,meat,backyard,Grains from millet,0.5589
DNK,pigs,meat,backyard,Grains from rice,0.2794
DNK,pigs,meat,backyard,Grains from sorghum,0.4191
DNK,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,98.4574
DNK,pigs,meat,backyard,Household food waste and other organic material used as feed,111.7702
DNK,pigs,meat,backyard,Leguminous beans,46.6781
DNK,pigs,meat,backyard,Molasses,0.1397
DNK,pigs,meat,backyard,Oil palm kernel expeller,0
DNK,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.4191
DNK,pigs,meat,backyard,Residual plant material such as stems from banana,0
DNK,pigs,meat,backyard,SYNTHETIC,0.0559
DNK,pigs,meat,backyard,Wet by-product from grain industries,0
EST,pigs,meat,backyard,Beans from soy,0.5695
EST,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",34.0782
EST,pigs,meat,backyard,By-products from cottonseed,0
EST,pigs,meat,backyard,By-products from soy,1.4238
EST,pigs,meat,backyard,Crop residue from leguminous plants cultivation,84.5791
EST,pigs,meat,backyard,Crop residues from sugarcane,0
EST,pigs,meat,backyard,Dry by-product from grain industries,77.7331
EST,pigs,meat,backyard,FISHMEAL,0.2278
EST,pigs,meat,backyard,Fruit from banana trees,0
EST,pigs,meat,backyard,Grains from barley (Hordeum vulgare),72.8229
EST,pigs,meat,backyard,Grains from maize (Zea mays),49.6546
EST,pigs,meat,backyard,Grains from millet,0
EST,pigs,meat,backyard,Grains from rice,0.2848
EST,pigs,meat,backyard,Grains from sorghum,0
EST,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,83.3864
EST,pigs,meat,backyard,Household food waste and other organic material used as feed,113.9061
EST,pigs,meat,backyard,Leguminous beans,50.4657
EST,pigs,meat,backyard,Molasses,0
EST,pigs,meat,backyard,Oil palm kernel expeller,0
EST,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.2848
EST,pigs,meat,backyard,Residual plant material such as stems from banana,0
EST,pigs,meat,backyard,SYNTHETIC,0.1139
EST,pigs,meat,backyard,Wet by-product from grain industries,0
FRO,pigs,meat,backyard,Beans from soy,0.2337
FRO,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",11.8444
FRO,pigs,meat,backyard,By-products from cottonseed,0
FRO,pigs,meat,backyard,By-products from soy,0.9272
FRO,pigs,meat,backyard,Crop residue from leguminous plants cultivation,84.7932
FRO,pigs,meat,backyard,Crop residues from sugarcane,0
FRO,pigs,meat,backyard,Dry by-product from grain industries,94.7748
FRO,pigs,meat,backyard,FISHMEAL,0.1931
FRO,pigs,meat,backyard,Fruit from banana trees,0
FRO,pigs,meat,backyard,Grains from barley (Hordeum vulgare),86.6536
FRO,pigs,meat,backyard,Grains from maize (Zea mays),40.5462
FRO,pigs,meat,backyard,Grains from millet,0.1524
FRO,pigs,meat,backyard,Grains from rice,0.5589
FRO,pigs,meat,backyard,Grains from sorghum,0.1143
FRO,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,78.1825
FRO,pigs,meat,backyard,Household food waste and other organic material used as feed,101.6093
FRO,pigs,meat,backyard,Leguminous beans,57.6478
FRO,pigs,meat,backyard,Molasses,0.0381
FRO,pigs,meat,backyard,Oil palm kernel expeller,0
FRO,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.4953
FRO,pigs,meat,backyard,Residual plant material such as stems from banana,0
FRO,pigs,meat,backyard,SYNTHETIC,0.0864
FRO,pigs,meat,backyard,Wet by-product from grain industries,0
FIN,pigs,meat,backyard,Beans from soy,0.5589
FIN,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",28.1557
FIN,pigs,meat,backyard,By-products from cottonseed,0
FIN,pigs,meat,backyard,By-products from soy,1.3971
FIN,pigs,meat,backyard,Crop residue from leguminous plants cultivation,88.812
FIN,pigs,meat,backyard,Crop residues from sugarcane,0
FIN,pigs,meat,backyard,Dry by-product from grain industries,88.4929
FIN,pigs,meat,backyard,FISHMEAL,0.2235
FIN,pigs,meat,backyard,Fruit from banana trees,0
FIN,pigs,meat,backyard,Grains from barley (Hordeum vulgare),86.4824
FIN,pigs,meat,backyard,Grains from maize (Zea mays),1.1177
FIN,pigs,meat,backyard,Grains from millet,0
FIN,pigs,meat,backyard,Grains from rice,0.2794
FIN,pigs,meat,backyard,Grains from sorghum,0
FIN,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,93.1233
FIN,pigs,meat,backyard,Household food waste and other organic material used as feed,111.7702
FIN,pigs,meat,backyard,Leguminous beans,58.0466
FIN,pigs,meat,backyard,Molasses,0
FIN,pigs,meat,backyard,Oil palm kernel expeller,0
FIN,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.2794
FIN,pigs,meat,backyard,Residual plant material such as stems from banana,0
FIN,pigs,meat,backyard,SYNTHETIC,0.1118
FIN,pigs,meat,backyard,Wet by-product from grain industries,0
ISL,pigs,meat,backyard,Beans from soy,0.2337
ISL,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",11.8444
ISL,pigs,meat,backyard,By-products from cottonseed,0
ISL,pigs,meat,backyard,By-products from soy,0.9272
ISL,pigs,meat,backyard,Crop residue from leguminous plants cultivation,84.7932
ISL,pigs,meat,backyard,Crop residues from sugarcane,0
ISL,pigs,meat,backyard,Dry by-product from grain industries,94.7748
ISL,pigs,meat,backyard,FISHMEAL,0.1931
ISL,pigs,meat,backyard,Fruit from banana trees,0
ISL,pigs,meat,backyard,Grains from barley (Hordeum vulgare),86.6536
ISL,pigs,meat,backyard,Grains from maize (Zea mays),40.5462
ISL,pigs,meat,backyard,Grains from millet,0.1524
ISL,pigs,meat,backyard,Grains from rice,0.5589
ISL,pigs,meat,backyard,Grains from sorghum,0.1143
ISL,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,78.1825
ISL,pigs,meat,backyard,Household food waste and other organic material used as feed,101.6093
ISL,pigs,meat,backyard,Leguminous beans,57.6478
ISL,pigs,meat,backyard,Molasses,0.0381
ISL,pigs,meat,backyard,Oil palm kernel expeller,0
ISL,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.4953
ISL,pigs,meat,backyard,Residual plant material such as stems from banana,0
ISL,pigs,meat,backyard,SYNTHETIC,0.0864
ISL,pigs,meat,backyard,Wet by-product from grain industries,0
IRL,pigs,meat,backyard,Beans from soy,0.2235
IRL,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",0
IRL,pigs,meat,backyard,By-products from cottonseed,0
IRL,pigs,meat,backyard,By-products from soy,1.3971
IRL,pigs,meat,backyard,Crop residue from leguminous plants cultivation,86.0577
IRL,pigs,meat,backyard,Crop residues from sugarcane,0
IRL,pigs,meat,backyard,Dry by-product from grain industries,94.0689
IRL,pigs,meat,backyard,FISHMEAL,0.2794
IRL,pigs,meat,backyard,Fruit from banana trees,0
IRL,pigs,meat,backyard,Grains from barley (Hordeum vulgare),86.3467
IRL,pigs,meat,backyard,Grains from maize (Zea mays),1.3412
IRL,pigs,meat,backyard,Grains from millet,0
IRL,pigs,meat,backyard,Grains from rice,1.1177
IRL,pigs,meat,backyard,Grains from sorghum,0
IRL,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,109.4724
IRL,pigs,meat,backyard,Household food waste and other organic material used as feed,111.7702
IRL,pigs,meat,backyard,Leguminous beans,65.826
IRL,pigs,meat,backyard,Molasses,0
IRL,pigs,meat,backyard,Oil palm kernel expeller,0
IRL,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.8383
IRL,pigs,meat,backyard,Residual plant material such as stems from banana,0
IRL,pigs,meat,backyard,SYNTHETIC,0.1118
IRL,pigs,meat,backyard,Wet by-product from grain industries,0
IMN,pigs,meat,backyard,Beans from soy,0.2337
IMN,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",11.8444
IMN,pigs,meat,backyard,By-products from cottonseed,0
IMN,pigs,meat,backyard,By-products from soy,0.9272
IMN,pigs,meat,backyard,Crop residue from leguminous plants cultivation,84.7932
IMN,pigs,meat,backyard,Crop residues from sugarcane,0
IMN,pigs,meat,backyard,Dry by-product from grain industries,94.7748
IMN,pigs,meat,backyard,FISHMEAL,0.1931
IMN,pigs,meat,backyard,Fruit from banana trees,0
IMN,pigs,meat,backyard,Grains from barley (Hordeum vulgare),86.6536
IMN,pigs,meat,backyard,Grains from maize (Zea mays),40.5462
IMN,pigs,meat,backyard,Grains from millet,0.1524
IMN,pigs,meat,backyard,Grains from rice,0.5589
IMN,pigs,meat,backyard,Grains from sorghum,0.1143
IMN,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,78.1825
IMN,pigs,meat,backyard,Household food waste and other organic material used as feed,101.6093
IMN,pigs,meat,backyard,Leguminous beans,57.6478
IMN,pigs,meat,backyard,Molasses,0.0381
IMN,pigs,meat,backyard,Oil palm kernel expeller,0
IMN,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.4953
IMN,pigs,meat,backyard,Residual plant material such as stems from banana,0
IMN,pigs,meat,backyard,SYNTHETIC,0.0864
IMN,pigs,meat,backyard,Wet by-product from grain industries,0
LVA,pigs,meat,backyard,Beans from soy,0
LVA,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",30.3329
LVA,pigs,meat,backyard,By-products from cottonseed,0
LVA,pigs,meat,backyard,By-products from soy,0.1397
LVA,pigs,meat,backyard,Crop residue from leguminous plants cultivation,75.6553
LVA,pigs,meat,backyard,Crop residues from sugarcane,0
LVA,pigs,meat,backyard,Dry by-product from grain industries,72.9012
LVA,pigs,meat,backyard,FISHMEAL,0.1118
LVA,pigs,meat,backyard,Fruit from banana trees,0
LVA,pigs,meat,backyard,Grains from barley (Hordeum vulgare),58.5638
LVA,pigs,meat,backyard,Grains from maize (Zea mays),81.9943
LVA,pigs,meat,backyard,Grains from millet,0.5589
LVA,pigs,meat,backyard,Grains from rice,0.2794
LVA,pigs,meat,backyard,Grains from sorghum,0.4191
LVA,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,78.2134
LVA,pigs,meat,backyard,Household food waste and other organic material used as feed,111.7702
LVA,pigs,meat,backyard,Leguminous beans,47.2962
LVA,pigs,meat,backyard,Molasses,0.1397
LVA,pigs,meat,backyard,Oil palm kernel expeller,0
LVA,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.4191
LVA,pigs,meat,backyard,Residual plant material such as stems from banana,0
LVA,pigs,meat,backyard,SYNTHETIC,0.0559
LVA,pigs,meat,backyard,Wet by-product from grain industries,0
LTU,pigs,meat,backyard,Beans from soy,0
LTU,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",35.7816
LTU,pigs,meat,backyard,By-products from cottonseed,0
LTU,pigs,meat,backyard,By-products from soy,0
LTU,pigs,meat,backyard,Crop residue from leguminous plants cultivation,71.5407
LTU,pigs,meat,backyard,Crop residues from sugarcane,0
LTU,pigs,meat,backyard,Dry by-product from grain industries,79.0045
LTU,pigs,meat,backyard,FISHMEAL,0
LTU,pigs,meat,backyard,Fruit from banana trees,0
LTU,pigs,meat,backyard,Grains from barley (Hordeum vulgare),66.1508
LTU,pigs,meat,backyard,Grains from maize (Zea mays),140.8052
LTU,pigs,meat,backyard,Grains from millet,0
LTU,pigs,meat,backyard,Grains from rice,0
LTU,pigs,meat,backyard,Grains from sorghum,0
LTU,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,84.3756
LTU,pigs,meat,backyard,Household food waste and other organic material used as feed,0
LTU,pigs,meat,backyard,Leguminous beans,43.6234
LTU,pigs,meat,backyard,Molasses,0
LTU,pigs,meat,backyard,Oil palm kernel expeller,0
LTU,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0
LTU,pigs,meat,backyard,Residual plant material such as stems from banana,0
LTU,pigs,meat,backyard,SYNTHETIC,0
LTU,pigs,meat,backyard,Wet by-product from grain industries,0
NOR,pigs,meat,backyard,Beans from soy,0.2235
NOR,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",0
NOR,pigs,meat,backyard,By-products from cottonseed,0
NOR,pigs,meat,backyard,By-products from soy,1.3971
NOR,pigs,meat,backyard,Crop residue from leguminous plants cultivation,95.0666
NOR,pigs,meat,backyard,Crop residues from sugarcane,0
NOR,pigs,meat,backyard,Dry by-product from grain industries,93.9687
NOR,pigs,meat,backyard,FISHMEAL,0.2794
NOR,pigs,meat,backyard,Fruit from banana trees,0
NOR,pigs,meat,backyard,Grains from barley (Hordeum vulgare),90.2047
NOR,pigs,meat,backyard,Grains from maize (Zea mays),1.3412
NOR,pigs,meat,backyard,Grains from millet,0
NOR,pigs,meat,backyard,Grains from rice,1.1177
NOR,pigs,meat,backyard,Grains from sorghum,0
NOR,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,100.2738
NOR,pigs,meat,backyard,Household food waste and other organic material used as feed,111.7702
NOR,pigs,meat,backyard,Leguminous beans,62.2578
NOR,pigs,meat,backyard,Molasses,0
NOR,pigs,meat,backyard,Oil palm kernel expeller,0
NOR,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.8383
NOR,pigs,meat,backyard,Residual plant material such as stems from banana,0
NOR,pigs,meat,backyard,SYNTHETIC,0.1118
NOR,pigs,meat,backyard,Wet by-product from grain industries,0
SJM,pigs,meat,backyard,Beans from soy,0.2337
SJM,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",11.8444
SJM,pigs,meat,backyard,By-products from cottonseed,0
SJM,pigs,meat,backyard,By-products from soy,0.9272
SJM,pigs,meat,backyard,Crop residue from leguminous plants cultivation,84.7932
SJM,pigs,meat,backyard,Crop residues from sugarcane,0
SJM,pigs,meat,backyard,Dry by-product from grain industries,94.7748
SJM,pigs,meat,backyard,FISHMEAL,0.1931
SJM,pigs,meat,backyard,Fruit from banana trees,0
SJM,pigs,meat,backyard,Grains from barley (Hordeum vulgare),86.6536
SJM,pigs,meat,backyard,Grains from maize (Zea mays),40.5462
SJM,pigs,meat,backyard,Grains from millet,0.1524
SJM,pigs,meat,backyard,Grains from rice,0.5589
SJM,pigs,meat,backyard,Grains from sorghum,0.1143
SJM,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,78.1825
SJM,pigs,meat,backyard,Household food waste and other organic material used as feed,101.6093
SJM,pigs,meat,backyard,Leguminous beans,57.6478
SJM,pigs,meat,backyard,Molasses,0.0381
SJM,pigs,meat,backyard,Oil palm kernel expeller,0
SJM,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.4953
SJM,pigs,meat,backyard,Residual plant material such as stems from banana,0
SJM,pigs,meat,backyard,SYNTHETIC,0.0864
SJM,pigs,meat,backyard,Wet by-product from grain industries,0
SWE,pigs,meat,backyard,Beans from soy,0.2235
SWE,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",0
SWE,pigs,meat,backyard,By-products from cottonseed,0
SWE,pigs,meat,backyard,By-products from soy,1.3971
SWE,pigs,meat,backyard,Crop residue from leguminous plants cultivation,65.6331
SWE,pigs,meat,backyard,Crop residues from sugarcane,0
SWE,pigs,meat,backyard,Dry by-product from grain industries,82.754
SWE,pigs,meat,backyard,FISHMEAL,0.2794
SWE,pigs,meat,backyard,Fruit from banana trees,0
SWE,pigs,meat,backyard,Grains from barley (Hordeum vulgare),71.2323
SWE,pigs,meat,backyard,Grains from maize (Zea mays),87.8865
SWE,pigs,meat,backyard,Grains from millet,0
SWE,pigs,meat,backyard,Grains from rice,1.1177
SWE,pigs,meat,backyard,Grains from sorghum,0
SWE,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,91.5789
SWE,pigs,meat,backyard,Household food waste and other organic material used as feed,111.7702
SWE,pigs,meat,backyard,Leguminous beans,44.0281
SWE,pigs,meat,backyard,Molasses,0
SWE,pigs,meat,backyard,Oil palm kernel expeller,0
SWE,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.8383
SWE,pigs,meat,backyard,Residual plant material such as stems from banana,0
SWE,pigs,meat,backyard,SYNTHETIC,0.1118
SWE,pigs,meat,backyard,Wet by-product from grain industries,0
GBR,pigs,meat,backyard,Beans from soy,0.5589
GBR,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",0
GBR,pigs,meat,backyard,By-products from cottonseed,0
GBR,pigs,meat,backyard,By-products from soy,1.3971
GBR,pigs,meat,backyard,Crop residue from leguminous plants cultivation,76.4685
GBR,pigs,meat,backyard,Crop residues from sugarcane,0
GBR,pigs,meat,backyard,Dry by-product from grain industries,106.5753
GBR,pigs,meat,backyard,FISHMEAL,0.2235
GBR,pigs,meat,backyard,Fruit from banana trees,0
GBR,pigs,meat,backyard,Grains from barley (Hordeum vulgare),88.306
GBR,pigs,meat,backyard,Grains from maize (Zea mays),1.1177
GBR,pigs,meat,backyard,Grains from millet,0
GBR,pigs,meat,backyard,Grains from rice,0.2794
GBR,pigs,meat,backyard,Grains from sorghum,0
GBR,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,116.6085
GBR,pigs,meat,backyard,Household food waste and other organic material used as feed,111.7702
GBR,pigs,meat,backyard,Leguminous beans,55.1546
GBR,pigs,meat,backyard,Molasses,0
GBR,pigs,meat,backyard,Oil palm kernel expeller,0
GBR,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.2794
GBR,pigs,meat,backyard,Residual plant material such as stems from banana,0
GBR,pigs,meat,backyard,SYNTHETIC,0.1118
GBR,pigs,meat,backyard,Wet by-product from grain industries,0
ALB,pigs,meat,backyard,Beans from soy,31.1613
ALB,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",26.5023
ALB,pigs,meat,backyard,By-products from cottonseed,17.7396
ALB,pigs,meat,backyard,By-products from soy,33.2714
ALB,pigs,meat,backyard,Crop residue from leguminous plants cultivation,34.3053
ALB,pigs,meat,backyard,Crop residues from sugarcane,0
ALB,pigs,meat,backyard,Dry by-product from grain industries,58.6862
ALB,pigs,meat,backyard,FISHMEAL,0
ALB,pigs,meat,backyard,Fruit from banana trees,0
ALB,pigs,meat,backyard,Grains from barley (Hordeum vulgare),36.8906
ALB,pigs,meat,backyard,Grains from maize (Zea mays),73.8981
ALB,pigs,meat,backyard,Grains from millet,0
ALB,pigs,meat,backyard,Grains from rice,91.1688
ALB,pigs,meat,backyard,Grains from sorghum,0
ALB,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,49.6574
ALB,pigs,meat,backyard,Household food waste and other organic material used as feed,52.7509
ALB,pigs,meat,backyard,Leguminous beans,20.7387
ALB,pigs,meat,backyard,Molasses,0.5275
ALB,pigs,meat,backyard,Oil palm kernel expeller,0
ALB,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0
ALB,pigs,meat,backyard,Residual plant material such as stems from banana,0
ALB,pigs,meat,backyard,SYNTHETIC,0.211
ALB,pigs,meat,backyard,Wet by-product from grain industries,0
AND,pigs,meat,backyard,Beans from soy,30.7269
AND,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",24.2803
AND,pigs,meat,backyard,By-products from cottonseed,0
AND,pigs,meat,backyard,By-products from soy,30.8611
AND,pigs,meat,backyard,Crop residue from leguminous plants cultivation,39.8006
AND,pigs,meat,backyard,Crop residues from sugarcane,0
AND,pigs,meat,backyard,Dry by-product from grain industries,51.7849
AND,pigs,meat,backyard,FISHMEAL,0.1073
AND,pigs,meat,backyard,Fruit from banana trees,0
AND,pigs,meat,backyard,Grains from barley (Hordeum vulgare),35.2846
AND,pigs,meat,backyard,Grains from maize (Zea mays),71.6289
AND,pigs,meat,backyard,Grains from millet,0.5367
AND,pigs,meat,backyard,Grains from rice,29.7008
AND,pigs,meat,backyard,Grains from sorghum,31.8981
AND,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,53.8119
AND,pigs,meat,backyard,Household food waste and other organic material used as feed,107.3446
AND,pigs,meat,backyard,Leguminous beans,28.3657
AND,pigs,meat,backyard,Molasses,0.1342
AND,pigs,meat,backyard,Oil palm kernel expeller,0
AND,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.4025
AND,pigs,meat,backyard,Residual plant material such as stems from banana,0
AND,pigs,meat,backyard,SYNTHETIC,0.0537
AND,pigs,meat,backyard,Wet by-product from grain industries,0
BIH,pigs,meat,backyard,Beans from soy,38.9031
BIH,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",40.9857
BIH,pigs,meat,backyard,By-products from cottonseed,0
BIH,pigs,meat,backyard,By-products from soy,39.0373
BIH,pigs,meat,backyard,Crop residue from leguminous plants cultivation,44.0937
BIH,pigs,meat,backyard,Crop residues from sugarcane,0
BIH,pigs,meat,backyard,Dry by-product from grain industries,64.6673
BIH,pigs,meat,backyard,FISHMEAL,0.1073
BIH,pigs,meat,backyard,Fruit from banana trees,0
BIH,pigs,meat,backyard,Grains from barley (Hordeum vulgare),47.9833
BIH,pigs,meat,backyard,Grains from maize (Zea mays),70.7637
BIH,pigs,meat,backyard,Grains from millet,0.5367
BIH,pigs,meat,backyard,Grains from rice,0.2684
BIH,pigs,meat,backyard,Grains from sorghum,0.4025
BIH,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,54.682
BIH,pigs,meat,backyard,Household food waste and other organic material used as feed,107.3446
BIH,pigs,meat,backyard,Leguminous beans,26.3567
BIH,pigs,meat,backyard,Molasses,0.1342
BIH,pigs,meat,backyard,Oil palm kernel expeller,0
BIH,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.4025
BIH,pigs,meat,backyard,Residual plant material such as stems from banana,0
BIH,pigs,meat,backyard,SYNTHETIC,0.0537
BIH,pigs,meat,backyard,Wet by-product from grain industries,0
HRV,pigs,meat,backyard,Beans from soy,34.2752
HRV,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",35.0992
HRV,pigs,meat,backyard,By-products from cottonseed,0
HRV,pigs,meat,backyard,By-products from soy,35.0776
HRV,pigs,meat,backyard,Crop residue from leguminous plants cultivation,39.3012
HRV,pigs,meat,backyard,Crop residues from sugarcane,0
HRV,pigs,meat,backyard,Dry by-product from grain industries,70.4051
HRV,pigs,meat,backyard,FISHMEAL,0.214
HRV,pigs,meat,backyard,Fruit from banana trees,0
HRV,pigs,meat,backyard,Grains from barley (Hordeum vulgare),47.9605
HRV,pigs,meat,backyard,Grains from maize (Zea mays),80.8715
HRV,pigs,meat,backyard,Grains from millet,0
HRV,pigs,meat,backyard,Grains from rice,0.2675
HRV,pigs,meat,backyard,Grains from sorghum,0
HRV,pigs,meat,backyard,Grains from wheat (Triticum aestivum).,59.9314
HRV,pigs,meat,backyard,Household food waste and other organic material used as feed,106.9924
HRV,pigs,meat,backyard,Leguminous beans,24.1919
HRV,pigs,meat,backyard,Molasses,0
HRV,pigs,meat,backyard,Oil palm kernel expeller,0
HRV,pigs,meat,backyard,Pellets from cassava (Manihot esculenta) roots,0.2675
HRV,pigs,meat,backyard,Residual plant material such as stems from banana,0
HRV,pigs,meat,backyard,SYNTHETIC,0.107
HRV,pigs,meat,backyard,Wet by-product from grain industries,0
GIB,pigs,meat,backyard,Beans from soy,25.1903
GIB,pigs,meat,backyard,"By-product from oil production other than soy, cottonse",22.4203
GIB,pigs,meat,backyard,By-products from cottonseed,8.8525
GIB,pigs,meat,backyard,By-products from soy,26.0529
