species,isscaap,isscaap_num,global_catch,common_name,Genus,Subfamily,Family,Order,Class,SuperClass
Chelidonichthys kumu,Jacks mullets sauries,34,5703.62145,NA,Chelidonichthys,Triglinae,Triglidae,Scorpaeniformes,Actinopterygii,Osteichthyes
Chelidonichthys lucerna,Jacks mullets sauries,34,4362.85886,NA,Chelidonichthys,Triglinae,Triglidae,Scorpaeniformes,Actinopterygii,Osteichthyes
Chelon haematocheilus,Redfishes basses congers,33,140648.43522,NA,NA,NA,NA,NA,NA,NA
Chelon labrosus,Redfishes basses congers,33,300.88091000000003,NA,Chelon,NA,Mugilidae,Mugiliformes,Actinopterygii,Osteichthyes
Chimaera monstrosa,Sharks rays skates etc,38,103.31338,NA,Chimaera,NA,Chimaeridae,Chimaeriformes,Holocephali,Chondrichthyes
Chimaeriformes,Sharks rays skates etc,38,2003.26678,NA,NA,NA,NA,NA,NA,NA
Chione stutchburyi,Clams cockles arkshells,56,1310.82161,NA,NA,NA,NA,NA,NA,NA
Chionobathyscus dewitti,Jacks mullets sauries,34,0.36691999999999997,NA,Chionobathyscus,NA,Channichthyidae,Perciformes,Actinopterygii,Osteichthyes
Chionodraco hamatus,Jacks mullets sauries,34,0.054540000000000005,NA,Chionodraco,NA,Channichthyidae,Perciformes,Actinopterygii,Osteichthyes
Chionodraco myersi,Jacks mullets sauries,34,0,NA,Chionodraco,NA,Channichthyidae,Perciformes,Actinopterygii,Osteichthyes
Chionodraco rastrospinosus,Jacks mullets sauries,34,1.17251,NA,Chionodraco,NA,Channichthyidae,Perciformes,Actinopterygii,Osteichthyes
Chionoecetes,Sea-spiders crabs,42,112731.35482,NA,NA,NA,NA,NA,NA,NA
Chionoecetes opilio,Sea-spiders crabs,42,47843.59982,NA,NA,NA,NA,NA,NA,NA
Chirocentrus,Herrings sardines anchovies,35,108656.99967,NA,NA,NA,NA,NA,NA,NA
Chirocentrus dorab,Herrings sardines anchovies,35,21534.35892,NA,Chirocentrus,NA,Chirocentridae,Clupeiformes,Actinopterygii,Osteichthyes
Chirocentrus nudus,Herrings sardines anchovies,35,20814.13558,NA,Chirocentrus,NA,Chirocentridae,Clupeiformes,Actinopterygii,Osteichthyes
Chlamys delicatula,Scallops pectens,55,29.44,NA,NA,NA,NA,NA,NA,NA
Chlamys islandica,Scallops pectens,55,877.20829,NA,NA,NA,NA,NA,NA,NA
Chlamys varia,Scallops pectens,55,856.77567,NA,NA,NA,NA,NA,NA,NA
Chlorophthalmidae,Jacks mullets sauries,34,675.52238,NA,NA,NA,NA,NA,NA,NA
Chloroscombrus chrysurus,Mackerels snoeks cutlassfishes,37,84700.65118,NA,Chloroscombrus,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Chloroscombrus orqueta,Mackerels snoeks cutlassfishes,37,3852.73395,NA,Chloroscombrus,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Choromytilus chorus,Mussels,54,12814.23827,NA,NA,NA,NA,NA,NA,NA
Chromis chromis,Misc Finfishes,39,0.60638,NA,Chromis,Pomacentrinae,Pomacentridae,Perciformes,Actinopterygii,Osteichthyes
Chrysoblephus,Redfishes basses congers,33,518.3889,NA,NA,NA,NA,NA,NA,NA
Cilus gilberti,Redfishes basses congers,33,1734.1833100000001,NA,Cilus,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Citharichthys sordidus,Flounders halibuts soles,31,59.8174,NA,Citharichthys,NA,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Citharus linguatula,Flounders halibuts soles,31,104.58191,NA,Citharus,Citharinae,Citharidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Clams cockles arkshells,Clams cockles arkshells,56,90961.86298,NA,NA,NA,NA,NA,NA,NA
Clinocardium nuttallii,Clams cockles arkshells,56,256.28632,NA,NA,NA,NA,NA,NA,NA
Clupanodon thrissa,Herrings sardines anchovies,35,15900.82015,NA,Clupanodon,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Clupea harengus,Herrings sardines anchovies,35,3227740.93849,NA,Clupea,Clupeinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Clupea pallasii pallasii,Herrings sardines anchovies,35,600510.51524,NA,Clupea,Clupeinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Clupeidae,Herrings sardines anchovies,35,185127.74919,NA,NA,NA,NA,NA,NA,NA
Clupeiformes,Herrings sardines anchovies,35,809705.1996,NA,NA,NA,NA,NA,NA,NA
Clupeoids,Herrings sardines anchovies,35,1926.43111,NA,NA,NA,NA,NA,NA,NA
Clupeonella cultriventris,Herrings sardines anchovies,35,22455.91993,NA,Clupeonella,Ehiravinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Cololabis saira,Jacks mullets sauries,34,271407.69761,NA,Cololabis,NA,Scomberesocidae,Beloniformes,Actinopterygii,Osteichthyes
Concholepas concholepas,Abalones winkles conchs,52,5017.03532,NA,NA,NA,NA,NA,NA,NA
Conger conger,Jacks mullets sauries,34,13809.91427,NA,Conger,Congrinae,Congridae,Anguilliformes,Actinopterygii,Osteichthyes
Conger myriaster,Jacks mullets sauries,34,11438.2664,NA,Conger,Congrinae,Congridae,Anguilliformes,Actinopterygii,Osteichthyes
Conger oceanicus,Jacks mullets sauries,34,29.72551,NA,Conger,Congrinae,Congridae,Anguilliformes,Actinopterygii,Osteichthyes
Conger orbignianus,Jacks mullets sauries,34,129.60301,NA,Conger,Congrinae,Congridae,Anguilliformes,Actinopterygii,Osteichthyes
Conodon nobilis,Redfishes basses congers,33,611.55742,NA,Conodon,Haemulinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes
Coregonus,Salmons trouts smelts,23,255.95812,NA,NA,NA,NA,NA,NA,NA
Coregonus albula,Salmons trouts smelts,23,1770.30467,NA,Coregonus,Coregoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Coregonus lavaretus,Salmons trouts smelts,23,2144.3197,NA,Coregonus,Coregoninae,Salmonidae,Salmoniformes,Actinopterygii,Osteichthyes
Coryphaena,Misc Finfishes,39,13.85742,NA,NA,NA,NA,NA,NA,NA
Coryphaena hippurus,Misc Finfishes,39,90739.71698,NA,Coryphaena,NA,Coryphaenidae,Perciformes,Actinopterygii,Osteichthyes
Coryphaenoides rupestris,Cods hakes haddocks,32,15961.54688,NA,Coryphaenoides,Macrourinae,Macrouridae,Gadiformes,Actinopterygii,Osteichthyes
Cottidae,Misc Finfishes,39,0.19979,NA,NA,NA,NA,NA,NA,NA
Crangon,Shrimps prawns,45,929.14654,NA,NA,NA,NA,NA,NA,NA
Crangon crangon,Shrimps prawns,45,42396.10564,NA,NA,NA,NA,NA,NA,NA
Crassostrea,Oysters,53,28596.39769,NA,NA,NA,NA,NA,NA,NA
Crassostrea gigas,Oysters,53,70303.88865,NA,NA,NA,NA,NA,NA,NA
Crassostrea iredalei,Oysters,53,882.77506,NA,NA,NA,NA,NA,NA,NA
Crassostrea rhizophorae,Oysters,53,28.258599999999998,NA,NA,NA,NA,NA,NA,NA
Crassostrea virginica,Oysters,53,1232077.41153,NA,NA,NA,NA,NA,NA,NA
Crenidens crenidens,Redfishes basses congers,33,74.704,NA,Crenidens,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Cromileptes altivelis,Redfishes basses congers,33,15483.61709,NA,Cromileptes,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Crustacea,Marine crustaceans nei,47,0,NA,NA,NA,NA,NA,NA,NA
Cryodraco antarcticus,Jacks mullets sauries,34,0.34736,NA,Cryodraco,NA,Channichthyidae,Perciformes,Actinopterygii,Osteichthyes
Ctenolabrus rupestris,Redfishes basses congers,33,6.06355,NA,Ctenolabrus,NA,Labridae,Perciformes,Actinopterygii,Osteichthyes
Cyclopterus lumpus,Misc Finfishes,39,4740.09341,NA,Cyclopterus,NA,Cyclopteridae,Scorpaeniformes,Actinopterygii,Osteichthyes
Cymbium,Abalones winkles conchs,52,44459.63976,NA,NA,NA,NA,NA,NA,NA
Cynoglossidae,Flounders halibuts soles,31,37838.98521,NA,NA,NA,NA,NA,NA,NA
Cynoscion,Redfishes basses congers,33,77328.44132,NA,NA,NA,NA,NA,NA,NA
Cynoscion analis,Redfishes basses congers,33,7319.57172,NA,Cynoscion,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Cynoscion nebulosus,Redfishes basses congers,33,1712.12692,NA,Cynoscion,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Cynoscion regalis,Redfishes basses congers,33,50.17367,NA,Cynoscion,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Cynoscion striatus,Redfishes basses congers,33,4620.40118,NA,Cynoscion,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Cyttus traversi,Jacks mullets sauries,34,541.7003599999999,NA,Cyttus,NA,Cyttidae,Zeiformes,Actinopterygii,Osteichthyes
Dalatias licha,Sharks rays skates etc,38,1362.35608,NA,Dalatias,NA,Dalatiidae,Squaliformes,Elasmobranchii,Chondrichthyes
Dasyatidae,Sharks rays skates etc,38,35142.822869999996,NA,NA,NA,NA,NA,NA,NA
Dasyatis,Sharks rays skates etc,38,6720.21256,NA,NA,NA,NA,NA,NA,NA
Dasyatis centroura,Sharks rays skates etc,38,0.21223,NA,NA,NA,NA,NA,NA,NA
Dasyatis pastinaca,Sharks rays skates etc,38,13.688320000000001,NA,Dasyatis,Dasyatinae,Dasyatidae,Myliobatiformes,Elasmobranchii,Chondrichthyes
Deania calcea,Sharks rays skates etc,38,446.81005,NA,Deania,NA,Centrophoridae,Squaliformes,Elasmobranchii,Chondrichthyes
Decapterus,Mackerels snoeks cutlassfishes,37,1457015.79359,NA,NA,NA,NA,NA,NA,NA
Decapterus macrosoma,Mackerels snoeks cutlassfishes,37,50438.11117,NA,Decapterus,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Decapterus maruadsi,Mackerels snoeks cutlassfishes,37,38434.12356,NA,Decapterus,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Decapterus russelli,Mackerels snoeks cutlassfishes,37,180914.34232,NA,Decapterus,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Dentex,Redfishes basses congers,33,80835.6563,NA,NA,NA,NA,NA,NA,NA
Dentex angolensis,Redfishes basses congers,33,8766.45562,Angola dentex,Dentex,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Dentex angolensis,Redfishes basses congers,33,8766.45562,Angolan dentex,Dentex,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Dentex congoensis,Redfishes basses congers,33,2964.87051,Congo dentex,Dentex,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Dentex dentex,Redfishes basses congers,33,1970.00484,Common dentex,Dentex,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Dentex dentex,Redfishes basses congers,33,1970.00484,Dentex,Dentex,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Dentex macrophthalmus,Redfishes basses congers,33,2224.92236,Large eyed dentex,Dentex,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Dentex macrophthalmus,Redfishes basses congers,33,2224.92236,Largeeye dentex,Dentex,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Dentex macrophthalmus,Redfishes basses congers,33,2224.92236,Large-eye dentex,Dentex,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Dentex macrophthalmus,Redfishes basses congers,33,2224.92236,Large-eyed dentex,Dentex,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Dentex maroccanus,Redfishes basses congers,33,0.20209,Morocco dentex,Dentex,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Diagramma pictum,Redfishes basses congers,33,32.5143,NA,Diagramma,Plectorhinchinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes
Diastobranchus capensis,Misc Finfishes,39,11.03462,NA,Diastobranchus,Synaphobranchinae,Synaphobranchidae,Anguilliformes,Actinopterygii,Osteichthyes
Dicentrarchus,Redfishes basses congers,33,2063.59096,NA,NA,NA,NA,NA,NA,NA
Dicentrarchus labrax,Redfishes basses congers,33,9005.74065,White salmon,Dicentrarchus,NA,Moronidae,Perciformes,Actinopterygii,Osteichthyes
Dicentrarchus punctatus,Redfishes basses congers,33,1840.1837600000001,NA,Dicentrarchus,NA,Moronidae,Perciformes,Actinopterygii,Osteichthyes
Dicologlossa cuneata,Flounders halibuts soles,31,1003.78888,NA,Dicologlossa,NA,Soleidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Diplodus,Redfishes basses congers,33,5734.934,NA,NA,NA,NA,NA,NA,NA
Diplodus annularis,Redfishes basses congers,33,1392.81821,NA,Diplodus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Diplodus argenteus argenteus,Redfishes basses congers,33,34.77156,NA,NA,NA,NA,NA,NA,NA
Diplodus cervinus cervinus,Redfishes basses congers,33,6.87205,NA,NA,NA,NA,NA,NA,NA
Diplodus puntazzo,Redfishes basses congers,33,131.66456,NA,Diplodus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Diplodus sargus sargus,Redfishes basses congers,33,4943.2132,NA,NA,NA,NA,NA,NA,NA
Diplodus vulgaris,Redfishes basses congers,33,914.74273,NA,Diplodus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Dipturus batis,Sharks rays skates etc,38,315.40779,NA,Dipturus,Rajinae,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Dipturus oxyrinchus,Sharks rays skates etc,38,57.81781,NA,Dipturus,Rajinae,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Dissostichus,Redfishes basses congers,33,305.40764,NA,NA,NA,NA,NA,NA,NA
Dissostichus eleginoides,Redfishes basses congers,33,24573.34155,NA,Dissostichus,NA,Nototheniidae,Perciformes,Actinopterygii,Osteichthyes
Dissostichus mawsoni,Redfishes basses congers,33,3043.30714,NA,Dissostichus,NA,Nototheniidae,Perciformes,Actinopterygii,Osteichthyes
Donax,Clams cockles arkshells,56,1786.72039,NA,NA,NA,NA,NA,NA,NA
Dorosoma cepedianum,Shads,24,1144.26721,NA,Dorosoma,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Dosidicus gigas,Squids cuttlefishes octopuses,57,1366708.87272,NA,NA,NA,NA,NA,NA,NA
Dussumieria acuta,Herrings sardines anchovies,35,37447.25434,Sardinella,Dussumieria,NA,Dussumieriidae,Clupeiformes,Actinopterygii,Osteichthyes
Dussumieria elopsoides,Herrings sardines anchovies,35,18.25708,NA,Dussumieria,NA,Dussumieriidae,Clupeiformes,Actinopterygii,Osteichthyes
Echeneidae,Mackerels snoeks cutlassfishes,37,17.36337,NA,NA,NA,NA,NA,NA,NA
Echinoidea,Seacucumbers Echinoderms starfish nei,76,47068.72747,NA,NA,NA,NA,NA,NA,NA
Echinorhinus brucus,Sharks rays skates etc,38,0.31327,NA,Echinorhinus,NA,Echinorhinidae,Squaliformes,Elasmobranchii,Chondrichthyes
Echinus esculentus,Seacucumbers Echinoderms starfish nei,76,0.03493,NA,NA,NA,NA,NA,NA,NA
Elagatis bipinnulata,Mackerels snoeks cutlassfishes,37,23043.29192,Hawaiian salmon,Elagatis,Naucratinae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Elagatis bipinnulata,Mackerels snoeks cutlassfishes,37,23043.29192,Ocean salmon,Elagatis,Naucratinae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Elagatis bipinnulata,Mackerels snoeks cutlassfishes,37,23043.29192,Salmon,Elagatis,Naucratinae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Elagatis bipinnulata,Mackerels snoeks cutlassfishes,37,23043.29192,Salmon runner,Elagatis,Naucratinae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Elasmobranchii,Sharks rays skates etc,38,537.12759,NA,NA,NA,NA,NA,NA,NA
Electrona carlsbergi,Jacks mullets sauries,34,0.06583,NA,Electrona,Myctophinae,Myctophidae,Myctophiformes,Actinopterygii,Osteichthyes
Eledone,Squids cuttlefishes octopuses,57,6263.06722,NA,NA,NA,NA,NA,NA,NA
Eledone cirrhosa,Squids cuttlefishes octopuses,57,3050.52167,NA,NA,NA,NA,NA,NA,NA
Eleginops maclovinus,Redfishes basses congers,33,287.21748,NA,Eleginops,NA,Eleginopsidae,Perciformes,Actinopterygii,Osteichthyes
Eleginus gracilis,Cods hakes haddocks,32,53023.55202,NA,Eleginus,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Eleginus nawaga,Cods hakes haddocks,32,483.67052,NA,Eleginus,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Eleutheronema tetradactylum,Redfishes basses congers,33,45445.74475,Blue salmon,Eleutheronema,NA,Polynemidae,Perciformes,Actinopterygii,Osteichthyes
Eleutheronema tetradactylum,Redfishes basses congers,33,45445.74475,Bluenose salmon,Eleutheronema,NA,Polynemidae,Perciformes,Actinopterygii,Osteichthyes
Eleutheronema tetradactylum,Redfishes basses congers,33,45445.74475,Blunt-nosed salmon,Eleutheronema,NA,Polynemidae,Perciformes,Actinopterygii,Osteichthyes
Eleutheronema tetradactylum,Redfishes basses congers,33,45445.74475,Burnett salmon,Eleutheronema,NA,Polynemidae,Perciformes,Actinopterygii,Osteichthyes
Eleutheronema tetradactylum,Redfishes basses congers,33,45445.74475,Colonial salmon,Eleutheronema,NA,Polynemidae,Perciformes,Actinopterygii,Osteichthyes
Eleutheronema tetradactylum,Redfishes basses congers,33,45445.74475,Cooktown salmon,Eleutheronema,NA,Polynemidae,Perciformes,Actinopterygii,Osteichthyes
Eleutheronema tetradactylum,Redfishes basses congers,33,45445.74475,Indian salmon,Eleutheronema,NA,Polynemidae,Perciformes,Actinopterygii,Osteichthyes
Eleutheronema tetradactylum,Redfishes basses congers,33,45445.74475,Rockhampton salmon,Eleutheronema,NA,Polynemidae,Perciformes,Actinopterygii,Osteichthyes
Eleutheronema tetradactylum,Redfishes basses congers,33,45445.74475,White salmon,Eleutheronema,NA,Polynemidae,Perciformes,Actinopterygii,Osteichthyes
Elops lacerta,Herrings sardines anchovies,35,5454.81012,NA,Elops,NA,Elopidae,Elopiformes,Actinopterygii,Osteichthyes
Elops saurus,Herrings sardines anchovies,35,1494.85364,NA,Elops,NA,Elopidae,Elopiformes,Actinopterygii,Osteichthyes
Emmelichthys nitidus nitidus,Jacks mullets sauries,34,1533.81448,NA,Emmelichthys,NA,Emmelichthyidae,Perciformes,Actinopterygii,Osteichthyes
Engraulidae,Herrings sardines anchovies,35,307324.50935,NA,NA,NA,NA,NA,NA,NA
Engraulis anchoita,Herrings sardines anchovies,35,12527.50045,NA,Engraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopterygii,Osteichthyes
Engraulis capensis,Herrings sardines anchovies,35,290264.35979,NA,Engraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopterygii,Osteichthyes
Engraulis encrasicolus,Herrings sardines anchovies,35,588824.713,NA,Engraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopterygii,Osteichthyes
Engraulis japonicus,Herrings sardines anchovies,35,1224622.14676,NA,Engraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopterygii,Osteichthyes
Engraulis mordax,Herrings sardines anchovies,35,48186.85822,NA,Engraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopterygii,Osteichthyes
Engraulis ringens,Herrings sardines anchovies,35,4693537.66236,NA,Engraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopterygii,Osteichthyes
Ensis directus,Clams cockles arkshells,56,379.93771,NA,NA,NA,NA,NA,NA,NA
Ensis ensis,Clams cockles arkshells,56,497.4481,NA,NA,NA,NA,NA,NA,NA
Eopsetta jordani,Flounders halibuts soles,31,3001.18312,NA,Eopsetta,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Ephippidae,Redfishes basses congers,33,612.7926199999999,NA,NA,NA,NA,NA,NA,NA
Epigonus,Misc Finfishes,39,13.5419,NA,NA,NA,NA,NA,NA,NA
Epigonus telescopus,Misc Finfishes,39,672.23154,NA,Epigonus,NA,Epigonidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus,Redfishes basses congers,33,494044.12349,NA,NA,NA,NA,NA,NA,NA
Epinephelus aeneus,Redfishes basses congers,33,41183.5652,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus analogus,Redfishes basses congers,33,6.33684,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus areolatus,Redfishes basses congers,33,608.30408,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus chlorostigma,Redfishes basses congers,33,197.20403,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus coioides,Redfishes basses congers,33,36132.89903,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus flavolimbatus,Redfishes basses congers,33,374.31414,NA,NA,NA,NA,NA,NA,NA
Epinephelus fuscoguttatus,Redfishes basses congers,33,64.03202,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus goreensis,Redfishes basses congers,33,469.71543,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus guttatus,Redfishes basses congers,33,184.04053,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus marginatus,Redfishes basses congers,33,5721.98124,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus merra,Redfishes basses congers,33,2114.64394,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus morio,Redfishes basses congers,33,2089.15991,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus morrhua,Redfishes basses congers,33,32.016,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus multinotatus,Redfishes basses congers,33,522.9279,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus mystacinus,Redfishes basses congers,33,1.75528,NA,NA,NA,NA,NA,NA,NA
Epinephelus nigritus,Redfishes basses congers,33,24.14931,NA,NA,NA,NA,NA,NA,NA
Epinephelus niveatus,Redfishes basses congers,33,150.93321,NA,NA,NA,NA,NA,NA,NA
Epinephelus striatus,Redfishes basses congers,33,101.62822,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus summana,Redfishes basses congers,33,42.68797,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Epinephelus tauvina,Redfishes basses congers,33,219848.52498,NA,Epinephelus,Epinephelinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Erimacrus isenbeckii,Craylets squat lobsters,44,511.24381,NA,NA,NA,NA,NA,NA,NA
Etelis oculatus,Redfishes basses congers,33,4.02491,NA,Etelis,Etelinae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Ethmalosa fimbriata,Shads,24,1386070.93889,NA,Ethmalosa,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Ethmidium maculatum,Herrings sardines anchovies,35,39173.17228,NA,Ethmidium,Clupeinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Etmopterus,Sharks rays skates etc,38,299.99,NA,NA,NA,NA,NA,NA,NA
Etmopterus granulosus,Sharks rays skates etc,38,0.03072,NA,Etmopterus,NA,Etmopteridae,Squaliformes,Elasmobranchii,Chondrichthyes
Etmopterus spinax,Sharks rays skates etc,38,4.71956,NA,Etmopterus,NA,Etmopteridae,Squaliformes,Elasmobranchii,Chondrichthyes
Etrumeus whiteheadi,Herrings sardines anchovies,35,90058.09807,NA,Etrumeus,NA,Dussumieriidae,Clupeiformes,Actinopterygii,Osteichthyes
Euphausia,Krill planktonic crustaceans,46,48136.71006,NA,NA,NA,NA,NA,NA,NA
Euphausia superba,Krill planktonic crustaceans,46,259034.14939,NA,NA,NA,NA,NA,NA,NA
Euthynnus affinis,Tunas bonitos billfishes,36,379073.49104,NA,Euthynnus,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes
Euthynnus alletteratus,Tunas bonitos billfishes,36,121966.08401,NA,Euthynnus,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes
Euthynnus lineatus,Tunas bonitos billfishes,36,11734.42247,NA,Euthynnus,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes
Eutrigla gurnardus,Jacks mullets sauries,34,1367.93148,NA,Eutrigla,Triglinae,Triglidae,Scorpaeniformes,Actinopterygii,Osteichthyes
Exocoetidae,Mackerels snoeks cutlassfishes,37,117997.05316,NA,NA,NA,NA,NA,NA,NA
Farfantepenaeus aztecus,Shrimps prawns,45,62459.83007,NA,NA,NA,NA,NA,NA,NA
Farfantepenaeus brasiliensis,Shrimps prawns,45,12276.92766,NA,NA,NA,NA,NA,NA,NA
Farfantepenaeus brevirostris,Shrimps prawns,45,1739.31457,NA,NA,NA,NA,NA,NA,NA
Farfantepenaeus californiensis,Shrimps prawns,45,38175.19646,NA,NA,NA,NA,NA,NA,NA
Farfantepenaeus duorarum,Shrimps prawns,45,13821.58265,NA,NA,NA,NA,NA,NA,NA
Farfantepenaeus notialis,Shrimps prawns,45,39848.38493,NA,NA,NA,NA,NA,NA,NA
Farfantepenaeus paulensis,Shrimps prawns,45,25.96986,NA,NA,NA,NA,NA,NA,NA
Fenneropenaeus chinensis,Shrimps prawns,45,234454.91491,NA,NA,NA,NA,NA,NA,NA
Fenneropenaeus merguiensis,Shrimps prawns,45,228867.66213,NA,NA,NA,NA,NA,NA,NA
Fistularia corneta,Misc Finfishes,39,14724.273439999999,NA,Fistularia,NA,Fistulariidae,Syngnathiformes,Actinopterygii,Osteichthyes
Gadiformes,Cods hakes haddocks,32,7102.09377,NA,NA,NA,NA,NA,NA,NA
Gadus macrocephalus,Cods hakes haddocks,32,506438.43539,NA,Gadus,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Gadus morhua,Cods hakes haddocks,32,1249499.67299,NA,Gadus,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Gadus ogac,Cods hakes haddocks,32,12.37764,NA,NA,NA,NA,NA,NA,NA
Gaidropsarus,Cods hakes haddocks,32,28.11757,NA,NA,NA,NA,NA,NA,NA
Galeocerdo cuvier,Sharks rays skates etc,38,101.50978,NA,Galeocerdo,NA,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Galeoides decadactylus,Redfishes basses congers,33,27822.24854,NA,Galeoides,NA,Polynemidae,Perciformes,Actinopterygii,Osteichthyes
Galeorhinus galeus,Sharks rays skates etc,38,3729.38131,NA,Galeorhinus,Galeorhininae,Triakidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Galeus,Sharks rays skates etc,38,11.73302,NA,NA,NA,NA,NA,NA,NA
Galeus melastomus,Sharks rays skates etc,38,1441.66851,NA,Galeus,NA,Scyliorhinidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes
Gastropoda,Abalones winkles conchs,52,60977.07375,NA,NA,NA,NA,NA,NA,NA
Gempylidae,Mackerels snoeks cutlassfishes,37,1153.75863,NA,NA,NA,NA,NA,NA,NA
