"iso3c","country","origin","cum_pressure_prop_final","cum_pressure_percent_final"
"GRL","Greenland","freshwater",0.0342009314488551,3.42
"GRL","Greenland","land",0.0005102390194559,0.05
"GRL","Greenland","marine",0.965288829531689,96.53
"GTM","Guatemala","freshwater",0.00109422644617404,0.11
"GTM","Guatemala","land",0.975875586695773,97.59
"GTM","Guatemala","marine",0.0230301868580534,2.3
"GUF","French Guiana","freshwater",0.0241264370497337,2.41
"GUF","French Guiana","land",0.0887818495701868,8.88
"GUF","French Guiana","marine",0.88709171338008,88.71
"GUM","Guam","freshwater",0.00152542052364139,0.15
"GUM","Guam","land",0.984069371408345,98.41
"GUM","Guam","marine",0.0144052080680132,1.44
"GUY","Guyana","freshwater",0.0169348826144287,1.69
"GUY","Guyana","land",0.775000629886553,77.5
"GUY","Guyana","marine",0.208064487499018,20.81
"HKG","Hong Kong","freshwater",0.0001600093082183,0.02
"HKG","Hong Kong","land",0.325230279935502,32.52
"HKG","Hong Kong","marine",0.67460971075628,67.46
"HND","Honduras","freshwater",0.00139059784142263,0.14
"HND","Honduras","land",0.942331790711983,94.23
"HND","Honduras","marine",0.0562776114465942,5.63
"HRV","Croatia","freshwater",0.00120589703365638,0.12
"HRV","Croatia","land",0.639162580856691,63.92
"HRV","Croatia","marine",0.359631522109652,35.96
"HSX","High Seas","freshwater",3.35831182615414e-05,0
"HSX","High Seas","land",1.48438135405547e-06,0
"HSX","High Seas","marine",0.999964932500384,100
"HTI","Haiti","freshwater",0.000280257050296016,0.03
"HTI","Haiti","land",0.891813907106577,89.18
"HTI","Haiti","marine",0.107905835843127,10.79
"HUN","Hungary","freshwater",0.00116979458536942,0.12
"HUN","Hungary","land",0.998830205414631,99.88
"HUN","Hungary","marine",0,0
"IDN","Indonesia","freshwater",0.00105809480313651,0.11
"IDN","Indonesia","land",0.671378249809058,67.14
"IDN","Indonesia","marine",0.327563655387806,32.76
"IMN","Isle of Man","freshwater",0.000371252857953875,0.04
"IMN","Isle of Man","land",0.557712647741395,55.77
"IMN","Isle of Man","marine",0.441916099400652,44.19
"IND","India","freshwater",0.000445042198939379,0.04
"IND","India","land",0.966322338990021,96.63
"IND","India","marine",0.0332326188110394,3.32
"IOT","British Indian Ocean Territory","freshwater",0,0
"IOT","British Indian Ocean Territory","land",0,0
"IOT","British Indian Ocean Territory","marine",1,100
"IRL","Ireland","freshwater",0.000346442879286142,0.03
"IRL","Ireland","land",0.742554362662534,74.26
"IRL","Ireland","marine",0.25709919445818,25.71
"IRN","Iran","freshwater",0.000636215686575915,0.06
"IRN","Iran","land",0.973160382635213,97.32
"IRN","Iran","marine",0.0262034016782117,2.62
"IRQ","Iraq","freshwater",0.00142718774252097,0.14
"IRQ","Iraq","land",0.996818865963474,99.68
"IRQ","Iraq","marine",0.0017539462940045,0.18
"ISL","Iceland","freshwater",0.00210849799390547,0.21
"ISL","Iceland","land",0.0418641699940844,4.19
"ISL","Iceland","marine",0.95602733201201,95.6
"ISR","Israel","freshwater",7.64987469954322e-05,0.01
"ISR","Israel","land",0.979746410719394,97.97
"ISR","Israel","marine",0.0201770905336106,2.02
"ITA","Italy","freshwater",0.000555826046469234,0.06
"ITA","Italy","land",0.766278577237487,76.63
"ITA","Italy","marine",0.233165596716044,23.32
"JAM","Jamaica","freshwater",0.000581883334870736,0.06
"JAM","Jamaica","land",0.820674662587099,82.07
"JAM","Jamaica","marine",0.17874345407803,17.87
"JEY","Jersey","freshwater",0.000278392878461131,0.03
"JEY","Jersey","land",0.0419981767647533,4.2
"JEY","Jersey","marine",0.957723430356786,95.77
"JOR","Jordan","freshwater",0.000314460966934756,0.03
"JOR","Jordan","land",0.995218336209696,99.52
"JOR","Jordan","marine",0.00446720282336935,0.45
"JPN","Japan","freshwater",0.00161258406665717,0.16
"JPN","Japan","land",0.591374625508127,59.14
"JPN","Japan","marine",0.407012790425216,40.7
"KAZ","Kazakhstan","freshwater",0.00186349424323526,0.19
"KAZ","Kazakhstan","land",0.998136505756765,99.81
"KAZ","Kazakhstan","marine",0,0
"KEN","Kenya","freshwater",0.000670253206930163,0.07
"KEN","Kenya","land",0.988078835145748,98.81
"KEN","Kenya","marine",0.0112509116473215,1.13
"KGZ","Kyrgyzstan","freshwater",0.00203585809256996,0.2
"KGZ","Kyrgyzstan","land",0.99796414190743,99.8
"KGZ","Kyrgyzstan","marine",0,0
"KHM","Cambodia","freshwater",0.00278128157532056,0.28
"KHM","Cambodia","land",0.93406663290791,93.41
"KHM","Cambodia","marine",0.0631520855167694,6.32
"KIR","Kiribati","freshwater",3.24963774997109e-05,0
"KIR","Kiribati","land",0.217738868894746,21.77
"KIR","Kiribati","marine",0.782228634727754,78.22
"KNA","Saint Kitts and Nevis","freshwater",0.000925129893689476,0.09
"KNA","Saint Kitts and Nevis","land",0.398952091300619,39.9
"KNA","Saint Kitts and Nevis","marine",0.600122778805691,60.01
"KOR","South Korea","freshwater",0.000716281753736664,0.07
"KOR","South Korea","land",0.760845362414441,76.08
"KOR","South Korea","marine",0.238438355831822,23.84
"KWT","Kuwait","freshwater",8.36722586293894e-05,0.01
"KWT","Kuwait","land",0.500067018847225,50.01
"KWT","Kuwait","marine",0.499849308894146,49.98
"LAO","Laos","freshwater",0.00599575762669838,0.6
"LAO","Laos","land",0.993951158086308,99.4
"LAO","Laos","marine",5.30842869939978e-05,0.01
"LBN","Lebanon","freshwater",0.000229680815850015,0.02
"LBN","Lebanon","land",0.957376471348712,95.74
"LBN","Lebanon","marine",0.0423938478354382,4.24
"LBR","Liberia","freshwater",0.00476994772861162,0.48
"LBR","Liberia","land",0.939698834570557,93.97
"LBR","Liberia","marine",0.0555312177008314,5.55
"LBY","Libya","freshwater",0.00206395973565715,0.21
"LBY","Libya","land",0.913306744697892,91.33
"LBY","Libya","marine",0.0846292955664507,8.46
"LCA","Saint Lucia","freshwater",0.0010781691792179,0.11
"LCA","Saint Lucia","land",0.809432146038637,80.94
