"region","species","variable","units","year","value","gapfilled"
"Trøndelag","Rainbow trout","stock_dec_31_count","1000x","2011",0,NA
"Trøndelag","Other fish species","stock_dec_31_count","1000x","2011",0,NA
"Sør-Trøndelag","Salmon","stock_dec_31_count","1000x","2011",47310,NA
"Sør-Trøndelag","Rainbow trout","stock_dec_31_count","1000x","2011",4,NA
"Sør-Trøndelag","Other fish species","stock_dec_31_count","1000x","2011",350,"gapfilled"
"Nord-Trøndelag","Salmon","stock_dec_31_count","1000x","2011",29296,NA
"Nord-Trøndelag","Rainbow trout","stock_dec_31_count","1000x","2011",0,NA
"Nord-Trøndelag","Other fish species","stock_dec_31_count","1000x","2011",0,NA
"Nordland","Salmon","stock_dec_31_count","1000x","2011",66133,NA
"Nordland","Rainbow trout","stock_dec_31_count","1000x","2011",1416,NA
"Nordland","Other fish species","stock_dec_31_count","1000x","2011",3337,NA
"Troms","Salmon","stock_dec_31_count","1000x","2011",40631,NA
"Troms","Rainbow trout","stock_dec_31_count","1000x","2011",1795,NA
"Troms","Other fish species","stock_dec_31_count","1000x","2011",363,NA
"Finnmark","Salmon","stock_dec_31_count","1000x","2011",29695,NA
"Finnmark","Rainbow trout","stock_dec_31_count","1000x","2011",1507,NA
"Finnmark","Other fish species","stock_dec_31_count","1000x","2011",375,"gapfilled"
"Other Counties","Salmon","stock_dec_31_count","1000x","2011",5815,NA
"Other Counties","Rainbow trout","stock_dec_31_count","1000x","2011",25,NA
"Other Counties","Other fish species","stock_dec_31_count","1000x","2011",1100,NA
"Rogaland","Salmon","tonnes_fish","tonnes","2011",69054,NA
"Rogaland","Rainbow trout","tonnes_fish","tonnes","2011",111,NA
"Rogaland","Char","tonnes_fish","tonnes","2011",0,"gapfilled"
"Rogaland","Cod","tonnes_fish","tonnes","2011",136,NA
"Rogaland","Halibut","tonnes_fish","tonnes","2011",0,"gapfilled"
"Rogaland","Shellfish","tonnes_fish","tonnes","2011",4,NA
"Rogaland","Other fish species","tonnes_fish","tonnes","2011",0,NA
"Hordaland","Salmon","tonnes_fish","tonnes","2011",156419,NA
"Hordaland","Rainbow trout","tonnes_fish","tonnes","2011",32004,NA
"Hordaland","Char","tonnes_fish","tonnes","2011",0,"gapfilled"
"Hordaland","Cod","tonnes_fish","tonnes","2011",38,NA
"Hordaland","Halibut","tonnes_fish","tonnes","2011",0,NA
"Hordaland","Shellfish","tonnes_fish","tonnes","2011",13,NA
"Hordaland","Other fish species","tonnes_fish","tonnes","2011",0,"gapfilled"
"Sogn og Fjordane","Salmon","tonnes_fish","tonnes","2011",94063,NA
"Sogn og Fjordane","Rainbow trout","tonnes_fish","tonnes","2011",11592,NA
"Sogn og Fjordane","Char","tonnes_fish","tonnes","2011",0,"gapfilled"
"Sogn og Fjordane","Cod","tonnes_fish","tonnes","2011",1725,NA
"Sogn og Fjordane","Halibut","tonnes_fish","tonnes","2011",0,"gapfilled"
"Sogn og Fjordane","Shellfish","tonnes_fish","tonnes","2011",1,NA
"Sogn og Fjordane","Other fish species","tonnes_fish","tonnes","2011",0,"gapfilled"
"Møre og Romsdal","Salmon","tonnes_fish","tonnes","2011",127120,NA
"Møre og Romsdal","Rainbow trout","tonnes_fish","tonnes","2011",10215,NA
"Møre og Romsdal","Char","tonnes_fish","tonnes","2011",0,"gapfilled"
"Møre og Romsdal","Cod","tonnes_fish","tonnes","2011",2591,NA
"Møre og Romsdal","Halibut","tonnes_fish","tonnes","2011",1401,NA
"Møre og Romsdal","Shellfish","tonnes_fish","tonnes","2011",9,NA
"Møre og Romsdal","Other fish species","tonnes_fish","tonnes","2011",0,"gapfilled"
"Trøndelag","Salmon","tonnes_fish","tonnes","2011",0,NA
"Trøndelag","Rainbow trout","tonnes_fish","tonnes","2011",0,NA
"Trøndelag","Char","tonnes_fish","tonnes","2011",0,NA
"Trøndelag","Cod","tonnes_fish","tonnes","2011",0,NA
"Trøndelag","Halibut","tonnes_fish","tonnes","2011",0,NA
"Trøndelag","Shellfish","tonnes_fish","tonnes","2011",0,NA
"Trøndelag","Other fish species","tonnes_fish","tonnes","2011",0,NA
"Sør-Trøndelag","Salmon","tonnes_fish","tonnes","2011",146085,NA
"Sør-Trøndelag","Rainbow trout","tonnes_fish","tonnes","2011",56,NA
"Sør-Trøndelag","Char","tonnes_fish","tonnes","2011",0,"gapfilled"
"Sør-Trøndelag","Cod","tonnes_fish","tonnes","2011",0,"gapfilled"
"Sør-Trøndelag","Halibut","tonnes_fish","tonnes","2011",0,"gapfilled"
"Sør-Trøndelag","Shellfish","tonnes_fish","tonnes","2011",702,NA
"Sør-Trøndelag","Other fish species","tonnes_fish","tonnes","2011",0,NA
"Nord-Trøndelag","Salmon","tonnes_fish","tonnes","2011",80803,NA
"Nord-Trøndelag","Rainbow trout","tonnes_fish","tonnes","2011",0,NA
"Nord-Trøndelag","Char","tonnes_fish","tonnes","2011",0,"gapfilled"
"Nord-Trøndelag","Cod","tonnes_fish","tonnes","2011",0,"gapfilled"
"Nord-Trøndelag","Halibut","tonnes_fish","tonnes","2011",0,"gapfilled"
"Nord-Trøndelag","Shellfish","tonnes_fish","tonnes","2011",378,NA
"Nord-Trøndelag","Other fish species","tonnes_fish","tonnes","2011",0,NA
"Nordland","Salmon","tonnes_fish","tonnes","2011",217345,NA
"Nordland","Rainbow trout","tonnes_fish","tonnes","2011",1915,NA
"Nordland","Char","tonnes_fish","tonnes","2011",178,NA
"Nordland","Cod","tonnes_fish","tonnes","2011",7624,NA
"Nordland","Halibut","tonnes_fish","tonnes","2011",0,"gapfilled"
"Nordland","Shellfish","tonnes_fish","tonnes","2011",658,NA
"Nordland","Other fish species","tonnes_fish","tonnes","2011",0,"gapfilled"
"Troms","Salmon","tonnes_fish","tonnes","2011",104770,NA
"Troms","Rainbow trout","tonnes_fish","tonnes","2011",1887,NA
"Troms","Char","tonnes_fish","tonnes","2011",0,"gapfilled"
"Troms","Cod","tonnes_fish","tonnes","2011",759,NA
"Troms","Halibut","tonnes_fish","tonnes","2011",0,"gapfilled"
"Troms","Shellfish","tonnes_fish","tonnes","2011",0,"gapfilled"
"Troms","Other fish species","tonnes_fish","tonnes","2011",0,"gapfilled"
"Finnmark","Salmon","tonnes_fish","tonnes","2011",56178,NA
"Finnmark","Rainbow trout","tonnes_fish","tonnes","2011",665,NA
"Finnmark","Char","tonnes_fish","tonnes","2011",0,"gapfilled"
"Finnmark","Cod","tonnes_fish","tonnes","2011",221,"gapfilled"
"Finnmark","Halibut","tonnes_fish","tonnes","2011",0,"gapfilled"
"Finnmark","Shellfish","tonnes_fish","tonnes","2011",0,"gapfilled"
"Finnmark","Other fish species","tonnes_fish","tonnes","2011",0,"gapfilled"
"Other Counties","Salmon","tonnes_fish","tonnes","2011",13032,NA
"Other Counties","Rainbow trout","tonnes_fish","tonnes","2011",111,NA
"Other Counties","Char","tonnes_fish","tonnes","2011",0,"gapfilled"
"Other Counties","Cod","tonnes_fish","tonnes","2011",0,"gapfilled"
"Other Counties","Halibut","tonnes_fish","tonnes","2011",0,"gapfilled"
"Other Counties","Shellfish","tonnes_fish","tonnes","2011",0,NA
"Other Counties","Other fish species","tonnes_fish","tonnes","2011",446,"gapfilled"
"Rogaland","Salmon","Stock_Jan1_count","1000x","2012",26753,NA
"Rogaland","Rainbow trout","Stock_Jan1_count","1000x","2012",26,NA
"Rogaland","Other fish species","Stock_Jan1_count","1000x","2012",1037,NA
"Hordaland","Salmon","Stock_Jan1_count","1000x","2012",58092,NA
"Hordaland","Rainbow trout","Stock_Jan1_count","1000x","2012",12277,NA
"Hordaland","Other fish species","Stock_Jan1_count","1000x","2012",1039,NA
"Sogn og Fjordane","Salmon","Stock_Jan1_count","1000x","2012",30641,NA
"Sogn og Fjordane","Rainbow trout","Stock_Jan1_count","1000x","2012",5863,NA
"Sogn og Fjordane","Other fish species","Stock_Jan1_count","1000x","2012",1447,NA
"Møre og Romsdal","Salmon","Stock_Jan1_count","1000x","2012",31965,NA
"Møre og Romsdal","Rainbow trout","Stock_Jan1_count","1000x","2012",4291,NA
"Møre og Romsdal","Other fish species","Stock_Jan1_count","1000x","2012",2043,NA
"Trøndelag","Salmon","Stock_Jan1_count","1000x","2012",0,NA
"Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2012",0,NA
"Trøndelag","Other fish species","Stock_Jan1_count","1000x","2012",0,NA
"Sør-Trøndelag","Salmon","Stock_Jan1_count","1000x","2012",46016,NA
"Sør-Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2012",30.3371356147022,"gapfilled"
"Sør-Trøndelag","Other fish species","Stock_Jan1_count","1000x","2012",321.662864385298,"gapfilled"
"Nord-Trøndelag","Salmon","Stock_Jan1_count","1000x","2012",28929,NA
"Nord-Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2012",0,"gapfilled"
"Nord-Trøndelag","Other fish species","Stock_Jan1_count","1000x","2012",0,"gapfilled"
"Nordland","Salmon","Stock_Jan1_count","1000x","2012",64670,NA
"Nordland","Rainbow trout","Stock_Jan1_count","1000x","2012",1481,NA
"Nordland","Other fish species","Stock_Jan1_count","1000x","2012",2955,NA
"Troms","Salmon","Stock_Jan1_count","1000x","2012",41245,NA
"Troms","Rainbow trout","Stock_Jan1_count","1000x","2012",2050,NA
"Troms","Other fish species","Stock_Jan1_count","1000x","2012",248,NA
"Finnmark","Salmon","Stock_Jan1_count","1000x","2012",29796,NA
"Finnmark","Rainbow trout","Stock_Jan1_count","1000x","2012",1463.10577057426,"gapfilled"
"Finnmark","Other fish species","Stock_Jan1_count","1000x","2012",418.894229425737,"gapfilled"
"Other Counties","Salmon","Stock_Jan1_count","1000x","2012",5486,NA
"Other Counties","Rainbow trout","Stock_Jan1_count","1000x","2012",59,NA
"Other Counties","Other fish species","Stock_Jan1_count","1000x","2012",500,NA
"Rogaland","Salmon","supplies_count","1000x","2012",18980,NA
"Rogaland","Rainbow trout","supplies_count","1000x","2012",14,NA
"Rogaland","Other fish species","supplies_count","1000x","2012",856,NA
"Hordaland","Salmon","supplies_count","1000x","2012",40490,NA
"Hordaland","Rainbow trout","supplies_count","1000x","2012",10576,NA
"Hordaland","Other fish species","supplies_count","1000x","2012",414,NA
"Sogn og Fjordane","Salmon","supplies_count","1000x","2012",22529,NA
"Sogn og Fjordane","Rainbow trout","supplies_count","1000x","2012",4292,NA
"Sogn og Fjordane","Other fish species","supplies_count","1000x","2012",626,NA
"Møre og Romsdal","Salmon","supplies_count","1000x","2012",37778,NA
"Møre og Romsdal","Rainbow trout","supplies_count","1000x","2012",3011,NA
"Møre og Romsdal","Other fish species","supplies_count","1000x","2012",1158,NA
"Trøndelag","Salmon","supplies_count","1000x","2012",0,NA
"Trøndelag","Rainbow trout","supplies_count","1000x","2012",0,NA
"Trøndelag","Other fish species","supplies_count","1000x","2012",0,NA
"Sør-Trøndelag","Salmon","supplies_count","1000x","2012",23359,NA
"Sør-Trøndelag","Rainbow trout","supplies_count","1000x","2012",0.709914320685435,"gapfilled"
"Sør-Trøndelag","Other fish species","supplies_count","1000x","2012",57.2900856793146,"gapfilled"
"Nord-Trøndelag","Salmon","supplies_count","1000x","2012",27566,NA
"Nord-Trøndelag","Rainbow trout","supplies_count","1000x","2012",0,"gapfilled"
"Nord-Trøndelag","Other fish species","supplies_count","1000x","2012",4,"gapfilled"
"Nordland","Salmon","supplies_count","1000x","2012",47811,NA
"Nordland","Rainbow trout","supplies_count","1000x","2012",598,NA
"Nordland","Other fish species","supplies_count","1000x","2012",1591,NA
"Troms","Salmon","supplies_count","1000x","2012",34670,NA
"Troms","Rainbow trout","supplies_count","1000x","2012",935,NA
"Troms","Other fish species","supplies_count","1000x","2012",50,NA
"Finnmark","Salmon","supplies_count","1000x","2012",22694,NA
"Finnmark","Rainbow trout","supplies_count","1000x","2012",4.77156398104265,"gapfilled"
"Finnmark","Other fish species","supplies_count","1000x","2012",1.22843601895735,"gapfilled"
"Other Counties","Salmon","supplies_count","1000x","2012",3451,NA
"Other Counties","Rainbow trout","supplies_count","1000x","2012",186,NA
"Other Counties","Other fish species","supplies_count","1000x","2012",431,NA
"Rogaland","Salmon","delivered_for_sale_count","1000x","2012",16430,NA
"Rogaland","Rainbow trout","delivered_for_sale_count","1000x","2012",4,NA
"Rogaland","Other fish species","delivered_for_sale_count","1000x","2012",580,NA
"Hordaland","Salmon","delivered_for_sale_count","1000x","2012",41095,NA
"Hordaland","Rainbow trout","delivered_for_sale_count","1000x","2012",9107,NA
"Hordaland","Other fish species","delivered_for_sale_count","1000x","2012",270,NA
"Sogn og Fjordane","Salmon","delivered_for_sale_count","1000x","2012",19721,NA
"Sogn og Fjordane","Rainbow trout","delivered_for_sale_count","1000x","2012",4124,NA
"Sogn og Fjordane","Other fish species","delivered_for_sale_count","1000x","2012",907,NA
"Møre og Romsdal","Salmon","delivered_for_sale_count","1000x","2012",24348,NA
"Møre og Romsdal","Rainbow trout","delivered_for_sale_count","1000x","2012",2913,NA
"Møre og Romsdal","Other fish species","delivered_for_sale_count","1000x","2012",805,NA
"Trøndelag","Salmon","delivered_for_sale_count","1000x","2012",0,NA
"Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2012",0,NA
"Trøndelag","Other fish species","delivered_for_sale_count","1000x","2012",0,NA
"Sør-Trøndelag","Salmon","delivered_for_sale_count","1000x","2012",29920,NA
"Sør-Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2012",55,"gapfilled"
"Sør-Trøndelag","Other fish species","delivered_for_sale_count","1000x","2012",230,"gapfilled"
"Nord-Trøndelag","Salmon","delivered_for_sale_count","1000x","2012",23098,NA
"Nord-Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2012",0,"gapfilled"
"Nord-Trøndelag","Other fish species","delivered_for_sale_count","1000x","2012",0,"gapfilled"
"Nordland","Salmon","delivered_for_sale_count","1000x","2012",44155,NA
"Nordland","Rainbow trout","delivered_for_sale_count","1000x","2012",741,NA
"Nordland","Other fish species","delivered_for_sale_count","1000x","2012",1808,NA
"Troms","Salmon","delivered_for_sale_count","1000x","2012",26124,NA
"Troms","Rainbow trout","delivered_for_sale_count","1000x","2012",1343,NA
"Troms","Other fish species","delivered_for_sale_count","1000x","2012",163,NA
"Finnmark","Salmon","delivered_for_sale_count","1000x","2012",14974,NA
"Finnmark","Rainbow trout","delivered_for_sale_count","1000x","2012",179.5,"gapfilled"
"Finnmark","Other fish species","delivered_for_sale_count","1000x","2012",55.5,"gapfilled"
"Other Counties","Salmon","delivered_for_sale_count","1000x","2012",2866,NA
"Other Counties","Rainbow trout","delivered_for_sale_count","1000x","2012",182,NA
"Other Counties","Other fish species","delivered_for_sale_count","1000x","2012",258,NA
"Rogaland","Salmon","loss_count","1000x","2012",2576,NA
"Rogaland","Rainbow trout","loss_count","1000x","2012",14,NA
"Rogaland","Other fish species","loss_count","1000x","2012",95,NA
"Hordaland","Salmon","loss_count","1000x","2012",6552,NA
"Hordaland","Rainbow trout","loss_count","1000x","2012",1216,NA
"Hordaland","Other fish species","loss_count","1000x","2012",285,NA
"Sogn og Fjordane","Salmon","loss_count","1000x","2012",2832,NA
"Sogn og Fjordane","Rainbow trout","loss_count","1000x","2012",797,NA
"Sogn og Fjordane","Other fish species","loss_count","1000x","2012",332,NA
"Møre og Romsdal","Salmon","loss_count","1000x","2012",3686,NA
"Møre og Romsdal","Rainbow trout","loss_count","1000x","2012",1014,NA
"Møre og Romsdal","Other fish species","loss_count","1000x","2012",604,NA
"Trøndelag","Salmon","loss_count","1000x","2012",0,NA
"Trøndelag","Rainbow trout","loss_count","1000x","2012",0,NA
"Trøndelag","Other fish species","loss_count","1000x","2012",0,NA
"Sør-Trøndelag","Salmon","loss_count","1000x","2012",4093,NA
"Sør-Trøndelag","Rainbow trout","loss_count","1000x","2012",5.93203883495146,"gapfilled"
"Sør-Trøndelag","Other fish species","loss_count","1000x","2012",41.0679611650485,"gapfilled"
"Nord-Trøndelag","Salmon","loss_count","1000x","2012",2980,NA
"Nord-Trøndelag","Rainbow trout","loss_count","1000x","2012",0,"gapfilled"
"Nord-Trøndelag","Other fish species","loss_count","1000x","2012",4,"gapfilled"
"Nordland","Salmon","loss_count","1000x","2012",5084,NA
"Nordland","Rainbow trout","loss_count","1000x","2012",125,NA
"Nordland","Other fish species","loss_count","1000x","2012",600,NA
"Troms","Salmon","loss_count","1000x","2012",5297,NA
"Troms","Rainbow trout","loss_count","1000x","2012",111,NA
"Troms","Other fish species","loss_count","1000x","2012",75,NA
"Finnmark","Salmon","loss_count","1000x","2012",4679,NA
"Finnmark","Rainbow trout","loss_count","1000x","2012",29.431448489543,"gapfilled"
"Finnmark","Other fish species","loss_count","1000x","2012",16.568551510457,"gapfilled"
"Other Counties","Salmon","loss_count","1000x","2012",200,NA
"Other Counties","Rainbow trout","loss_count","1000x","2012",7,NA
"Other Counties","Other fish species","loss_count","1000x","2012",125,NA
"Rogaland","Salmon","stock_dec_31_count","1000x","2012",26727,NA
"Rogaland","Rainbow trout","stock_dec_31_count","1000x","2012",22,NA
"Rogaland","Other fish species","stock_dec_31_count","1000x","2012",1218,NA
"Hordaland","Salmon","stock_dec_31_count","1000x","2012",50935,NA
"Hordaland","Rainbow trout","stock_dec_31_count","1000x","2012",12529,NA
"Hordaland","Other fish species","stock_dec_31_count","1000x","2012",898,NA
"Sogn og Fjordane","Salmon","stock_dec_31_count","1000x","2012",30617,NA
"Sogn og Fjordane","Rainbow trout","stock_dec_31_count","1000x","2012",5234,NA
"Sogn og Fjordane","Other fish species","stock_dec_31_count","1000x","2012",834,NA
"Møre og Romsdal","Salmon","stock_dec_31_count","1000x","2012",41710,NA
"Møre og Romsdal","Rainbow trout","stock_dec_31_count","1000x","2012",3375,NA
"Møre og Romsdal","Other fish species","stock_dec_31_count","1000x","2012",1791,NA
"Trøndelag","Salmon","stock_dec_31_count","1000x","2012",0,NA
"Trøndelag","Rainbow trout","stock_dec_31_count","1000x","2012",0,NA
"Trøndelag","Other fish species","stock_dec_31_count","1000x","2012",0,NA
"Sør-Trøndelag","Salmon","stock_dec_31_count","1000x","2012",35362,NA
"Sør-Trøndelag","Rainbow trout","stock_dec_31_count","1000x","2012",1.69720347155256,"gapfilled"
"Sør-Trøndelag","Other fish species","stock_dec_31_count","1000x","2012",78.3027965284474,"gapfilled"
"Nord-Trøndelag","Salmon","stock_dec_31_count","1000x","2012",30418,NA
"Nord-Trøndelag","Rainbow trout","stock_dec_31_count","1000x","2012",0,"gapfilled"
"Nord-Trøndelag","Other fish species","stock_dec_31_count","1000x","2012",0,"gapfilled"
"Nordland","Salmon","stock_dec_31_count","1000x","2012",63242,NA
"Nordland","Rainbow trout","stock_dec_31_count","1000x","2012",1213,NA
"Nordland","Other fish species","stock_dec_31_count","1000x","2012",2138,NA
"Troms","Salmon","stock_dec_31_count","1000x","2012",44494,NA
"Troms","Rainbow trout","stock_dec_31_count","1000x","2012",1530,NA
"Troms","Other fish species","stock_dec_31_count","1000x","2012",59,NA
"Finnmark","Salmon","stock_dec_31_count","1000x","2012",32837,NA
"Finnmark","Rainbow trout","stock_dec_31_count","1000x","2012",1343.64548494983,"gapfilled"
"Finnmark","Other fish species","stock_dec_31_count","1000x","2012",263.354515050167,"gapfilled"
"Other Counties","Salmon","stock_dec_31_count","1000x","2012",5871,NA
"Other Counties","Rainbow trout","stock_dec_31_count","1000x","2012",56,NA
"Other Counties","Other fish species","stock_dec_31_count","1000x","2012",548,NA
"Rogaland","Salmon","tonnes_fish","tonnes","2012",82732,NA
"Rogaland","Rainbow trout","tonnes_fish","tonnes","2012",1010.60254083485,"gapfilled"
"Rogaland","Char","tonnes_fish","tonnes","2012",0,NA
"Rogaland","Cod","tonnes_fish","tonnes","2012",321,NA
"Rogaland","Halibut","tonnes_fish","tonnes","2012",0,"gapfilled"
"Rogaland","Shellfish","tonnes_fish","tonnes","2012",287.397459165154,"gapfilled"
"Rogaland","Other fish species","tonnes_fish","tonnes","2012",0,"gapfilled"
"Hordaland","Salmon","tonnes_fish","tonnes","2012",203525,NA
"Hordaland","Rainbow trout","tonnes_fish","tonnes","2012",37586,NA
"Hordaland","Char","tonnes_fish","tonnes","2012",0,NA
"Hordaland","Cod","tonnes_fish","tonnes","2012",0,NA
"Hordaland","Halibut","tonnes_fish","tonnes","2012",0,NA
"Hordaland","Shellfish","tonnes_fish","tonnes","2012",15,NA
"Hordaland","Other fish species","tonnes_fish","tonnes","2012",0,NA
"Sogn og Fjordane","Salmon","tonnes_fish","tonnes","2012",98503,"gapfilled"
"Sogn og Fjordane","Rainbow trout","tonnes_fish","tonnes","2012",16358,NA
"Sogn og Fjordane","Char","tonnes_fish","tonnes","2012",0,NA
"Sogn og Fjordane","Cod","tonnes_fish","tonnes","2012",0,NA
"Sogn og Fjordane","Halibut","tonnes_fish","tonnes","2012",0,"gapfilled"
"Sogn og Fjordane","Shellfish","tonnes_fish","tonnes","2012",25,NA
"Sogn og Fjordane","Other fish species","tonnes_fish","tonnes","2012",0,NA
"Møre og Romsdal","Salmon","tonnes_fish","tonnes","2012",118000,NA
"Møre og Romsdal","Rainbow trout","tonnes_fish","tonnes","2012",11699.0215836657,"gapfilled"
"Møre og Romsdal","Char","tonnes_fish","tonnes","2012",0,NA
"Møre og Romsdal","Cod","tonnes_fish","tonnes","2012",1074.41308241726,"gapfilled"
"Møre og Romsdal","Halibut","tonnes_fish","tonnes","2012",955.565333916997,"gapfilled"
"Møre og Romsdal","Shellfish","tonnes_fish","tonnes","2012",9,NA
"Møre og Romsdal","Other fish species","tonnes_fish","tonnes","2012",0,NA
"Trøndelag","Salmon","tonnes_fish","tonnes","2012",0,NA
"Trøndelag","Rainbow trout","tonnes_fish","tonnes","2012",0,NA
"Trøndelag","Char","tonnes_fish","tonnes","2012",0,NA
"Trøndelag","Cod","tonnes_fish","tonnes","2012",0,NA
"Trøndelag","Halibut","tonnes_fish","tonnes","2012",0,NA
"Trøndelag","Shellfish","tonnes_fish","tonnes","2012",0,NA
"Trøndelag","Other fish species","tonnes_fish","tonnes","2012",0,NA
"Sør-Trøndelag","Salmon","tonnes_fish","tonnes","2012",141316,NA
"Sør-Trøndelag","Rainbow trout","tonnes_fish","tonnes","2012",0,NA
"Sør-Trøndelag","Char","tonnes_fish","tonnes","2012",0,"gapfilled"
"Sør-Trøndelag","Cod","tonnes_fish","tonnes","2012",0,NA
"Sør-Trøndelag","Halibut","tonnes_fish","tonnes","2012",0,NA
"Sør-Trøndelag","Shellfish","tonnes_fish","tonnes","2012",826,"gapfilled"
"Sør-Trøndelag","Other fish species","tonnes_fish","tonnes","2012",0,NA
"Nord-Trøndelag","Salmon","tonnes_fish","tonnes","2012",121526,NA
"Nord-Trøndelag","Rainbow trout","tonnes_fish","tonnes","2012",0,NA
"Nord-Trøndelag","Char","tonnes_fish","tonnes","2012",0,NA
"Nord-Trøndelag","Cod","tonnes_fish","tonnes","2012",0,NA
"Nord-Trøndelag","Halibut","tonnes_fish","tonnes","2012",0,NA
"Nord-Trøndelag","Shellfish","tonnes_fish","tonnes","2012",452,NA
"Nord-Trøndelag","Other fish species","tonnes_fish","tonnes","2012",0,NA
"Nordland","Salmon","tonnes_fish","tonnes","2012",230144,NA
"Nordland","Rainbow trout","tonnes_fish","tonnes","2012",2955,NA
"Nordland","Char","tonnes_fish","tonnes","2012",6161,"gapfilled"
"Nordland","Cod","tonnes_fish","tonnes","2012",5634,NA
"Nordland","Halibut","tonnes_fish","tonnes","2012",0,"gapfilled"
"Nordland","Shellfish","tonnes_fish","tonnes","2012",601,NA
"Nordland","Other fish species","tonnes_fish","tonnes","2012",0,NA
"Troms","Salmon","tonnes_fish","tonnes","2012",138674,NA
"Troms","Rainbow trout","tonnes_fish","tonnes","2012",5125,NA
"Troms","Char","tonnes_fish","tonnes","2012",0,NA
"Troms","Cod","tonnes_fish","tonnes","2012",261,"gapfilled"
"Troms","Halibut","tonnes_fish","tonnes","2012",0,NA
"Troms","Shellfish","tonnes_fish","tonnes","2012",0,"gapfilled"
"Troms","Other fish species","tonnes_fish","tonnes","2012",0,NA
"Finnmark","Salmon","tonnes_fish","tonnes","2012",86168,NA
"Finnmark","Rainbow trout","tonnes_fish","tonnes","2012",682,"gapfilled"
"Finnmark","Char","tonnes_fish","tonnes","2012",0,"gapfilled"
"Finnmark","Cod","tonnes_fish","tonnes","2012",0,NA
"Finnmark","Halibut","tonnes_fish","tonnes","2012",0,NA
"Finnmark","Shellfish","tonnes_fish","tonnes","2012",0,NA
"Finnmark","Other fish species","tonnes_fish","tonnes","2012",0,NA
"Other Counties","Salmon","tonnes_fish","tonnes","2012",14071.3818411265,"gapfilled"
"Other Counties","Rainbow trout","tonnes_fish","tonnes","2012",118,NA
"Other Counties","Char","tonnes_fish","tonnes","2012",0,"gapfilled"
"Other Counties","Cod","tonnes_fish","tonnes","2012",0,NA
"Other Counties","Halibut","tonnes_fish","tonnes","2012",0,NA
"Other Counties","Shellfish","tonnes_fish","tonnes","2012",23.8094447396387,"gapfilled"
"Other Counties","Other fish species","tonnes_fish","tonnes","2012",243.8087141339,"gapfilled"
"Rogaland","Salmon","Stock_Jan1_count","1000x","2013",26729,NA
"Rogaland","Rainbow trout","Stock_Jan1_count","1000x","2013",19,NA
"Rogaland","Other fish species","Stock_Jan1_count","1000x","2013",1218,NA
"Hordaland","Salmon","Stock_Jan1_count","1000x","2013",51023,NA
"Hordaland","Rainbow trout","Stock_Jan1_count","1000x","2013",12529,NA
"Hordaland","Other fish species","Stock_Jan1_count","1000x","2013",1205,NA
"Sogn og Fjordane","Salmon","Stock_Jan1_count","1000x","2013",30627,NA
"Sogn og Fjordane","Rainbow trout","Stock_Jan1_count","1000x","2013",5191,NA
"Sogn og Fjordane","Other fish species","Stock_Jan1_count","1000x","2013",298,NA
"Møre og Romsdal","Salmon","Stock_Jan1_count","1000x","2013",43319,NA
"Møre og Romsdal","Rainbow trout","Stock_Jan1_count","1000x","2013",3093.44757901544,"gapfilled"
"Møre og Romsdal","Other fish species","Stock_Jan1_count","1000x","2013",2074.55242098456,"gapfilled"
"Trøndelag","Salmon","Stock_Jan1_count","1000x","2013",0,NA
"Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2013",0,NA
"Trøndelag","Other fish species","Stock_Jan1_count","1000x","2013",0,NA
"Sør-Trøndelag","Salmon","Stock_Jan1_count","1000x","2013",33694,NA
"Sør-Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2013",6.808618504436,"gapfilled"
"Sør-Trøndelag","Other fish species","Stock_Jan1_count","1000x","2013",72.191381495564,"gapfilled"
"Nord-Trøndelag","Salmon","Stock_Jan1_count","1000x","2013",29544.1774891217,"gapfilled"
"Nord-Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2013",0,NA
"Nord-Trøndelag","Other fish species","Stock_Jan1_count","1000x","2013",872.822510878296,"gapfilled"
"Nordland","Salmon","Stock_Jan1_count","1000x","2013",65163,NA
"Nordland","Rainbow trout","Stock_Jan1_count","1000x","2013",2275,NA
"Nordland","Other fish species","Stock_Jan1_count","1000x","2013",2143,NA
"Troms","Salmon","Stock_Jan1_count","1000x","2013",44710,NA
"Troms","Rainbow trout","Stock_Jan1_count","1000x","2013",514.704667733023,"gapfilled"
"Troms","Other fish species","Stock_Jan1_count","1000x","2013",123.295332266977,"gapfilled"
"Finnmark","Salmon","Stock_Jan1_count","1000x","2013",32835,NA
"Finnmark","Rainbow trout","Stock_Jan1_count","1000x","2013",1250.09249685622,"gapfilled"
"Finnmark","Other fish species","Stock_Jan1_count","1000x","2013",357.907503143775,"gapfilled"
"Other Counties","Salmon","Stock_Jan1_count","1000x","2013",6183.95541915995,"gapfilled"
"Other Counties","Rainbow trout","Stock_Jan1_count","1000x","2013",20,NA
