iso3c,country,animal,system,product,tonnes_per_head
SPM,St. Pierre & Miquelon,pigs,backyard,meat,0
SPM,St. Pierre & Miquelon,pigs,intermediate,meat,0
SPM,St. Pierre & Miquelon,pigs,industrial,meat,0
VCT,St. Vincent & Grenadines,pigs,backyard,meat,0
VCT,St. Vincent & Grenadines,pigs,intermediate,meat,0
VCT,St. Vincent & Grenadines,pigs,industrial,meat,0
WSM,Samoa,pigs,backyard,meat,0.08723458106275385
WSM,Samoa,pigs,intermediate,meat,0
WSM,Samoa,pigs,industrial,meat,0
SMR,San Marino,pigs,backyard,meat,0
SMR,San Marino,pigs,intermediate,meat,0
SMR,San Marino,pigs,industrial,meat,0
STP,São Tomé & Príncipe,pigs,backyard,meat,0
STP,São Tomé & Príncipe,pigs,intermediate,meat,0
STP,São Tomé & Príncipe,pigs,industrial,meat,0
SAU,Saudi Arabia,pigs,backyard,meat,0
SAU,Saudi Arabia,pigs,intermediate,meat,0
SAU,Saudi Arabia,pigs,industrial,meat,0
SEN,Senegal,pigs,backyard,meat,0.040675228522631626
SEN,Senegal,pigs,intermediate,meat,0.08057898065299655
SEN,Senegal,pigs,industrial,meat,0
SRB,Serbia,pigs,backyard,meat,0.08723440938459533
SRB,Serbia,pigs,intermediate,meat,0.12869999263955526
SRB,Serbia,pigs,industrial,meat,0
SYC,Seychelles,pigs,backyard,meat,0
SYC,Seychelles,pigs,intermediate,meat,0
SYC,Seychelles,pigs,industrial,meat,0
SLE,Sierra Leone,pigs,backyard,meat,0.04067530403533149
SLE,Sierra Leone,pigs,intermediate,meat,0
SLE,Sierra Leone,pigs,industrial,meat,0
SGP,Singapore,pigs,backyard,meat,0
SGP,Singapore,pigs,intermediate,meat,0
SGP,Singapore,pigs,industrial,meat,0.1742671952306661
SVK,Slovakia,pigs,backyard,meat,0.08723459135001238
SVK,Slovakia,pigs,intermediate,meat,0.1286995002863809
SVK,Slovakia,pigs,industrial,meat,0.17087844116328285
SVN,Slovenia,pigs,backyard,meat,0.08723416358520479
SVN,Slovenia,pigs,intermediate,meat,0.12869940036400557
SVN,Slovenia,pigs,industrial,meat,0.17087809501633675
SLB,Solomon Islands,pigs,backyard,meat,0.0872335645628425
SLB,Solomon Islands,pigs,intermediate,meat,0
SLB,Solomon Islands,pigs,industrial,meat,0
SOM,Somalia,pigs,backyard,meat,0
SOM,Somalia,pigs,intermediate,meat,0
SOM,Somalia,pigs,industrial,meat,0
ZAF,South Africa,pigs,backyard,meat,0.040675178482432794
ZAF,South Africa,pigs,intermediate,meat,0.08057910373683193
ZAF,South Africa,pigs,industrial,meat,0.18030884669329303
SSD,South Sudan,pigs,backyard,meat,0
SSD,South Sudan,pigs,intermediate,meat,0
SSD,South Sudan,pigs,industrial,meat,0
ESP,Spain,pigs,backyard,meat,0
ESP,Spain,pigs,intermediate,meat,0
ESP,Spain,pigs,industrial,meat,0.14504177765008894
LKA,Sri Lanka,pigs,backyard,meat,0.0727573429590294
LKA,Sri Lanka,pigs,intermediate,meat,0.12432251019235098
LKA,Sri Lanka,pigs,industrial,meat,0.15252595563114685
SDN,Sudan,pigs,backyard,meat,0
SDN,Sudan,pigs,intermediate,meat,0
SDN,Sudan,pigs,industrial,meat,0
SUR,Suriname,pigs,backyard,meat,0.07509043109175134
SUR,Suriname,pigs,intermediate,meat,0
SUR,Suriname,pigs,industrial,meat,0.17311412521450723
SJM,Svalbard & Jan Mayen,pigs,backyard,meat,0
SJM,Svalbard & Jan Mayen,pigs,intermediate,meat,0
SJM,Svalbard & Jan Mayen,pigs,industrial,meat,0
SWZ,Swaziland,pigs,backyard,meat,0.04067529186849196
SWZ,Swaziland,pigs,intermediate,meat,0
SWZ,Swaziland,pigs,industrial,meat,0
SWE,Sweden,pigs,backyard,meat,0
SWE,Sweden,pigs,intermediate,meat,0.12869972744883634
SWE,Sweden,pigs,industrial,meat,0.19465130258971378
CHE,Switzerland,pigs,backyard,meat,0
CHE,Switzerland,pigs,intermediate,meat,0.12869993649837494
CHE,Switzerland,pigs,industrial,meat,0.1708784715857363
SYR,Syria,pigs,backyard,meat,0
SYR,Syria,pigs,intermediate,meat,0
SYR,Syria,pigs,industrial,meat,0
TJK,Tajikistan,pigs,backyard,meat,0
TJK,Tajikistan,pigs,intermediate,meat,0
TJK,Tajikistan,pigs,industrial,meat,0
THA,Thailand,pigs,backyard,meat,0.0661025912492637
THA,Thailand,pigs,intermediate,meat,0.12404734218434278
THA,Thailand,pigs,industrial,meat,0.17426684490065059
MKD,Macedonia,pigs,backyard,meat,0.08723416943936417
MKD,Macedonia,pigs,intermediate,meat,0.128701201357787
MKD,Macedonia,pigs,industrial,meat,0.17087853555254226
TLS,Timor-Leste,pigs,backyard,meat,0.06610258239708314
TLS,Timor-Leste,pigs,intermediate,meat,0.12404590204130443
TLS,Timor-Leste,pigs,industrial,meat,0
TGO,Togo,pigs,backyard,meat,0.04067518377296476
TGO,Togo,pigs,intermediate,meat,0.08057749613412747
TGO,Togo,pigs,industrial,meat,0
TKL,Tokelau,pigs,backyard,meat,0
TKL,Tokelau,pigs,intermediate,meat,0
TKL,Tokelau,pigs,industrial,meat,0
TON,Tonga,pigs,backyard,meat,0.08723357795529099
TON,Tonga,pigs,intermediate,meat,0
TON,Tonga,pigs,industrial,meat,0
TTO,Trinidad & Tobago,pigs,backyard,meat,0
TTO,Trinidad & Tobago,pigs,intermediate,meat,0
TTO,Trinidad & Tobago,pigs,industrial,meat,0.1731057121419769
TUN,Tunisia,pigs,backyard,meat,0
TUN,Tunisia,pigs,intermediate,meat,0
TUN,Tunisia,pigs,industrial,meat,0
TUR,Turkey,pigs,backyard,meat,0
TUR,Turkey,pigs,intermediate,meat,0
TUR,Turkey,pigs,industrial,meat,0
TKM,Turkmenistan,pigs,backyard,meat,0.07275764303669385
TKM,Turkmenistan,pigs,intermediate,meat,0
TKM,Turkmenistan,pigs,industrial,meat,0
TCA,Turks & Caicos Islands,pigs,backyard,meat,0
TCA,Turks & Caicos Islands,pigs,intermediate,meat,0
TCA,Turks & Caicos Islands,pigs,industrial,meat,0
TUV,Tuvalu,pigs,backyard,meat,0
TUV,Tuvalu,pigs,intermediate,meat,0
TUV,Tuvalu,pigs,industrial,meat,0
UGA,Uganda,pigs,backyard,meat,0.04067517450092211
UGA,Uganda,pigs,intermediate,meat,0.08057888863634435
UGA,Uganda,pigs,industrial,meat,0.18031075187280307
UKR,Ukraine,pigs,backyard,meat,0.0872343948491368
UKR,Ukraine,pigs,intermediate,meat,0.12870009101360833
UKR,Ukraine,pigs,industrial,meat,0.1708783535566487
ARE,United Arab Emirates,pigs,backyard,meat,0
ARE,United Arab Emirates,pigs,intermediate,meat,0
ARE,United Arab Emirates,pigs,industrial,meat,0
GBR,United Kingdom,pigs,backyard,meat,0
GBR,United Kingdom,pigs,intermediate,meat,0
GBR,United Kingdom,pigs,industrial,meat,0.18088789870621919
TZA,Tanzania,pigs,backyard,meat,0.04067520571595731
TZA,Tanzania,pigs,intermediate,meat,0.08057954790622081
TZA,Tanzania,pigs,industrial,meat,0
USA,United States,pigs,backyard,meat,0
USA,United States,pigs,intermediate,meat,0
USA,United States,pigs,industrial,meat,0.17081046405387532
VIR,U.S. Virgin Islands,pigs,backyard,meat,0
VIR,U.S. Virgin Islands,pigs,intermediate,meat,0
VIR,U.S. Virgin Islands,pigs,industrial,meat,0
URY,Uruguay,pigs,backyard,meat,0.07508749221318448
URY,Uruguay,pigs,intermediate,meat,0.12859061451587073
URY,Uruguay,pigs,industrial,meat,0.17310708270258796
UZB,Uzbekistan,pigs,backyard,meat,0.07275721423039583
UZB,Uzbekistan,pigs,intermediate,meat,0.12431880990400078
UZB,Uzbekistan,pigs,industrial,meat,0
VUT,Vanuatu,pigs,backyard,meat,0.08723377735952616
VUT,Vanuatu,pigs,intermediate,meat,0.12429489915144212
VUT,Vanuatu,pigs,industrial,meat,0.15596750970764975
VEN,Venezuela,pigs,backyard,meat,0.07508803578759887
VEN,Venezuela,pigs,intermediate,meat,0.1285913837392693
VEN,Venezuela,pigs,industrial,meat,0.17310626064679568
VNM,Vietnam,pigs,backyard,meat,0.057457836533165205
VNM,Vietnam,pigs,intermediate,meat,0.14341000790478423
VNM,Vietnam,pigs,industrial,meat,0
WLF,Wallis & Futuna,pigs,backyard,meat,0
WLF,Wallis & Futuna,pigs,intermediate,meat,0
WLF,Wallis & Futuna,pigs,industrial,meat,0
PSE,Palestinian Territories,pigs,backyard,meat,0
PSE,Palestinian Territories,pigs,intermediate,meat,0
PSE,Palestinian Territories,pigs,industrial,meat,0
ESH,Western Sahara,pigs,backyard,meat,0
ESH,Western Sahara,pigs,intermediate,meat,0
ESH,Western Sahara,pigs,industrial,meat,0
YEM,Yemen,pigs,backyard,meat,0
YEM,Yemen,pigs,intermediate,meat,0
YEM,Yemen,pigs,industrial,meat,0
ZMB,Zambia,pigs,backyard,meat,0.04067520023363329
ZMB,Zambia,pigs,intermediate,meat,0.08057920730729719
ZMB,Zambia,pigs,industrial,meat,0
ZWE,Zimbabwe,pigs,backyard,meat,0.040675196013983214
ZWE,Zimbabwe,pigs,intermediate,meat,0.08057915899143447
ZWE,Zimbabwe,pigs,industrial,meat,0
ALA,Åland,pigs,backyard,meat,0.01163127516553374
ALA,Åland,pigs,intermediate,meat,0.025739976941354145
ALA,Åland,pigs,industrial,meat,0.11835811400201594
IOT,British Indian Ocean Territory,pigs,backyard,meat,0.02643889078365734
IOT,British Indian Ocean Territory,pigs,intermediate,meat,0.04028956650078651
IOT,British Indian Ocean Territory,pigs,industrial,meat,0.0180309696292471
CXR,Christmas Island,pigs,backyard,meat,0.05815591513483237
CXR,Christmas Island,pigs,intermediate,meat,0.04143400842224211
CXR,Christmas Island,pigs,industrial,meat,0.10397698272180073
CCK,Cocos Islands,pigs,backyard,meat,0.05815591513483237
CCK,Cocos Islands,pigs,intermediate,meat,0.04143400842224211
CCK,Cocos Islands,pigs,industrial,meat,0.10397698272180073
CUW,Curaçao,pigs,backyard,meat,0.01564333960561215
CUW,Curaçao,pigs,intermediate,meat,0.01607389021596692
CUW,Curaçao,pigs,industrial,meat,0.03606365875929098
GIB,Gibraltar,pigs,backyard,meat,0.04984819109860967
GIB,Gibraltar,pigs,intermediate,meat,0.07354278829639452
GIB,Gibraltar,pigs,industrial,meat,0.1198975718918173
XKO,Kosovo,pigs,backyard,meat,0.04984819109860967
XKO,Kosovo,pigs,intermediate,meat,0.07354278829639452
XKO,Kosovo,pigs,industrial,meat,0.1198975718918173
BLM,Saint-Barthélemy,pigs,backyard,meat,0.01564333960561215
BLM,Saint-Barthélemy,pigs,intermediate,meat,0.01607389021596692
BLM,Saint-Barthélemy,pigs,industrial,meat,0.03606365875929098
MAF,Saint-Martin,pigs,backyard,meat,0.01564333960561215
MAF,Saint-Martin,pigs,intermediate,meat,0.01607389021596692
MAF,Saint-Martin,pigs,industrial,meat,0.03606365875929098
SXM,Sint Maarten,pigs,backyard,meat,0.01564333960561215
SXM,Sint Maarten,pigs,intermediate,meat,0.01607389021596692
SXM,Sint Maarten,pigs,industrial,meat,0.03606365875929098
TWN,Taiwan,pigs,backyard,meat,0.04063207257427927
TWN,Taiwan,pigs,intermediate,meat,0.07104075584087488
TWN,Taiwan,pigs,industrial,meat,0.09068807821615425
